청소년·여성·장애인	청소년/NNG+·/SP+여성/NNG+·/SP+장애인/NNG
전용	전용/NNG
유치장	유치장/NNG
생긴다	생기/VV+다/EF

(서울=연합뉴스)	(/SS+서울/NNP+=/SW+연합뉴스/NNP+)/SS
임기창	임기창/NNP
기자	기자/NNG
=	=/SW
경찰청은	경찰청/NNG+은/JX
수감자	수감자/NNG
인권을	인권/NNG+을/JKO
배려하고	배려하/VV+고/EC
편의를	편의/NNG+를/JKO
높이기	높이/VV+기/ETN
위해	위하/VV+여/EC
내년부터	내년/NNG+부터/JX
청소년과	청소년/NNG+과/JC
여성,	여성/NNG+,/SP
장애인	장애인/NNG
전용	전용/NNG
유치장을	유치장/NNG+을/JKO
설치하는	설치하/VV+는/ETM
등	등/NNB
전국	전국/NNG
일선	일선/NNG
경찰서	경찰서/NNG
유치장을	유치장/NNG+을/JKO
단계적으로	단계적/NNG+으로/JKB
개선한다고	개선하/VV+ㄴ다고/EC
22일	22/SN+일/NNB
밝혔다	밝히/VV+었/EP+다/EC

경찰은	경찰/NNG+은/JX
청소년	청소년/NNG
피의자가	피의자/NNG+가/JKS
성인과	성인/NNG+과/JKB
같은	같/VA+은/ETM
유치장에	유치장/NNG+에/JKB
수감돼	수감되/VV+어/EC
범죄를	범죄/NNG+를/JKO
학습한다는	학습하/VV+ㄴ다는/ETM
지적에	지적/NNG+에/JKB
따라	따르/VV+아/EC
청소년	청소년/NNG
전용	전용/NNG
유치장을	유치장/NNG+을/JKO
별도	별도/NNG
설치하기로	설치하/VV+기/ETN+로/JKB
했다	하/VV+였/EP+다/EC

여성	여성/NNG
피의자를	피의자/NNG+를/JKO
위해서는	위하/VV+여서/EC+는/JX
수유공간이	수유공간/NNG+이/JKS
있는	있/VA+는/ETM
전용	전용/NNG
유치장을	유치장/NNG+을/JKO
따로	따로/MAG
두고,	두/VV+고/EC+,/SP
장애인용	장애인/NNG+용/XSN
변기	변기/NNG
등	등/NNB
시설이	시설/NNG+이/JKS
설치된	설치되/VV+ㄴ/ETM
장애인	장애인/NNG
유치장도	유치장/NNG+도/JX
마련한다	마련하/VV+ㄴ다/EF

종일	종일/NNG
한	한/MM
공간에	공간/NNG+에/JKB
머무르는	머무르/VV+는/ETM
피의자들을	피의자/NNG+들/XSN+을/JKO
위한	위하/VV+ㄴ/ETM
운동공간,	운동공간/NNG+,/SP
응급구호약	응급구호약/NNG
등이	등/NNB+이/JKS
비치된	비치되/VV+ㄴ/ETM
진료실,	진료실/NNG+,/SP
상담과	상담/NNG+과/JC
음악	음악/NNG
청취	청취/NNG
등을	등/NNB+을/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
심리안정실도	심리안정실/NNG+도/JX
설치된다	설치되/VV+ㄴ다/EF

현재	현재/MAG
대부분	대부분/NNG
개방형인	개방형/NNG+이/VCP+ㄴ/ETM
유치장	유치장/NNG
화장실은	화장실/NNG+은/JX
'냄새와	'/SS+냄새/NNG+와/JC
소음으로	소음/NNG+으로/JKB
유치인	유치인/NNG
인격권을	인격권/NNG+을/JKO
침해한다'는	침해하/VV+ㄴ다/EF+'/SS+는/JX
헌법재판소	헌법재판소/NNG
결정을	결정/NNG+을/JKO
받아들여	받아들이/VV+어/EC
밀폐형으로	밀폐/NNG+형/XSN+으로/JKB
개선한다	개선하/VV+ㄴ다/EF

창살	창살/NNG
사이로	사이/NNG+로/JKB
안을	안/NNG+을/JKO
들여다볼	들여다보/VV+ㄹ/ETM
수	수/NNB
있었던	있/VA+었/EP+던/ETM
유치장	유치장/NNG
문은	문/NNG+은/JX
사생활	사생활/NNG
보호와	보호/NNG+와/JC
안전을	안전/NNG+을/JKO
고려해	고려하/VV+여/EC
전면	전면/NNG
하단에	하단/NNG+에/JKB
불투명	불투명/NNG
유리가,	유리/NNG+가/JKS+,/SP
위쪽에는	위쪽/NNG+에/JKB+는/JX
투명	투명/NNG
강화유리가	강화유리/NNG+가/JKS
설치된다	설치되/VV+ㄴ다/EF

경찰은	경찰/NNG+은/JX
앞으로	앞/NNG+으로/JKB
일선	일선/NNG
경찰관서를	경찰관서/NNG+를/JKO
신축할	신축하/VV+ㄹ/ETM
때	때/NNG
설계	설계/NNG
단계부터	단계/NNG+부터/JX
이런	이런/MM
기준을	기준/NNG+을/JKO
반영한	반영하/VV+ㄴ/ETM
유치장을	유치장/NNG+을/JKO
설치할	설치하/VV+ㄹ/ETM
방침이다	방침/NNG+이/VCP+다/EC

경찰은	경찰/NNG+은/JX
우선	우선/MAG
내년에	내년/NNG+에/JKB
20억원을	20/SN+억/NR+원/NNB+을/JKO
들여	들이/VV+어/EC
시설이	시설/NNG+이/JKS
열악한	열악하/VA+ㄴ/ETM
유치장	유치장/NNG
10곳의	10/SN+곳/NNG+의/JKG
시설을	시설/NNG+을/JKO
개선하고,	개선하/VV+고/EC+,/SP
나머지	나머지/NNG
100여개	100/SN+여/XSN+개/NNB
유치장은	유치장/NNG+은/JX
앞으로	앞/NNG+으로/JKB
5년간	5/SN+년/NNB+간/XSN
100억원을	100/SN+억/NR+원/NNB+을/JKO
투입해	투입하/VV+여/EC
이	이/NP
같은	같/VA+은/ETM
방향으로	방향/NNG+으로/JKB
환경을	환경/NNG+을/JKO
바꿔	바꾸/VV+어/EC
나갈	나가/VX+ㄹ/ETM
계획이다	계획/NNG+이/VCP+다/EC

경찰청	경찰청/NNG
관계자는	관계자/NNG+는/JX
"유치장은	"/SS+유치장/NNG+은/JX
피의자	피의자/NNG
등이	등/NNB+이/JKS
사회로부터	사회/NNG+로부터/JKB
격리되는	격리되/VV+는/ETM
첫	첫/MM
단계로,	단계/NNG+로/JKB+,/SP
교도소나	교도소/NNG+나/JC
구치소보다	구치소/NNG+보다/JKB
심리적	심리적/NNG
충격이	충격/NNG+이/JKS
큰	크/VA+ㄴ/ETM
곳"이라며	곳/NNG+"/SS+이/VCP+라며/EC
"인권을	"/SS+인권/NNG+을/JKO
더	더/MAG
세심하게	세심하/VA+게/EC
배려해야	배려하/VV+여야/EC
한다고	하/VX+ㄴ다고/EC
판단에	판단/NNG+에/JKB
따라	따르/VV+아/EC
개선	개선/NNG
사업을	사업/NNG+을/JKO
추진하는	추진하/VV+는/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다	말하/VV+였/EP+다/EC

pulse@yna	pulse/SL+@/SW+yna/SL

co	co/SL

kr<저	kr/SL+</SS+저/MM
작	작/NNG
권	권/NNP
자(c)연	자/NP+(/SS+c/SL+)/SS+연/NNG
합	합/NNG
뉴	뉴/NNG
스	스/NNG

무	무/NNG
단	단/MM
전	전/NNG
재-재	재/NNG+-/SO+재/NNG
배	배/NNG
포	포/NNG
금	금/VV
지	짓/VV

>	>/SS
