美의사당	美/SL+의사당/NNG
빌딩	빌딩/NNG
장애	장애/NNG
접근	접근/NNG
문제	문제/NNG
많다	많/VA+다/EC

기자가	기자/NNG+가/JKS
미	미/NNP
상원에	상원/NNG+에/JKB
근무할	근무하/VV+ㄹ/ETM
당시	당시/NNG
의회	의회/NNG
건물	건물/NNG
안팎에	안팎/NNG+에/JKB
문제가	문제/NNG+가/JKS
많았다	많/VA+았/EP+다/EC

문을	문/NNG+을/JKO
여닫는	여닫/VV+는/ETM
것도	것/NNB+도/JX
쉽지가	쉽/VA+지/EC+가/JX
않았고	않/VX+았/EP+고/EC
화장실도	화장실/NNG+도/JX
불편한	불편하/VA+ㄴ/ETM
점이	점/NNG+이/JKS
많았다	많/VA+았/EP+다/EC

퇴근시	퇴근시/NNG
건물	건물/NNG
밖을	밖/NNG+을/JKO
지나	지나/VV+아/EC
유니온	유니온/NNP
스테이션에	스테이션/NNG+에/JKB
도착하기	도착하/VV+기/ETN
까지도	까지도/JX
도로가	도로/NNG+가/JKS
불편한	불편하/VA+ㄴ/ETM
점이	점/NNG+이/JKS
참	참/MAG
많았다	많/VA+았/EP+다/EC

지난	지나/VV+ㄴ/ETM
10월	10/SN+월/NNB
19일	19/SN+일/NNB
장애	장애/NNG
전문	전문/NNG
인터넷	인터넷/NNG
잡지	잡지/NNG
디스에빌리티	디스에빌리티/NNG
스쿱에서	스쿱/NNG+에서/JKB
이	이/MM
문제를	문제/NNG+를/JKO
발표했다	발표하/VV+였/EP+다/EC

문제는	문제/NNG+는/JX
미국	미국/NNP
장애인들을	장애인/NNG+들/XSN+을/JKO
위해서	위하/VV+여서/EC
장애법을	장애법/NNG+을/JKO
통과	통과/NNG
시킨	시키/VV+ㄴ/ETM
그	그/MM
장소가	장소/NNG+가/JKS
그	그/MM
표준에	표준/NNG+에/JKB
미치지	미치/VV+지/EC
못한다는	못하/VX+ㄴ다는/ETM
점에서	점/NNG+에서/JKB
비난의	비난/NNG+의/JKG
소지가	소지/NNG+가/JKS
많다	많/VA+다/EC

건물과	건물/NNG+과/JC
주변	주변/NNG
장애시설	장애시설/NNG
조사단에	조사단/NNG+에/JKB
의하면	의하/VV+면/EC
화장실이나	화장실/NNG+이나/JC
보도에	보도/NNG+에/JKB
문제가	문제/NNG+가/JKS
많았다	많/VA+았/EP+다/EC

건물	건물/NNG
밖은	밖/NNG+은/JX
총	총/MM
154	154/SN
군데가	군데/NNB+가/JKS
장애인	장애인/NNG
접근에	접근/NNG+에/JKB
문제가	문제/NNG+가/JKS
있었다	있/VA+었/EP+다/EF

또한	또한/MAG
헤아릴	헤아리/VV+ㄹ/ETM
수	수/NNB
없이	없이/MAG
많은	많/VA+은/ETM
보도들이	보도/NNG+들/XSN+이/JKS
휠체어가	휠체어/NNG+가/JKS
뒤로	뒤/NNG+로/JKB
넘어지거나	넘어지/VV+거나/EC
길	길/NNG
옆으로	옆/NNG+으로/JKB
떨어질	떨어지/VV+ㄹ/ETM
위험을	위험/NNG+을/JKO
안고	안/VV+고/EC
있었으며	있/VX+었/EP+으며/EC
화장실의	화장실/NNG+의/JKG
손잡이에	손잡이/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
시설	시설/NNG
미비도	미비/NNG+도/JX
심각한	심각하/VA+ㄴ/ETM
것으로	것/NNB+으로/JKB
나타났다	나타나/VV+았/EP+다/EC

무작위로	무작위/NNG+로/JKB
6군데의	6/SN+군데/NNB+의/JKG
화장실을	화장실/NNG+을/JKO
조사했는데	조사하/VV+였/EP+는데/EC
그	그/MM
중에	중/NNB+에/JKB
장애	장애/NNG
시설물	시설물/NNG
기준에	기준/NNG+에/JKB
맞는	맞/VV+는/ETM
화장실은	화장실/NNG+은/JX
하나도	하나/NNG+도/JX
없었다	없/VA+었/EP+다/EF

심지어는	심지어/MAG+는/JX
최근에	최근/NNG+에/JKB
지은	짓/VV+은/ETM
건물과	건물/NNG+과/JKB
개조한	개조하/VV+ㄴ/ETM
건물인	건물/NNG+이/VCP+ㄴ/ETM
의회도서관과	의회도서관/NNG+과/JC
비지터	비지터/NNG
센터도	센터/NNG+도/JX
장애	장애/NNG
시설	시설/NNG
미비는	미비/NNG+는/JX
마찬가지	마찬가지/NNG
였다	이/VCP+었/EP+다/EF

의회	의회/NNG
건물	건물/NNG
이사인	이사/NNG+이/VCP+ㄴ/ETM
바바라	바바라/NNP
카멘스는	카멘스/NNG+는/JX
'제거할	'/SS+제거하/VV+ㄹ/ETM
것을	것/NNB+을/JKO
제거하고	제거하/VV+고/EC
개선할	개선하/VV+ㄹ/ETM
것을	것/NNB+을/JKO
개선해	개선하/VV+여/EC
장애인들이	장애인/NNG+들/XSN+이/JKS
쉽게	쉽/VA+게/EC
접근할	접근하/VV+ㄹ/ETM
수	수/NNB
있기를	있/VA+기/ETN+를/JKO
바란다'라고	바라/VV+ㄴ다/EF+'/SS+라고/JKQ
말했다	말하/VV+였/EP+다/EF

시설과	시설/NNG+과/JC
시설	시설/NNG
밖의	밖/NNG+의/JKG
문제들을	문제/NNG+들/XSN+을/JKO
해결하기	해결하/VV+기/ETN
위해서는	위하/VV+여서/EC+는/JX
총	총/MM
140만	140/SN+만/NR
달러가	달러/NNB+가/JKS
소요될	소요되/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상됐다	예상되/VV+었/EP+다/EF

*	*/SW
샘	샘/NNG
기자는	기자/NNG+는/JX
에이블뉴스	에이블뉴스/NNP
객원기자로	객원기자/NNG+로/JKB
캘리포니아	캘리포니아/NNP
버클리대학	버클리대학/NNP
사회학과를	사회학과/NNG+를/JKO
졸업하고,	졸업하/VV+고/EC+,/SP
전	전/MM
미상원	미/NNP+상원/NNG
장애인국	장애인국/NNG
인턴을	인턴/NNG+을/JKO
지냈다	지내/VV+었/EP+다/EC

현재	현재/MAG
TEC	TEC/SL
대표를	대표/NNG+를/JKO
맡고	맡/VV+고/EC
있다	있/VX+다/EC
