새크레멘토공항	새크레멘/NNP+토공항/NNG
장애시설	장애시설/NNG
부적절로	부적절/NNG+로/JKB
소송	소송/NNG
당해	당하/VV+여/EC

새로	새로/MAG
건축된	건축되/VV+ㄴ/ETM
캘리포니아	캘리포니아/NNP
새크레멘토	새크레멘토/NNG
공항	공항/NNG
터미널	터미널/NNG
B가	B/SL+가/JKS
휠체어	휠체어/NNG
장애인들에	장애인/NNG+들/XSN+에/JKB
적합한	적합하/VA+ㄴ/ETM
설계를	설계/NNG+를/JKO
하지	하/VV+지/EC
않아	않/VX+아/EC
소송에	소송/NNG+에/JKB
걸렸다	걸리/VV+었/EP+다/EC

지난	지나/VV+ㄴ/ETM
21일(현지	21/SN+일/NNB+(/SS+현지/NNG
시각)자	시각/NNG+)/SS+자/NNG
비즈니스	비즈니스/NNG
저널(http://www	저널/NNG+(/SS+http/SL+:///SP+www/SL

bizjournals	bizjournals/SL

com)에	com/SL+)/SS+에/JKB
의하면	의하/VV+면/EC
미	미/NNP
전국적인	전국적/NNG+이/VCP+ㄴ/ETM
조직망을	조직망/NNG+을/JKO
가지고	가지/VV+고/EC
있는	있/VX+는/ETM
장애	장애/NNG
자립	자립/NNG
비영리	비/XPN+영리/NNG
기관	기관/NNG
인디펜던트	인디펜던트/NNP
리빙센터와	리빙센터/NNG+와/JC
휠체어	휠체어/NNG
장애인	장애인/NNG
루티	루티/NNP
골드콘은	골드콘/NNG+은/JX
새크레멘토	새크레멘토/NNP
공항의	공항/NNG+의/JKG
장애시설	장애시설/NNG
미비로	미비/NNG+로/JKB
소송을	소송/NNG+을/JKO
신청했다고	신청하/VV+였/EP+다고/EC
발표했다	발표하/VV+였/EP+다/EC

소장에	소장/NNG+에/JKB
의하면	의하/VV+면/EC
터미널	터미널/NNG
B는	B/SL+는/JX
터미널은	터미널/NNG+은/JX
휠체어나	휠체어/NNG+나/JC
스쿠터	스쿠터/NNG
사용	사용/NNG
장애인들이	장애인/NNG+들/XSN+이/JKS
시설을	시설/NNG+을/JKO
이용하는	이용하/VV+는/ETM
데	데/NNB
불편이	불편/NNG+이/JKS
있어	있/VA+어/EC
장애물들을	장애물/NNG+들/XSN+을/JKO
치워줄	치우/VV+어/EC+주/VX+ㄹ/ETM
것을	것/NNB+을/JKO
요구하고	요구하/VV+고/EC
있다	있/VX+다/EC

소장은	소장/NNG+은/JX
터미널은	터미널/NNG+은/JX
미국	미국/NNP
장애법이	장애법/NNG+이/JKS
제정한	제정하/VV+ㄴ/ETM
기준에	기준/NNG+에/JKB
미치지	미치/VV+지/EC
못한다고	못하/VX+ㄴ다고/EC
밝혔다	밝히/VV+었/EP+다/EC

그러나	그러나/MAJ
공항측은	공항/NNG+측/NNB+은/JX
이를	이/NP+를/JKO
부인하고	부인하/VV+고/EC
있어	있/VX+어/EC
논란이	논란/NNG+이/JKS
예상된다	예상되/VV+ㄴ다/EF

공항측에	공항/NNG+측/NNB+에/JKB
따르면	따르/VV+면/EC
“터미널	“/SN+터미널/NNG
B의	B/SL+의/JKG
설계는	설계/NNG+는/JX
모든	모든/MM
부분에	부분/NNG+에/JKB
있어서	있/VA+어서/EC
미국	미국/NNP
장애법에	장애법/NNG+에/JKB
기초한	기초하/VV+ㄴ/ETM
주	주/NNB
빌딩	빌딩/NNG
법을	법/NNG+을/JKO
지켰다	지키/VV+었/EP+다/EC

”고	”/SN+고/NNG
말했다	말하/VV+였/EP+다/EC

새크레맨토	새크레맨토/NNP
여성	여성/NNG
대변인은	대변인/NNG+은/JX
이	이/MM
사건에	사건/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
답변을	답변/NNG+을/JKO
회피하고	회피하/VV+고/EC
있다	있/VX+다/EC

비영리	비/XPN+영리/NNG
장애	장애/NNG
옹호	옹호/NNG
단체들은	단체/NNG+들/XSN+은/JX
“이처럼	“/SL+이/NP+처럼/JKB
방대한	방대하/VA+ㄴ/ETM
건축	건축/NNG
프로젝트에	프로젝트/NNG+에/JKB
미국	미국/NNP
장애법을	장애법/NNG+을/JKO
지키지	지키/VV+지/EC
않고	않/VX+고/EC
장애인	장애인/NNG
접근에	접근/NNG+에/JKB
불편을	불편/NNG+을/JKO
주는	주/VV+는/ETM
시설을	시설/NNG+을/JKO
만드는	만들/VV+는/ETM
것은	것/NNB+은/JX
불행한	불행하/VA+ㄴ/ETM
일이며,	일/NNG+이/VCP+며/EC+,/SP
이런	이런/MM
일은	일/NNG+은/JX
사전에	사전/NNG+에/JKB
방지해야	방지하/VV+여야/EC
하고	하/VX+고/EC
지엇을	지엇/NNG+을/JKO
경우	경우/NNG
반드시	반드시/MAG
시정되어야	시정되/VV+어야/EC
한다”고	하/VX+ㄴ다/EC+”/VV+고/EC
못박았다	못하/VX+박/VV+았/EP+다/EF

*	*/SW
샘	샘/NNG
기자는	기자/NNG+는/JX
에이블뉴스	에이블뉴스/NNP
객원기자로	객원기자/NNG+로/JKB
캘리포니아	캘리포니아/NNP
버클리대학	버클리대학/NNP
사회학과를	사회학과/NNG+를/JKO
졸업하고,	졸업하/VV+고/EC+,/SP
전	전/MM
미상원	미/NNP+상원/NNG
장애인국	장애인국/NNG
인턴을	인턴/NNG+을/JKO
지냈다	지내/VV+었/EP+다/EC

현재	현재/MAG
TEC	TEC/SL
대표를	대표/NNG+를/JKO
맡고	맡/VV+고/EC
있다	있/VX+다/EC
