"장애인용	"/SS+장애인용/NNG
공중화장실	공중화장실/NNG
남·여	남/NNG+·/SP+여/NNG
구분	구분/NNG
설치해야"	설치하/VV+여야/EF+"/SS

국민권익위원회는	국민권익위원회/NNP+는/JX
장애인용	장애인/NNG+용/XSN
공중화장실을	공중화장실/NNG+을/JKO
남·녀로	남/NNG+·/SP+녀/NNG+로/JKB
구분해	구분하/VV+여/EC
설치	설치/NNG
할	하/VV+ㄹ/ETM
것을	것/NNB+을/JKO
보건복지부에	보건복지부/NNG+에/JKB
권고했다고	권고하/VV+였/EP+다고/EC
4일	4/SN+일/NNB
밝혔다	밝히/VV+었/EP+다/EC

공공시설의	공공시설/NNG+의/JKG
일반	일반/NNG
공중화장실은	공중화장실/NNG+은/JX
‘공중화장실	‘/SL+공중화장실/NNG
등에	등/NNB+에/JKB
관한	관하/VV+ㄴ/ETM
법률’에	법률/NNG+’/SL+에/JKB
따라	따르/VV+아/EC
남·녀로	남/NNG+·/SP+녀/NNG+로/JKB
구분하여	구분하/VV+여/EC
설치하도록	설치하/VV+도록/EC
규정하고	규정하/VV+고/EC
있다	있/VX+다/EC

그러나	그러나/MAJ
장애인용	장애인/NNG+용/XSN
화장실은	화장실/NNG+은/JX
‘장애인·노인·임산부	‘/SN+장애인/NNG+·/SP+노인/NNG+·/SP+임산부/NNG
등의	등/NNB+의/JKG
편의증진	편의증진/NNG
보장에	보장/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
법률	법률/NNG
시행령’에	시행령/NNG+’/SL+에/JKB
의해	의하/VV+여/EC
'장애인용	'/SS+장애인용/NNG
대변기는	대변기/NNG+는/JX
남자용	남자/NNG+용/XSN
및	및/MAG
여자용	여자/NNG+용/XSN
각	각/MM
1개	1/SN+개/NNB
이상을	이상/NNG+을/JKO
설치하여야	설치하/VV+여야/EC
한다'는	하/VX+ㄴ다/EF+'/SS+는/JX
불명확한	불명확하/VA+ㄴ/ETM
규정에	규정/NNG+에/JKB
의해	의하/VV+여/EC
실제	실제/NNG
일부	일부/NNG
공공시설에	공공시설/NNG+에/JKB
남·녀	남/NNG+·/SP+녀/NNG
공용화장실을	공용화장/NNG+실/XSN+을/JKO
설치해	설치하/VV+여/EC
장애인들이	장애인/NNG+들/XSN+이/JKS
불편을	불편/NNG+을/JKO
호소하고	호소하/VV+고/EC
있다	있/VX+다/EC

이에	이/NP+에/JKB
권익위는	권익위/NNG+는/JX
공원	공원/NNG
등	등/NNB
공중화장실을	공중화장실/NNG+을/JKO
남·녀로	남/VV+·/SP+녀/NNG+로/JKB
구분해	구분하/VV+여/EC
설치하도록	설치하/VV+도록/EC
관련	관련/NNG
규정	규정/NNG
개선을	개선/NNG+을/JKO
복지부에	복지부/NNG+에/JKB
권고했다	권고하/VV+였/EP+다/EC

또한	또한/MAG
안전기준에	안전기준/NNG+에/JKB
미달되는	미달되/VV+는/ETM
시설의	시설/NNG+의/JKG
경우	경우/NNG
물청소	물청소/NNG
이후	이후/NNG
넘어지거나	넘어지/VV+거나/EC
배수로	배수로/NNG
때문에	때문/NNB+에/JKB
바닥이	바닥/NNG+이/JKS
기울어	기울/VV+어/EC
있으면	있/VX+으면/EC
장애인에게는	장애인/NNG+에게/JKB+는/JX
치명적인	치명적/NNG+이/VCP+ㄴ/ETM
사고로	사고/NNG+로/JKB
이어질	이어지/VV+ㄹ/ETM
수	수/NNB
있다	있/VA+다/EF

권익위는	권익위/NNG+는/JX
복지부에	복지부/NNG+에/JKB
공중화장실의	공중화장실/NNG+의/JKG
바닥재질이	바닥재질/NNG+이/JKS
미끄러워	미끄럽/VA+어/EC
생기는	생기/VV+는/ETM
장애인의	장애인/NNG+의/JKG
보행사고를	보행사고/NNG+를/JKO
막기	막/VV+기/ETN
위해	위하/VV+여/EC
공중화장실의	공중화장실/NNG+의/JKG
바닥재질을	바닥재질/NNG+을/JKO
‘품질경영	‘/SL+품질경영/NNG
및	및/MAG
공산품	공산품/NNG
안전	안전/NNG
관리법’에	관리법/NNG+’/SL+에/JKB
따른	따르/VV+ㄴ/ETM
미끄럼방지타일	미끄럼방지타일/NNG
기준을	기준/NNG+을/JKO
적용,	적용/NNG+,/SP
설치하도록	설치하/VV+도록/EC
요구했다	요구하/VV+었/EP+다/EC

이밖에도	이/MM+밖/NNG+에/JKB+도/JX
시각장애인이	시각장애인/NNG+이/JKS
화장실	화장실/NNG
이용에	이용/NNG+에/JKB
넘어짐	넘어지/VV+ㅁ/ETN
등	등/NNB
안전사고	안전사고/NNG
우려에	우려/NNG+에/JKB
따라	따르/VV+아/EC
시각장애인이	시각장애인/NNG+이/JKS
공원	공원/NNG
같은	같/VA+은/ETM
편의시설을	편의시설/NNG+을/JKO
편리하게	편리하/VA+게/EC
이용할	이용하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
주출입구	주출입구/NNG
부근에	부근/NNG+에/JKB
점자안내판	점자안내판/NNG
등	등/NNB
유도신호장치를	유도신호장치/NNG+를/JKO
의무적으로	의무적/NNG+으로/JKB
설치하도록	설치하/VV+도록/EC
복지부에	복지부/NNG+에/JKB
권고했다	권고하/VV+였/EP+다/EC

권익위	권익위/NNG
관계자는	관계자/NNG+는/JX
“이번	“/SL+이번/NNG
권고안대로	권고안/NNG+대로/JX
보건복지부에서	보건복지부/NNG+에서/JKB
관련	관련/NNG
법령을	법령/NNG+을/JKO
개선하면	개선하/VV+면/EC
장애인들이	장애인/NNG+들/XSN+이/JKS
공중화장실을	공중화장실/NNG+을/JKO
보다	보다/MAG
편리하게	편리하/VA+게/EC
이용할	이용하/VV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
될	되/VV+ㄹ/ETM
것”이라고	것/NNB+”/SL+이/VCP+라고/EC
밝혔다	밝히/VV+었/EP+다/EC

한편	한편/MAG
장애우권익문제연구소(이사장	장애우권익문제연구소/NNG+(/SS+이사장/NNG
김성재)는	김성재/NNP+)/SS+는/JX
서울메트로를	서울메트로/NNP+를/JKO
상대로	상대/NNG+로/JKB
'장애인화장실	'/SS+장애인화장실/NNG
남녀분리설치	남녀분리설치/NNG
공익소송'을	공익소송/NNG+'/SS+을/JKO
진행하고	진행하/VV+고/EC
있다	있/VX+다/EC
