인권위,	인권위/NNG+,/SP
탤런트	탤런트/NNG
김호진	김호진/NNP
인권홍보대사	인권홍보대사/NNG
위촉	위촉/NNG

탤런트	탤런트/NNG
김호진씨가	김호진/NNP+씨/NNB+가/JKS
인권홍보대사로	인권홍보대사/NNG+로/JKB
위촉됐다	위촉되/VV+었/EP+다/EF

국가인권위원회(위원장	국가인권위원회/NNG+(/SS+위원장/NNG
현병철	현병철/NNP

이하	이하/NNG
인권위)는	인권위/NNG+)/SS+는/JX
11일	11/SN+일/NNB
오전	오전/NNG
전원위원회실에서	전원위원회실/NNG+에서/JKB
인권홍보대사	인권홍보대사/NNG
위촉식을	위촉/NNG+식/XSN+을/JKO
갖고	갖/VV+고/EC
탤런트	탤런트/NNG
김호진씨에	김호진/NNP+씨/NNB+에/JKB
위촉패를	위촉패/NNG+를/JKO
수여했다	수여하/VV+였/EP+다/EF

인권위는	인권위/NNG+는/JX
우리	우리/NP
사회의	사회/NNG+의/JKG
인권감수성	인권감수성/NNG
향상과	향상/NNG+과/JC
인권존중문화	인권존중문화/NNG
확산을	확산/NNG+을/JKO
위해	위하/VV+여/EC
대중적	대중적/NNG
인지도와	인지도/NNG+와/JC
전문성이	전문/NNG+성/XSN+이/JKS
있는	있/VA+는/ETM
인사	인사/NNG
등을	등/NNB+을/JKO
인권홍보대사로	인권홍보대사/NNG+로/JKB
위촉해	위촉하/VV+여/EC
대국민	대/XPN+국민/NNG
홍보활동을	홍보활동/NNG+을/JKO
함께	함께/MAG
전개하고	전개하/VV+고/EC
있다	있/VX+다/EC

인권홍보대사로	인권홍보대사/NNG+로/JKB
위촉된	위촉되/VV+ㄴ/ETM
김호진씨는	김호진/NNP+씨/NNB+는/JX
서울예술대	서울예술대/NNP
연극영화과를	연극영화과/NNG+를/JKO
졸업하고	졸업하/VV+고/EC
1991년	1991/SN+년/NNB
KBS	KBS/SL
14기	14/SN+기/NNG
공채	공채/NNG
탤런트로	탤런트/NNG+로/JKB
연예계에	연예계/NNG+에/JKB
입문한	입문하/VV+ㄴ/ETM
이후	이후/NNG
다양한	다양하/VA+ㄴ/ETM
TV드라마에	TV/SL+드라마/NNG+에/JKB
주연급	주연급/NNG
배우로	배우/NNG+로/JKB
활약했다	활약하/VV+였/EP+다/EC

최근	최근/NNG
종영된	종영되/VV+ㄴ/ETM
MBC	MBC/SL
일일극	일일극/NNG
‘그대	‘/SN+그대/MAG
없인	없이/MAG+ㄴ/JX
못살아’에서도	못/MAG+살/VV+아/EC+’/SW+에서/JKB+도/JX
주연배우로	주연배우/NNG+로/JKB
출연했고,	출연하/VV+였/EP+고/EC+,/SP
현재는	현재/NNG+는/JX
MBC	MBC/SL
'찾아라!	'/SS+찾/VV+아라/EF+!/SF
맛있는	맛있/VA+는/ETM
TV'	TV/SL+'/SS
진행자	진행자/NNG
등으로	등/NNB+으로/JKB
활발한	활발하/VA+ㄴ/ETM
방송활동을	방송활동/NNG+을/JKO
벌이고	벌이/VV+고/EC
있다	있/VX+다/EC

여기에	여기/NP+에/JKB
최근	최근/NNG
두원공과대학교	두원공과대학교/NNP
방송연예전공	방송연예전공/NNG
교수로	교수/NNG+로/JKB
임명되는	임명되/VV+는/ETM
등	등/NNB
대중성과	대중성/NNG+과/JC
전문성을	전문/NNG+성/XSN+을/JKO
인정받고	인정받/VV+고/EC
있다	있/VX+다/EC

이에	이/NP+에/JKB
인권위는	인권위/NNG+는/JX
평소	평소/NNG
친근한	친근하/VA+ㄴ/ETM
이미지와	이미지/NNG+와/JC
인권친화적	인권친화적/NNG
면모를	면모/NNG+를/JKO
보여와	보이/VV+어/EC+오/VX+아/EC
앞으로	앞/NNG+으로/JKB
우리	우리/NP
사회의	사회/NNG+의/JKG
인권감수성을	인권감수성/NNG+을/JKO
높이는데	높이/VV+는/ETM+데/NNB
크게	크/VA+게/EC
기여할	기여하/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
기대하고	기대하/VV+고/EC
있다	있/VX+다/EC

한편,	한편/NNG+,/SP
현재	현재/MAG
인권홍보대사는	인권홍보대사/NNG+는/JX
가수	가수/NNG
윤도현,	윤도현/NNP+,/SP
첼리스트	첼리스트/NNG
정명화,	정명화/NNP+,/SP
성우	성우/NNG
양지운,	양지운/NNP+,/SP
음악단체	음악단체/NNG
예쁜아이들이	예쁜아이/NNG+들/XSN+이/JKS
활동하고	활동하/VV+고/EC
있다	있/VX+다/EC
