美	美/SL
장애인,	장애인/NNG+,/SP
경찰	경찰/NNG
상대	상대/NNG
3년	3/SN+년/NNB
법정	법정/NNG
싸움	싸움/NNG
끝	끝/NNG
승소	승소/NNG

미국은	미국/NNP+은/JX
총기	총기/NNG
소지가	소지/NNG+가/JKS
가능한	가능하/VA+ㄴ/ETM
나라이기	나라/NNG+이/VCP+기/ETN
때문에	때문/NNB+에/JKB
경찰의	경찰/NNG+의/JKG
범인	범인/NNG
체포	체포/NNG
과정이	과정/NNG+이/JKS
상당히	상당히/MAG
난폭하다	난폭하/VA+다/EC

그리고	그리고/MAJ
용의자가	용의자/NNG+가/JKS
순순히	순순히/MAG
따르지	따르/VV+지/EC
않을	않/VX+을/ETM
경우	경우/NNG
경찰이	경찰/NNG+이/JKS
위험하다고	위험하/VA+다고/EC
판단되면	판단되/VV+면/EC
총기로	총기/NNG+로/JKB
사용도	사용/NNG+도/JX
가능하다	가능하/VA+다/EC

처음	처음/NNG
미국에	미국/NNP+에/JKB
와서	오/VV+아서/EC
‘캅스’라는	‘/SN+캅스’/NNG+이/VCP+라는/ETM
경찰	경찰/NNG
관계	관계/NNG
프로그램을	프로그램/NNG+을/JKO
텔레비전으로	텔레비전/NNG+으로/JKB
지켜	지키/VV+어/EC
보면서	보/VX+면서/EC
당황했던	당황하/VV+였/EP+던/ETM
적이	적/NNB+이/JKS
한두번이	한두/MM+번/NNB+이/JKC
아니다	아니/VCN+다/EC

경찰들은	경찰/NNG+들/XSN+은/JX
용의자	용의자/NNG
체포시	체포/NNG+시/NNB
강제로	강제/NNG+로/JKB
바닥에	바닥/NNG+에/JKB
눞이고	눞/SL+이/VCP+고/EC
뒤로	뒤/NNG+로/JKB
수갑을	수갑/NNG+을/JKO
채우곤했다	채우곤하/VV+였/EP+다/EF

용의자의	용의자/NNG+의/JKG
인권이	인권/NNG+이/JKS
처참하게	처참하/VA+게/EC
무너지는	무너지/VV+는/ETM
것	것/NNB
같았다	같/VA+았/EP+다/EC

아무리	아무리/MAG
거칠게	거칠/VA+게/EC
다루어도	다루/VV+어도/EC
미국에서는	미국/NNP+에서/JKB+는/JX
당연시	당연시/NNG
여기는	여기/VV+는/ETM
경우가	경우/NNG+가/JKS
많다	많/VA+다/EC

그런	그런/MM
경찰의	경찰/NNG+의/JKG
난폭함이	난폭하/VA+ㅁ/ETN+이/JKS
한	한/MM
장애인의	장애인/NNG+의/JKG
팔에	팔/NNG+에/JKB
심한	심하/VA+ㄴ/ETM
손상을	손상/NNG+을/JKO
입혔다	입히/VV+었/EP+다/EC

대부분의	대부분/NNG+의/JKG
케이스에서	케이스/NNG+에서/JKB
경찰의	경찰/NNG+의/JKG
승소로	승소/NNG+로/JKB
끝나지만	끝나/VV+지만/EC
이	이/MM
경우에는	경우/NNG+에/JKB+는/JX
장애인의	장애인/NNG+의/JKG
승소로	승소/NNG+로/JKB
백	백/NR
오십만	오십만/NR
달러를	달러/NNB+를/JKO
보상금으로	보상금/NNG+으로/JKB
받게	받/VV+게/EC
됐다	되/VV+었/EP+다/EC

로스앤젤레스의	로스앤젤레스/NNP+의/JKG
잉글우드는	잉글우드/NNP+는/JX
손꼽히는	손꼽히/VV+는/ETM
우범지역이다	우범지역/NNG+이/VCP+다/EC

거기에서	거기/NP+에서/JKB
3년전	3/SN+년/NNB+전/NNG
강도	강도/NNG
사건이	사건/NNG+이/JKS
발생했다	발생하/VV+였/EP+다/EC

경찰은	경찰/NNG+은/JX
앨렌헤리스(56)의	앨렌헤리스/NNP+(/SS+56/SN+)/SS+의/JKG
아들을	아들/NNG+을/JKO
범인으로	범인/NNG+으로/JKB
지목하고	지목하/VV+고/EC
집에	집/NNG+에/JKB
쳐들어	쳐들/VV+어/EC
갔다	가/VX+았/EP+다/EC

경찰은	경찰/NNG+은/JX
당시	당시/NNG
집에	집/NNG+에/JKB
있던	있/VA+던/ETM
앨렌에게	앨렌/NNP+에게/JKB
손을	손/NNG+을/JKO
들라고	들/VV+라고/EC
명령했다	명령하/VV+였/EP+다/EF

장애로	장애/NNG+로/JKB
인해	인하/VV+여/EC
팔을	팔/NNG+을/JKO
올릴	올리/VV+ㄹ/ETM
수	수/NNB
없다고	없/VA+다고/EC
하자	하/VV+자/EC
경찰은	경찰/NNG+은/JX
믿지	믿/VV+지/EC
않고	않/VX+고/EC
머리에	머리/NNG+에/JKB
총을	총/NNG+을/JKO
겨누고	겨누/VV+고/EC
벽에	벽/NNG+에/JKB
몰아	몰/VV+아/EC
붙이는가	붙이/VV+는가/EC
하면	하/VV+면/EC
앨렌이	앨렌/NNG+이/JKS
안된다고	안되/VV+ㄴ다고/EC
만류하는	만류하/VV+는/ETM
데도	데/NNB+도/JX
불구하고	불구하/VV+고/EC
수갑을	수갑/NNG+을/JKO
강하게	강하/VA+게/EC
조였다	조이/VV+었/EP+다/EC

경찰	경찰/NNG
조사	조사/NNG
결과	결과/NNG
아들은	아들/NNG+은/JX
범죄에	범죄/NNG+에/JKB
가담하지	가담하/VV+지/EC
않았고	않/VX+았/EP+고/EC
앨렌은	앨렌/NNP+은/JX
신경장애로	신경장애/NNG+로/JKB
어깨와	어깨/NNG+와/JC
손목에	손목/NNG+에/JKB
재기	재기/NNG
불능인	불능인/NNG
상처를	상처/NNG+를/JKO
입었다	입/VV+었/EP+다/EC

앨렌은	앨렌/NNP+은/JX
경찰을	경찰/NNG+을/JKO
상대로	상대/NNG+로/JKB
고소했고	고소하/VV+였/EP+고/EC
3년여의	3/SN+년/NNB+여/XSN+의/JKG
싸움	싸움/NNG
끝에	끝/NNG+에/JKB
지난	지나/VV+ㄴ/ETM
11월	11/SN+월/NNB
8일	8/SN+일/NNB
마침내	마침내/MAG
승소를	승소/NNG+를/JKO
끌어낼	끌어내/VV+ㄹ/ETM
수	수/NNB
있었다	있/VA+었/EP+다/EF

보상금은	보상금/NNG+은/JX
백	백/NR
육십만	육십만/NR
달러에	달러/NNB+에/JKB
이르고	이르/VV+고/EC
그에게	그/NP+에게/JKB
수갑을	수갑/NNG+을/JKO
채웠던	채우/VV+었/EP+던/ETM
경찰	경찰/NNG
알렉스	알렉스/NNP
텔레스에게는	텔레스/NNG+에게/JKB+는/JX
9만	9/SN+만/NR
달러의	달러/NNB+의/JKG
벌금을	벌금/NNG+을/JKO
책정했다	책정하/VV+였/EP+다/EF

한편	한편/MAG
법정에는	법정/NNG+에/JKB+는/JX
당시	당시/NNG
함께	함께/MAG
있었던	있/VA+었/EP+던/ETM
아홉명의	아홉명/NNP+의/JKG
경찰도	경찰/NNG+도/JX
참고인으로	참고인/NNG+으로/JKB
참석했는데	참석하/VV+였/EP+는데/EC
이	이/MM
자리에서	자리/NNG+에서/JKB
한결	한결/MAG
같이	같이/MAG
기억이	기억/NNG+이/JKS
나지	나/VV+지/EC
않는다고	않/VX+는다고/EC
말해	말하/VV+여/EC
비난을	비난/NNG+을/JKO
사기도	사/VV+기/ETN+도/JX
했다	하/VX+였/EP+다/EF

*	*/SW
샘	샘/NNG
기자는	기자/NNG+는/JX
에이블뉴스	에이블뉴스/NNP
객원기자로	객원기자/NNG+로/JKB
캘리포니아	캘리포니아/NNP
버클리대학	버클리대학/NNP
사회학과를	사회학과/NNG+를/JKO
졸업하고,	졸업하/VV+고/EC+,/SP
전	전/MM
미상원	미/NNP+상원/NNG
장애인국	장애인국/NNG
인턴을	인턴/NNG+을/JKO
