서울	서울/NNP
시내버스	시내버스/NNG
55%	55/SN+%/SW
저상버스로	저상버스/NNG+로/JKB
바꾼다	바꾸/VV+ㄴ다/EF

서울시가	서울시/NNP+가/JKS
오는	오/VV+는/ETM
2016년까지	2016/SN+년/NNB+까지/JX
교통약자의	교통약자/NNG+의/JKG
이동편의를	이동편의/NNG+를/JKO
위해	위하/VV+여/EC
시내버스의	시내버스/NNG+의/JKG
55%를	55/SN+%/SW+를/JKO
‘저상버스’로	‘/SN+저상버스’/NNG+로/JKB
교체한다	교체하/VV+ㄴ다/EF

또한	또한/MAG
‘장애인	‘/SL+장애인/NNG
콜택시’도	콜택시’/NNG+도/JX
600대	600/SN+대/NNB
이상으로	이상/NNG+으로/JKB
확대해	확대하/VV+여/EC
나갈	나가/VX+ㄹ/ETM
계획이다	계획/NNG+이/VCP+다/EC

서울시는	서울시/NNP+는/JX
이	이/NP
같은	같/VA+은/ETM
내용이	내용/NNG+이/JKS
담긴	담기/VV+ㄴ/ETM
향후	향후/NNG
4년	4/SN+년/NNB
간	간/XSN
대중교통	대중교통/NNG
정책의	정책/NNG+의/JKG
기본방향을	기본방향/NNG+을/JKO
제시한	제시하/VV+ㄴ/ETM
‘제2차	‘/SL+제/XPN+2/SN+차/NNB
대중교통계획’을	대중교통계획’/NNG+을/JKO
발표했다	발표하/VV+였/EP+다/EC

‘서울시	‘/SL+서울시/NNP
대중교통계획’은	대중교통계획/NNG+’/SL+은/JX
효율적이고	효율적/NNG+이/VCP+고/EC
합리적인	합리적/NNG+이/VCP+ㄴ/ETM
대중교통체계를	대중교통체계/NNG+를/JKO
구축하고	구축하/VV+고/EC
편리한	편리하/VA+ㄴ/ETM
서비스를	서비스/NNG+를/JKO
제공해	제공하/VV+여/EC
대중교통	대중교통/NNG
이용을	이용/NNG+을/JKO
활성화하기	활성화하/VV+기/ETN
위해	위하/VV+여/EC
5년마다	5/SN+년/NNB+마다/JX
수립하는	수립하/VV+는/ETM
계획으로,	계획/NNG+으로/JKB+,/SP
제2차	제/XPN+2/SN+차/NNB
계획은	계획/NNG+은/JX
올해	올해/NNG
초부터	초/NNB+부터/JX
시민	시민/NNG
및	및/MAG
관계	관계/NNG
기관	기관/NNG
의견	의견/NNG
수렴	수렴/NNG
등을	등/NNB+을/JKO
거쳐	거치/VV+어/EC
최종안을	최종안/NNG+을/JKO
확정했다	확정하/VV+였/EP+다/EC

추진	추진/NNG
목표는	목표/NNG+는/JX
수요	수요/NNG
맞춤형	맞춤/NNG+형/XSN
대중교통	대중교통/NNG
도입	도입/NNG
