정신질환	정신질환/NNG
子	子/SL
유기·사망케	유기/NNG+·/SP+사망하/VV+게/EC
한	하/VX+ㄴ/EF
부모	부모/NNG
‘집행유예’	‘/SL+집행유예/NNG+’/SN

법원이	법원/NNG+이/JKS
정신질환을	정신질환/NNG+을/JKO
갖고	갖/VV+고/EC
있는	있/VX+는/ETM
아들을	아들/NNG+을/JKO
유기해	유기하/VV+여/EC
사망에	사망/NNG+에/JKB
이르게	이르/VV+게/EC
한	하/VX+ㄴ/EF
부모에게	부모/NNG+에게/JKB
집행유예를	집행유예/NNG+를/JKO
선고했다	선고하/VV+였/EP+다/EC

대전지방법원	대전/NNP+지방법원/NNG
제11형사부(이종림	제/XPN+11/SN+형사부/NNG+(/SS+이종림/NNP
부장판사)는	부장판사/NNG+)/SS+는/JX
16일	16/SN+일/NNB
정신질환으로	정신질환/NNG+으로/JKB
자신들에게	자신/NNG+들/XSN+에게/JKB
손찌검을	손찌검/NNG+을/JKO
하던	하/VV+던/ETM
아들을	아들/NNG+을/JKO
방치해	방치하/VV+여/EC
숨지게	숨지/VV+게/EC
한	하/VX+ㄴ/EF
혐의(유기치사)로	혐의/NNG+(/SS+유기치사/NNG+)/SS+로/JKB
기소된	기소되/VV+ㄴ/ETM
박모(55)씨	박/NNP+모/NP+(/SS+55/SN+)/SS+씨/NNB
부부에게	부부/NNG+에게/JKB
징역	징역/NNG
2년,	2/SN+년/NNB+,/SP
집행유예	집행유예/NNG
3년을	3/SN+년/NNB+을/JKO
선고했다	선고하/VV+였/EP+다/EC

박씨	박/NNP+씨/NNB
부부는	부부/NNG+는/JX
지난	지나/VV+ㄴ/ETM
5월	5/SN+월/NNB
9일	9/SN+일/NNB
대전	대전/NNP
대덕구의	대덕구/NNP+의/JKG
A	A/SL
교회에서	교회/NNG+에서/JKB
아들에게	아들/NNG+에게/JKB
3일간	3/SN+일/NNB+간/XSN
음식도	음식/NNG+도/JX
주지	주/VV+지/EC
않고	않/VX+고/EC
묶어둬	묶/VV+어/EC+두/VX+어/EC
숨지게	숨지/VV+게/EC
한	하/VX+ㄴ/EF
혐의로	혐의/NNG+로/JKB
기소됐다	기소되/VV+었/EP+다/EC

아들은	아들/NNG+은/JX
2008년경	2008/SN+년/NNB+경/XSN
군	군/NNG
입대	입대/NNG
후	후/NNG
선임병들의	선임병/NNG+들/XSN+의/JKG
가혹행위로	가혹행위/NNG+로/JKB
정신질환을	정신질환/NNG+을/JKO
갖게	갖/VV+게/EC
됐고,	되/VV+었/EP+고/EC+,/SP
평소	평소/NNG
부모를	부모/NNG+를/JKO
심하게	심하/VA+게/EC
때린	때리/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
드러났다	드러나/VV+았/EP+다/EC

이를	이/NP+를/JKO
참지	참/VV+지/EC
못한	못하/VX+ㄴ/ETM
부모는	부모/NNG+는/JX
아들을	아들/NNG+을/JKO
교회로	교회/NNG+로/JKB
데려가	데려가/VV+아/EC
기운을	기운/NNG+을/JKO
뺀다는	빼/VV+ㄴ다는/ETM
명목으로	명목/NNG+으로/JKB
단식을	단식/NNG+을/JKO
시켰고,	시키/VV+었/EP+고/EC+,/SP
약	약/MM
3일	3/SN+일/NNB
동안	동안/NNG
2회	2/SN+회/NNB
목욕을	목욕/NNG+을/JKO
시킬	시키/VV+ㄹ/ETM
때	때/NNG
빼고는	빼/VV+고는/EC
손과	손/NNG+과/JC
발을	발/NNG+을/JKO
압박붕대,	압박붕대/NNG+,/SP
천	천/NR
기저귀로	기저귀/NNG+로/JKB
묶어놨다	묶/VV+어/EC+놓/VX+았/EP+다/EF

부모는	부모/NNG+는/JX
아들을	아들/NNG+을/JKO
그대로	그대로/MAG
방치한	방치하/VV+ㄴ/ETM
채	채/NNB
예배당에서	예배당/NNG+에서/JKB
기도만	기도/NNG+만/JX
했고,	하/VV+였/EP+고/EC+,/SP
결국	결국/NNG
아들은	아들/NNG+은/JX
사망했다	사망하/VV+였/EP+다/EF

이에	이/NP+에/JKB
대해	대하/VV+여/EC
재판부는	재판부/NNG+는/JX
“3일동안	“/SL+3/SN+일/NNB+동안/NNG
음식	음식/NNG
섭취	섭취/NNG
하지	하/VV+지/EC
않은	않/VX+은/ETM
아들에게	아들/NNG+에게/JKB
영양	영양/NNG
공급	공급/NNG
등의	등/NNB+의/JKG
조치를	조치/NNG+를/JKO
하지	하/VV+지/EC
않은	않/VX+은/ETM
것을	것/NNB+을/JKO
보아	보/VV+아/EC
유기의	유기/NNG+의/JKG
고의가	고의/NNG+가/JKS
없었다는	없/VA+었/EP+다는/ETM
주장은	주장/NNG+은/JX
받아	받/VV+아/EC
들일	들이/VV+ㄹ/ETM
수	수/NNB
없다”며	없/VA+다/EC+”/VX+며/EC
“피고인들에게는	“/SL+피고인/NNG+들/XSN+에게/JKB+는/JX
정상적인	정상적/NNG+이/VCP+ㄴ/ETM
판단을	판단/NNG+을/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
피해자를	피해자/NNG+를/JKO
보호해야	보호하/VV+여야/EC
할	하/VX+ㄹ/ETM
의무가	의무/NNG+가/JKS
있다그	있/VA+다그/EC
의무를	의무/NNG+를/JKO
저버려	저버리/VV+어/EC
소중하고	소중하/VA+고/EC
존엄한	존엄하/VA+ㄴ/ETM
청년의	청년/NNG+의/JKG
생명을	생명/NNG+을/JKO
잃게	잃/VV+게/EC
했다”고	하/VX+였/EP+다/EC+”/VV+고/EC
설명했다	설명하/VV+었/EP+다/EC

재판부는	재판부/NNG+는/JX
“아들을	“/SN+아들/NNG+을/JKO
병원에	병원/NNG+에/JKB
꾸준히	꾸준히/MAG
데리고	데리/VV+고/EC
다니며	다니/VV+며/EC
치료를	치료/NNG+를/JKO
위해	위하/VV+여/EC
온갖	온갖/MM
노력을	노력/NNG+을/JKO
해왔고,	하/VV+여/EC+오/VX+았/EP+고/EC+,/SP
심한	심하/VA+ㄴ/ETM
자책감과	자책감/NNG+과/JC
괴로움	괴로움/NNG
때문에	때문/NNB+에/JKB
사망한	사망하/VV+ㄴ/ETM
아들만큼이나	아들/NNG+만큼이나/JX
큰	크/VA+ㄴ/ETM
고통에	고통/NNG+에/JKB
시달리고	시달리/VV+고/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
보인다”면서	보일/VV+ㄴ다/EC+”/VV+면서/EC
“20년	“/SL+20/SN+년/NNB
넘게	넘/VV+게/EC
귀하게	귀하/VA+게/EC
길러온	기르/VV+어/EC+오/VX+ㄴ/ETM
자식을	자식/NNG+을/JKO
잃은	잃/VV+은/ETM
부모에게	부모/NNG+에게/JKB
자식의	자식/NNG+의/JKG
죽음보다	죽음/NNG+보다/JKB
더한	더하/VA+ㄴ/ETM
형벌은	형벌/NNG+은/JX
없을	없/VA+을/ETM
것으로	것/NNB+으로/JKB
여겨진다”고	여기/VV+어/EC+지/VX+ㄴ다”고/EC
판단했다	판단하/VV+였/EP+다/EC
