성균관대,	성균관대/NNP+,/SP
성폭행	성폭행/NNG
전력	전력/NNG
학생	학생/NNG
입학	입학/NNG
취소	취소/NNG

(서울=연합뉴스)	(/SS+서울/NNP+=/SW+연합뉴스/NNP+)/SS
김연숙	김연숙/NNP
기자	기자/NNG
=	=/SW
집단	집단/NNG
성폭행에	성폭행/NNG+에/JKB
가담했던	가담하/VV+였/EP+던/ETM
사실을	사실/NNG+을/JKO
숨기고	숨기/VV+고/EC
입학사정관제	입학사정관/NNG+제/XSN
전형으로	전형/NNG+으로/JKB
성균관대에	성균관대/NNP+에/JKB
들어온	들어오/VV+ㄴ/ETM
학생의	학생/NNG+의/JKG
입학과	입학/NNG+과/JKB
합격이	합격/NNG+이/JKS
취소됐다	취소되/VV+었/EP+다/EF

성균관대는	성균관대/NNP+는/JX
18일	18/SN+일/NNB
교무위원회를	교무위원회/NNG+를/JKO
열고	열/VV+고/EC
지적장애인	지적장애인/NNG
집단	집단/NNG
성폭행	성폭행/NNG
사건에	사건/NNG+에/JKB
가담했던	가담하/VV+였/EP+던/ETM
이	이/MM
학교	학교/NNG
1학년	1/SN+학년/NNG
A씨의	A/SL+씨/NNB+의/JKG
합격과	합격/NNG+과/JC
입학을	입학/NNG+을/JKO
취소하기로	취소하/VV+기/ETN+로/JKB
했다고	하/VV+였/EP+다고/EC
밝혔다	밝히/VV+었/EP+다/EC

대학이	대학/NNG+이/JKS
재학생의	재학생/NNG+의/JKG
고교시절	고교시절/NNG
이력과	이력/NNG+과/JKB
허위	허위/NNG
추천서를	추천서/NNG+를/JKO
문제	문제/NNG
삼아	삼/VV+아/EC
입학을	입학/NNG+을/JKO
취소한	취소하/VV+ㄴ/ETM
것은	것/NNB+은/JX
극히	극히/MAG
드문	드물/VA+ㄴ/ETM
일이다	일/NNG+이/VCP+다/EC

성균관대	성균관대/NNP
관계자는	관계자/NNG+는/JX
"입학	"/SS+입학/NNG
시	시/NNB
허위사실을	허위사실/NNG+을/JKO
기재하거나	기재하/VV+거나/EC
부정한	부정하/VA+ㄴ/ETM
방법으로	방법/NNG+으로/JKB
합격한	합격하/VV+ㄴ/ETM
경우에는	경우/NNG+에/JKB+는/JX
입학	입학/NNG
후라도	후/NNG+라도/JX
합격과	합격/NNG+과/JC
입학을	입학/NNG+을/JKO
취소한다는	취소하/VV+ㄴ다는/ETM
학칙에	학칙/NNG+에/JKB
따라	따르/VV+아/EC
이같이	이같이/MAG
결정했다"며	결정하/VV+였/EP+다/EF+"/SS+며/EC
"입학이	"/SS+입학/NNG+이/JKS
취소되면	취소되/VV+면/EC
학적이	학적/NNG+이/JKS
말소되기	말소되/VV+기/ETN
때문에	때문/NNB+에/JKB
재입학은	재입학/NNG+은/JX
불가능하다"고	불가능하/VA+다/EF+"/SS+고/JKQ
말했다	말하/VV+였/EP+다/EC

이	이/MM
관계자는	관계자/NNG+는/JX
"인성과	"/SS+인성/NNG+과/JC
소질,	소질/NNG+,/SP
지도력	지도력/NNG
등을	등/NNB+을/JKO
중요한	중요하/VA+ㄴ/ETM
선발	선발/NNG
기준으로	기준/NNG+으로/JKB
삼는	삼/VV+는/ETM
입학사정관	입학사정관/NNG
리더십	리더십/NNG
전형에	전형/NNG+에/JKB
지원하면서	지원하/VV+면서/EC
집단	집단/NNG
성범죄	성범죄/NNG
가해전력을	가해전력/NNG+을/JKO
은폐한	은폐하/VV+ㄴ/ETM
행위는	행위/NNG+는/JX
부정행위에	부정행위/NNG+에/JKB
속한다고	속하/VV+ㄴ다고/EC
판단했다"며	판단하/VV+였/EP+다/EF+"/SS+며/EC
"추천	"/SS+추천/NNP
교사가	교사/NNG+가/JKS
허위	허위/NNG
추천서를	추천서/NNG+를/JKO
제출한	제출하/VV+ㄴ/ETM
것	것/NNB
역시	역시/MAG
입학전형의	입학전형/NNG+의/JKG
공정성을	공정성/NNG+을/JKO
해하는	해하/VV+는/ETM
부정행위"라고	부정행위/NNG+"/SS+라고/JKQ
설명했다	설명하/VV+었/EP+다/EC

2010년	2010/SN+년/NNB
5월	5/SN+월/NNB
지방	지방/NNG
한	한/MM
도시에서	도시/NNG+에서/JKB
정신지체	정신지체/NNG
장애	장애/NNG
여중생	여중생/NNG
집단	집단/NNG
성폭행	성폭행/NNG
사건에	사건/NNG+에/JKB
연루된	연루되/VV+ㄴ/ETM
A씨는	A/SL+씨/NNB+는/JX
재판이	재판/NNG+이/JKS
진행	진행/NNG
중이던	중/NNB+이/VCP+던/ETM
지난해	지난해/NNG
8월	8/SN+월/NNB
성균관대	성균관대/NNP
입학사정관제	입학사정관/NNG+제/XSN
리더십	리더십/NNG
전형에	전형/NNG+에/JKB
지원해	지원하/VV+여/EC
합격했다	합격하/VV+였/EP+다/EC

A씨	A/SL+씨/NNB
출신고교와	출신고교/NNG+와/JKB
담임교사는	담임교사/NNG+는/JX
성폭행	성폭행/NNG
사실을	사실/NNG+을/JKO
알고	알/VV+고/EC
있었지만	있/VX+었/EP+지만/EC
이런	이런/MM
사실은	사실/NNG+은/JX
전혀	전혀/MAG
언급하지	언급하/VV+지/EC
않은	않/VX+은/ETM
채	채/NNB
대입	대입/NNG
추천서에	추천서/NNG+에/JKB
"일회성이	"/SS+일회성/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
지속적인	지속적/NNG+이/VCP+ㄴ/ETM
봉사활동가로	봉사활동가/NNG+로/JKB
인정받았다"며	인정받/VV+았/EP+다/EF+"/SS+며/EC
A씨의	A/SL+씨/NNB+의/JKG
봉사	봉사/NNG
이력을	이력/NNG+을/JKO
강조했다	강조하/VV+였/EP+다/EC

A씨는	A/SL+씨/NNB+는/JX
성폭행	성폭행/NNG
혐의로	혐의/NNG+로/JKB
지난해	지난해/NNG
12월	12/SN+월/NNB
법원에서	법원/NNG+에서/JKB
소년보호	소년보호/NNG
처분을	처분/NNG+을/JKO
받았다	받/VV+았/EP+다/EC

성균관대	성균관대/NNP
관계자는	관계자/NNG+는/JX
"이번	"/SS+이번/NNG
결정이	결정/NNG+이/JKS
부정입학	부정입학/NNG
논란의	논란/NNG+의/JKG
처리기준이	처리기준/NNG+이/JKC
되고	되/VV+고/EC
입학전형과	입학전형/NNG+과/JKB
관련해	관련하/VV+여/EC
대학과	대학/NNG+과/JC
고교의	고교/NNG+의/JKG
신뢰관계가	신뢰관계/NNG+가/JKS
재조명되는	재조명/NNG+되/XSV+는/ETM
계기가	계기/NNG+가/JKC
되길	되/VV+기/ETN+ㄹ/JKO
바란다"며	바라/VV+ㄴ다/EF+"/SS+며/EC
"A씨	"/SS+A/SL+씨/NNB
출신고교와	출신고교/NNG+와/JKB
다른	다르/VA+ㄴ/ETM
학생들에게는	학생/NNG+들/XSN+에게/JKB+는/JX
피해가	피해/NNG+가/JKS
가지	가/VV+지/EC
않도록	않/VX+도록/EC
하겠다"고	하/VX+겠/EP+다/EF+"/SS+고/JKQ
전했다	전하/VV+었/EP+다/EC

이에	이/NP+에/JKB
앞서	앞서/VV+어/EC
성균관대는	성균관대/NNP+는/JX
A씨에게	A/SL+씨/NNB+에게/JKB
자기소개서	자기소개/NNG+서/XSN
작성	작성/NNG
경위에	경위/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
소명서를	소명서/NNG+를/JKO
요청했으나	요청하/VV+였/EP+으나/EC
A씨는	A/SL+씨/NNB+는/JX
이를	이/NP+를/JKO
제출하지	제출하/VV+지/EC
않았다	않/VX+았/EP+다/EF

nomad@yna	nomad/SL+@/SW+yna/SL

co	co/SL

kr<저	kr/SL+</SS+저/MM
작	작/NNG
권	권/NNP
자(c)연	자/NP+(/SS+c/SL+)/SS+연/NNG
합	합/NNG
뉴	뉴/NNG
스	스/NNG

무	무/NNG
단	단/MM
전	전/NNG
재-재	재/NNG+-/SO+재/NNG
배	배/NNG
포	포/NNG
금	금/VV
지	짓/VV

>	>/SS
