장애인시설	장애인시설/NNG
부재자투표	부재자투표/NNG
관리감독	관리감독/NNG
강화	강화/NNG

중앙선거관리위원회(이하	중앙선거관리위원회/NNG+(/SS+이하/NNG
중앙선관위)가	중앙선관위/NNG+)/SS+가/JKS
20일	20/SN+일/NNB
장애인	장애인/NNG
거주시설의	거주시설/NNG+의/JKG
부재자투표	부재자투표/NNG
공정성	공정성/NNG
확보를	확보/NNG+를/JKO
위해	위하/VV+여/EC
관리·감독을	관리/NNG+·/SP+감독/NNG+을/JKO
강화할	강화하/VV+ㄹ/ETM
방침이라고	방침/NNG+이/VCP+라고/EC
밝혔다	밝히/VV+었/EP+다/EC

이는	이/NP+는/JX
지난	지나/VV+ㄴ/ETM
4·11총선	4/SN+·/SP+11/SN+총선/NNG
당시	당시/NNG
서울의	서울/NNP+의/JKG
한	한/MM
장애인시설에서	장애인시설/NNG+에서/JKB
투표	투표/NNG
강압	강압/NNG
및	및/MAG
대리투표가	대리투표/NNG+가/JKS
있었다는	있/VA+었/EP+다는/ETM
의혹에	의혹/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
것이다	것/NNB+이/VCP+다/EC

중앙선관위는	중앙선관위/NNG+는/JX
먼저	먼저/MAG
시설	시설/NNG
대표자	대표자/NNG
등에게	등/NNB+에게/JKB
대리신고·대리투표	대리신고/NNG+·/SP+대리투표/NNG
금지	금지/NNG
안내	안내/NNG
공문	공문/NNG
전달	전달/NNG
및	및/MAG
부재자신고	부재자신고/NNG
절차·방법	절차/NNG+·/SP+방법/NNG
등에	등/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
특별	특별/NNG
교육을	교육/NNG+을/JKO
실시한다	실시하/VV+ㄴ다/EF

또한	또한/MAG
부재자신고서	부재자신고서/NNG
전체	전체/NNG
서면심사,	서면심사/NNG+,/SP
기표소가	기표소/NNG+가/JKS
설치된	설치되/VV+ㄴ/ETM
장애인	장애인/NNG
거주시설에	거주시설/NNG+에/JKB
선관위	선관위/NNG
직원	직원/NNG
등	등/NNB
1인	1/SN+인/NNG
이상의	이상/NNG+의/JKG
투표	투표/NNG
참관	참관/NNG
조치	조치/NNG
등을	등/NNB+을/JKO
추진한다	추진하/VV+ㄴ다/EF

특히	특히/MAG
부재자투표와	부재자투표/NNG+와/JKB
관련,	관련/NNG+,/SP
타인을	타인/NNG+을/JKO
대신해	대신하/VV+여/EC
거짓으로	거짓/NNG+으로/JKB
부재자신고를	부재자신고/NNG+를/JKO
하거나	하/VV+거나/EC
선관위가	선관위/NNG+가/JKS
발송한	발송하/VV+ㄴ/ETM
투표용지를	투표용지/NNG+를/JKO
가로채	가로채/VV+어/EC
대리투표를	대리투표/NNG+를/JKO
하는	하/VV+는/ETM
행위	행위/NNG
등에	등/NNB+에/JKB
대해서는	대하/VV+여서/EC+는/JX
예외	예외/NNG
없이	없이/MAG
고발	고발/NNG
조치할	조치하/VV+ㄹ/ETM
방침이다	방침/NNG+이/VCP+다/EC

한편	한편/MAG
거짓으로	거짓/NNG+으로/JKB
부재자신고를	부재자신고/NNG+를/JKO
하면	하/VV+면/EC
3년	3/SN+년/NNB
이하의	이하/NNG+의/JKG
징역	징역/NNG
또는	또는/MAG
500만원	500/SN+만/NR+원/NNB
이하의	이하/NNG+의/JKG
벌금을,	벌금/NNG+을/JKO+,/SP
거짓	거짓/NNG
방법으로	방법/NNG+으로/JKB
투표하거나	투표하/VV+거나/EC
투표하게	투표하/VA+게/EC
한	하/VX+ㄴ/EF
사람은	사람/NNG+은/JX
5년	5/SN+년/NNB
이하의	이하/NNG+의/JKG
징역	징역/NNG
또는	또는/MAG
1천만원	1/SN+천만/NR+원/NNB
이하의	이하/NNG+의/JKG
벌금에	벌금/NNG+에/JKB
처해질	처하/VV+여/EC+지/VX+ㄹ/ETM
수	수/NNB
있다	있/VA+다/EC
