개콘	개콘/NNG
'체포왕',	'/SS+체포왕/NNG+'/SS+,/SP
방심위	방심위/NNG
‘권고’	‘/SN+권고/NNG+’/SL
결정	결정/NNG

장애우권익문제연구소가	장애우권익문제연구소/NNG+가/JKS
지난	지나/VV+ㄴ/ETM
10월	10/SN+월/NNB
방송통신심의위원회에	방송통신심의위원회/NNG+에/JKB
제기한	제기하/VV+ㄴ/ETM
KBS	KBS/SL
개그콘서트	개그콘서트/NNG
‘체포왕’	‘/SL+체포왕/NNG+’/SL
코너의	코너/NNG+의/JKG
방송심의	방송심의/NNG
결과,	결과/NNG+,/SP
권고	권고/NNG
조치가	조치/NNG+가/JKS
내려진	내려지/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
확인됐다	확인되/VV+었/EP+다/EF

앞서	앞서/MAG
연구소는	연구소/NNG+는/JX
개그콘서트의	개그콘서트/NNG+의/JKG
‘체포왕’	‘/SL+체포왕/NNG+’/SL
코너가	코너/NNG+가/JKS
지적장애인을	지적장애인/NNG+을/JKO
놀리고	놀리/VV+고/EC
괴롭히는	괴롭히/VV+는/ETM
설정으로	설정/NNG+으로/JKB
장애인에	장애인/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
학대와	학대/NNG+와/JC
차별,	차별/NNG+,/SP
선입견을	선입견/NNG+을/JKO
야기한다는	야기하/VV+ㄴ다는/ETM
점을	점/NNG+을/JKO
지적하며	지적하/VV+며/EC
해당	해당/NNG
방송사에	방송사/NNG+에/JKB
시정을	시정/NNG+을/JKO
권고하는	권고하/VV+는/ETM
한편,	한편/NNG+,/SP
방심위에	방심위/NNG+에/JKB
방송민원을	방송민원/NNG+을/JKO
제기했다	제기하/VV+였/EP+다/EC

연구소는	연구소/NNG+는/JX
지적장애인을	지적장애인/NNG+을/JKO
‘동네	‘/SL+동네/NNG
바보’로	바보’/NNG+로/JKB
비하하고,	비하하/VV+고/EC+,/SP
아동들이	아동/NNG+들/XSN+이/JKS
지적장애인을	지적장애인/NNG+을/JKO
속여	속이/VV+어/EC
대변과	대변/NNG+과/JC
나프탈렌을	나프탈렌/NNG+을/JKO
먹이거나	먹이/VV+거나/EC
때리는	때리/VV+는/ETM
등	등/NNB
가해하는	가해하/VV+는/ETM
내용을	내용/NNG+을/JKO
웃음의	웃음/NNG+의/JKG
코드로	코드/NNG+로/JKB
삼는	삼/VV+는/ETM
문제점을	문제점/NNG+을/JKO
지적했으며,	지적하/VV+였/EP+으며/EC+,/SP
이는	이/NP+는/JX
어린이들의	어린이/NNG+들/XSN+의/JKG
모방을	모방/NNG+을/JKO
야기할	야기하/VV+ㄹ/ETM
우려가	우려/NNG+가/JKS
있으며	있/VA+으며/EC
장애인	장애인/NNG
가족과	가족/NNG+과/JC
당사자에게	당사자/NNG+에게/JKB
큰	크/VA+ㄴ/ETM
아픔을	아픔/NNG+을/JKO
주고	주/VV+고/EC
있다고	있/VX+다고/EC
주장한	주장하/VV+ㄴ/ETM
바	바/NNB
있다	있/VA+다/EF

이에	이/NP+에/JKB
방심위는	방심위/NNG+는/JX
‘웃음	‘/SN+웃음/NNG
유발을	유발/NNG+을/JKO
목적으로	목적/NNG+으로/JKB
하는	하/VV+는/ETM
코미디	코미디/NNG
프로그램인	프로그램/NNG+이/VCP+ㄴ/ETM
점을	점/NNG+을/JKO
감안하더라도,	감안하/VV+더라도/EC+,/SP
사회적	사회적/NNG
약자인	약자/NNG+이/VCP+ㄴ/ETM
‘지적장애인’을	‘/SN+지적장애인/NNG+’/SL+을/JKO
놀리고	놀리/VV+고/EC
괴롭히는	괴롭히/VV+는/ETM
설정은	설정/NNG+은/JX
이러한	이러하/VA+ㄴ/ETM
행태를	행태/NNG+를/JKO
조장하거나,	조장하/VV+거나/EC+,/SP
어린이들의	어린이/NNG+들/XSN+의/JKG
모방을	모방/NNG+을/JKO
유도할	유도하/VV+ㄹ/ETM
우려가	우려/NNG+가/JKS
있어	있/VA+어/EC
관련	관련/NNG
심의규정을	심의규정/NNG+을/JKO
위반한	위반하/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
판단되므로,	판단되/VV+므로/EC+,/SP
관련	관련/NNG
규정을	규정/NNG+을/JKO
준수하도록	준수하/VV+도록/EC
방송법	방송법/NNG
제100조	제/XPN+100/SN+조/NR
제1항에	제/XPN+1/SN+항/NNG+에/JKB
의거	의거/NNG
‘권고’	‘/SN+권고’/NNG
했다고	하/VV+였/EP+다고/EC
밝혔다	밝히/VV+었/EP+다/EC

이에	이/NP+에/JKB
연구소	연구소/NNG
관계자는	관계자/NNG+는/JX
“앞으로도	“/SN+앞/NNG+으로/JKB+도/JX
방송을	방송/NNG+을/JKO
통해	통하/VV+여/EC
이뤄지는	이루어지/VV+는/ETM
장애인	장애인/NNG
차별과	차별/NNG+과/JC
인권침해에	인권침해/NNG+에/JKB
적극	적극/NNG
대응할	대응하/VV+ㄹ/ETM
것이며	것/NNB+이/VCP+며/EC
이에	이/NP+에/JKB
대한	대하/VV+ㄴ/ETM
감시를	감시/NNG+를/JKO
늦추지	늦추/VV+지/EC
않을	않/VX+을/ETM
것”이라고	것/NNB+”/SL+이/VCP+라고/EC
말했다	말하/VV+였/EP+다/EC
