英경찰,	英/SL+경찰/NNG+,/SP
‘흰	‘/SL+희/VA+ㄴ/ETM
지팡이’를	지팡이’/NNG+를/JKO
검으로	검/NNG+으로/JKB
오인	오인/NNG
전기충격	전기충격/NNG

경찰이	경찰/NNG+이/JKS
시각	시각/NNG
장애인을	장애인/NNG+을/JKO
전기	전기/NNG
충격기로	충격기/NNG+로/JKB
쓰러뜨린	쓰러뜨리/VV+ㄴ/ETM
일이	일/NNG+이/JKS
발생했다	발생하/VV+였/EP+다/EC

영국	영국/NNP
랭카셔에서	랭카셔/NNG+에서/JKB
발생한	발생하/VV+ㄴ/ETM
이	이/MM
사건은	사건/NNG+은/JX
경찰의	경찰/NNG+의/JKG
장애인에	장애인/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
무지에서	무지/NNG+에서/JKB
발생해	발생하/VV+여/EC
그	그/MM
여파가	여파/NNG+가/JKS
크게	크/VA+게/EC
번지고	번지/VV+고/EC
있다	있/VX+다/EC

경찰은	경찰/NNG+은/JX
이달	이달/NNG
중순	중순/NNG
61세의	61/SN+세/NNB+의/JKG
시각장애인	시각장애인/NNG
콜린	콜린/NNP
파머가	파머/NNP+가/JKS
피터	피터/NNP
스트릿을	스트릿/NNG+을/JKO
흰지팡이를	흰지팡이/NNG+를/JKO
이용해	이용하/VV+여/EC
걷고	걷/VV+고/EC
있는	있/VX+는/ETM
데	데/NNB
갑자기	갑자기/MAG
뒤에서	뒤/NNG+에서/JKB
화가	화가/NNG
잔뜩난	잔뜩나/VA+ㄴ/ETM
남성의	남성/NNG+의/JKG
소리가	소리/NNG+가/JKS
들렸다	들리/VV+었/EP+다/EC

사건	사건/NNG
당시	당시/NNG
달팽이처럼	달팽이/NNG+처럼/JKB
천천히	천천히/MAG
걷고	걷/VV+고/EC
있는	있/VX+는/ETM
파머를	파머/NNG+를/JKO
향해	향하/VV+여/EC
경찰은	경찰/NNG+은/JX
‘무기를	‘/SL+무기/NNG+를/JKO
내려	내리/VV+어/EC
놔’라고	놔’/VX+라고/EC
소리를	소리/NNG+를/JKO
질렀다	지르/VV+었/EP+다/EF

그는	그/NP+는/JX
소리	소리/NNG
지른	지르/VV+ㄴ/ETM
사람이	사람/NNG+이/JKS
훌리건인	훌리건/NNG+이/VCP+ㄴ/ETM
줄	줄/NNB
알았다	알/VV+았/EP+다/EC

그가	그/NP+가/JKS
경찰이었다는	경찰/NNG+이/VCP+었/EP+다는/ETM
것은	것/NNB+은/JX
전혀	전혀/MAG
짐작하지도	짐작하/VV+지/EC+도/JX
못했다	못하/VX+였/EP+다/EF

경찰은	경찰/NNG+은/JX
파머가	파머/NNP+가/JKS
들고	들/VV+고/EC
있는	있/VX+는/ETM
흰지팡이를	희/VA+ㄴ/ETM+지팡이/NNG+를/JKO
사무라이	사무라이/NNG
검으로	검/NNG+으로/JKB
착각해	착각하/VV+여/EC
파머의	파머/NNP+의/JKG
등에	등/NNG+에/JKB
전기	전기/NNG
충격기를	충격기/NNG+를/JKO
들이대고	들이대/VV+고/EC
쏘아버렸다	쏘/VV+아/EC+버리/VX+었/EP+다/EF

파머는	파머/NNP+는/JX
그	그/MM
자리에서	자리/NNG+에서/JKB
얼굴을	얼굴/NNG+을/JKO
땅에	땅/NNG+에/JKB
부디치며	부디치/VV+며/EC
쓰러졌다	쓰러지/VV+었/EP+다/EC

당시	당시/NNG
파머는	파머/NNP+는/JX
강도에게	강도/NNG+에게/JKB
폭행을	폭행/NNG+을/JKO
당하는	당하/VV+는/ETM
줄알았다	줄/NNB+알/VV+았/EP+다/EF

오만	오만/NNP
볼트의	볼트/NNG+의/JKG
전기	전기/NNG
충격이	충격/NNG+이/JKS
온	온/MM
몸에	몸/NNG+에/JKB
전해지자	전하/VV+여/EC+지/VX+자/EC
그는	그/NP+는/JX
죽는	죽/VV+는/ETM
것	것/NNB
같은	같/VA+은/ETM
공포를	공포/NNG+를/JKO
느꼈다	느끼/VV+었/EP+다/EF

이	이/MM
사건은	사건/NNG+은/JX
현재	현재/MAG
자체	자체/NNG
경찰	경찰/NNG
불평	불평/NNG
위원회에	위원회/NNG+에/JKB
의해	의하/VV+여/EC
조사	조사/NNG
중에	중/NNB+에/JKB
있다	있/VA+다/EF

파머는	파머/NNP+는/JX
지난	지나/VV+ㄴ/ETM
봄에	봄/NNG+에/JKB
두	두/MM
번의	번/NNB+의/JKG
중풍으로	중풍/NNG+으로/JKB
쓰러진	쓰러지/VV+ㄴ/ETM
경력을	경력/NNG+을/JKO
가지고	가지/VV+고/EC
있어	있/VX+어/EC
이번에는	이번/NNG+에/JKB+는/JX
정말로	정말로/MAG
죽는	죽/VV+는/ETM
구나	구/NNG+나/JX
하는	하/VV+는/ETM
생각이	생각/NNG+이/JKS
들었다	들/VV+었/EP+다/EF

그를	그/NP+를/JKO
쓰러뜨렸던	쓰러뜨리/VV+었/EP+던/ETM
경찰은	경찰/NNG+은/JX
평상시와	평상시/NNG+와/JKB
같이	같이/MAG
일하고	일하/VV+고/EC
있다	있/VX+다/EC

경찰은	경찰/NNG+은/JX
아울러	아울러/MAG
당시	당시/NNG
‘사무라이	‘/SN+사무라이/NNG
검을	검/NNG+을/JKO
가지고	가지/VV+고/EC
있는	있/VX+는/ETM
사람이	사람/NNG+이/JKS
길을	길/NNG+을/JKO
걷고	걷/VV+고/EC
있다는	있/VX+다는/ETM
제보를	제보/NNG+를/JKO
받고	받/VV+고/EC
경찰을	경찰/NNG+을/JKO
출동	출동/NNG
시켰다가	시키/VV+었/EP+다가/EC
발생한	발생하/VV+ㄴ/ETM
일’이라며	일’/NNG+이/VCP+라며/EC
깊이	깊이/MAG
사과를	사과/NNG+를/JKO
표한다고	표하/VV+ㄴ다고/EC
말했다	말하/VV+였/EP+다/EC

한편	한편/MAG
정말로	정말로/MAG
사무라이	사무라이/NNG
검을	검/NNG+을/JKO
가지고	가지/VV+고/EC
있던	있/VX+던/ETM
27세의	27/SN+세/NNB+의/JKG
한	한/MM
남성은	남성/NNG+은/JX
사건	사건/NNG
후에	후/NNG+에/JKB
검거됐다	검거되/VV+었/EP+다/EF

파머는	파머/NNP+는/JX
