美항공사	美/SL+항공사/NNG
장애인	장애인/NNG
태블릿	태블릿/NNP
사용	사용/NNG
제한	제한/NNG
'논란'	'/SS+논란/NNG+'/SS

미미	미미/NNP
항공사	항공사/NNG
아메이칸	아메이칸/NNG
에어라인이	에어라인/NNG+이/JKS
장애인에	장애인/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
부당한	부당하/VA+ㄴ/ETM
대우로	대우/NNP+로/JKB
집중	집중/NNG
포화를	포화/NNG+를/JKO
받고	받/VV+고/EC
있다	있/VX+다/EC

지난	지나/VV+ㄴ/ETM
8월	8/SN+월/NNB
10일	10/SN+일/NNB
로스앤젤레스에서	로스앤젤레스/NNP+에서/JKB
토론토로	토론토/NNP+로/JKB
돌아가던	돌아가/VV+던/ETM
칼리	칼리/NNP
플래스크맨(17세,	플래스크맨/NNG+(/SS+17/SN+세/NNB+,/SP
자폐증)은	자폐증/NNG+)/SS+은/JX
항공사	항공사/NNG
직원으로부터	직원/NNG+으로부터/JKB
이륙하는	이륙하/VV+는/ETM
동안	동안/NNG
휴대하던	휴대하/VV+던/ETM
태블릿을	태블릿/NNG+을/JKO
치우라는	치우/VV+라는/ETM
명령을	명령/NNG+을/JKO
받았다	받/VV+았/EP+다/EC

장애로	장애/NNG+로/JKB
인해	인하/VV+여/EC
말을	말/NNG+을/JKO
하지	하/VV+지/EC
못하는	못하/VX+는/ETM
칼은	칼/NNG+은/JX
그녀의	그녀/NP+의/JKG
유일한	유일하/VA+ㄴ/ETM
소통	소통/NNG
수단인	수단/NNG+이/VCP+ㄴ/ETM
태블릿을	태블릿/NNG+을/JKO
빼앗기고,	빼앗기/VV+고/EC+,/SP
25분	25/SN+분/NNB
동안	동안/NNG
아무런	아무런/MM
커뮤니케이션을	커뮤니케이션/NNG+을/JKO
할	하/VV+ㄹ/ETM
수가	수/NNB+가/JKS
없었다	없/VA+었/EP+다/EF

집에	집/NNG+에/JKB
돌아온	돌아오/VV+ㄴ/ETM
