장애계,	장애/NNG+계/XSN+,/SP
장애인활동지원제도에	장애인활동지원제도/NNG+에/JKB
통곡하다	통곡하/VV+다/EC

“휠체어에	“/SL+휠체어/NNG+에/JKB
피켓을	피켓/NNG+을/JKO
앞뒤로	앞뒤/NNG+로/JKB
건채,	건채/NNG+,/SP
대중들에게	대중/NNG+들/XSN+에게/JKB
장애인	장애인/NNG
자립생활을	자립생활/NNG+을/JKO
홍보하겠다던	홍보하/VV+겠/EP+다던/ETM
예쁜	예쁘/VA+ㄴ/ETM
주영아!	주영/NNG+아/JKV+!/SF
널	너/NP+ㄹ/JKO
외롭게	외롭/VA+게/EC
죽게해서	죽/VV+게/EC+하/VX+여서/EC
너무	너무/MAG
가슴아프다	가슴아프/VV+다/EF

잘가거라	잘/MAG+가/VV+거라/EC
주영아!”지난	주영아/NNG+!/SF+”/SL+지나/VV+ㄴ/ETM
26일	26/SN+일/NNB
새벽,	새벽/NNG+,/SP
자택인	자택/NNG+이/VCP+ㄴ/ETM
서울	서울/NNP
행당동	행당동/NNP
주택에서	주택/NNG+에서/JKB
질식사로	질식사/NNG+로/JKB
숨진	숨지/VV+ㄴ/ETM
故	故/SL
김주영	김주영/NNP
활동가(34,뇌병변1급)	활동가/NNG+(/SS+34/SN+,/SP+뇌병변/NNP+1/SN+급/NNG+)/SS

30일	30/SN+일/NNB
오전	오전/NNG
11시	11/SN+시/NNB
서울	서울/NNP
광화문광장에서	광화문/NNP+광장/NNG+에서/JKB
평생	평생/NNG
장애인	장애인/NNG
자립생활을	자립생활/NNG+을/JKO
꿈꿔왔던	꿈꾸/VV+어/EC+오/VX+았/EP+던/ETM
그녀의	그녀/NP+의/JKG
넋을	넋/NNG+을/JKO
기리는	기리/VV+는/ETM
자리가	자리/NNG+가/JKS
마련됐다	마련되/VV+었/EP+다/EF

그녀의	그녀/NP+의/JKG
죽음으로	죽음/NNG+으로/JKB
뜨거운	뜨겁/VA+ㄴ/ETM
감자로	감자/NNG+로/JKB
떠오른	떠오르/VV+ㄴ/ETM
장애인활동지원제도의	장애인활동지원제도/NNG+의/JKG
급여문제	급여문제/NNG

그녀는	그녀/NP+는/JX
죽음으로써	죽음/NNG+으로써/JKB
다시	다시/MAG
한번	한/MM+번/NNB
장애인	장애인/NNG
활동지원제도의	활동지원제도/NNG+의/JKG
문제점을	문제점/NNG+을/JKO
세상에	세상/NNG+에/JKB
알렸다	알리/VV+었/EP+다/EF

이날	이날/NNG
광화문에는	광화문/NNP+에/JKB+는/JX
중증장애인의	중증장애인/NNG+의/JKG
고달픈	고달프/VA+ㄴ/ETM
삶을	삶/NNG+을/JKO
외면한	외면하/VV+ㄴ/ETM
정부를	정부/NNG+를/JKO
향한	향하/VV+ㄴ/ETM
장애계의	장애/NNG+계/XSN+의/JKG
통곡소리로	통곡소리/NNG+로/JKB
가득	가득/MAG
찼다	차/VV+았/EP+다/EC

■“죽어도	■/SW+“/SN+죽/VV+어도/EC
자립생활	자립생활/NNG
꿈꾸던…”=1979년	꿈꾸/VV+던/ETM+…/SE+”/SL+=/SW+1979/SN+년/NNB
6월	6/SN+월/NNB
14일,	14/SN+일/NNB+,/SP
뇌성마비	뇌성마비/NNG
장애를	장애/NNG+를/JKO
가지고	가지/VV+고/EC
태어난	태어나/VV+ㄴ/ETM
김주영	김주영/NNP
활동가는	활동가/NNG+는/JX
평생	평생/NNG
자립생활을	자립생활/NNG+을/JKO
알리기	알리/VV+기/ETN
위해	위하/VV+여/EC
고군분투했다	고군/NNG+분투하/VV+였/EP+다/EC

2005년,	2005/SN+년/NNB+,/SP
당시	당시/NNG
활동보조	활동보조/NNG
제도조차	제도/NNG+조차/JX
없었던	없/VA+었/EP+던/ETM
환경에서	환경/NNG+에서/JKB
그녀는	그녀/NP+는/JX
가족의	가족/NNG+의/JKG
짐이	짐/NNG+이/JKC
되는	되/VV+는/ETM
삶도	삶/NNG+도/JX
시설에서	시설/NNG+에서/JKB
한평생을	한평생/NNG+을/JKO
보호받는	보호/NNG+받/VV+는/ETM
삶도	삶/NNG+도/JX
거부하고	거부하/VV+고/EC
목숨을	목숨/NNG+을/JKO
건	걸/VV+ㄴ/ETM
자립생활을	자립생활/NNG+을/JKO
시작했다	시작하/VV+였/EP+다/EF

혼자서는	혼자/NNG+서/JKS+는/JX
살림은	살림/NNG+은/JX
물론,	물론/MAG+,/SP
식사나	식사/NNG+나/JC
용변,	용변/NNP+,/SP
옷	옷/NNG
갈아입고	갈아입/VV+고/EC
휠체어에서	휠체어/NNG+에서/JKB
내리기도	내리/VV+기/ETN+도/JX
어려운	어렵/VA+ㄴ/ETM
중증의	중증/NNG+의/JKG
장애를	장애/NNG+를/JKO
가진	가지/VV+ㄴ/ETM
여성으로서	여성/NNG+으로서/JKB
누구보다	누구/NP+보다/JKB
활동보조인의	활동보조인/NNG+의/JKG
절실함을	절실하/VA+ㅁ/ETN+을/JKO
알았던	알/VV+았/EP+던/ETM
그녀였기에,	그녀/NP+이/VCP+었/EP+기에/EC+,/SP
활동보조제도화	활동보조제도화/NNG
투쟁에	투쟁/NNG+에/JKB
누구보다	누구/NP+보다/JKB
열심히	열심히/MAG
참가하기	참가하/VV+기/ETN
시작했다	시작하/VV+였/EP+다/EF

활동보조제도화	활동보조제도화/NNG
뿐이	뿐/JX+이/JKC
아니었다	아니/VCN+었/EP+다/EF

장애인차별금지법	장애인차별금지법/NNG
제정투쟁,	제정투쟁/NNG+,/SP
장애인	장애인/NNG
이동권	이동/NNG+권/XSN
투쟁,	투쟁/NNG+,/SP
장애등급제	장애등급/NNG+제/XSN
폐지투쟁,	폐지투쟁/NNG+,/SP
부양의무제	부양의무제/NNG
폐지투쟁까지	폐지투쟁/NNG+까지/JX
장애인권운동의	장애인권운동/NNG+의/JKG
맨	맨/MM
앞에서	앞/NNG+에서/JKB
그녀는	그녀/NP+는/JX
온몸을	온몸/NNG+을/JKO
