장애인편의	장애인편/NNG+의/JKG
모범될만한	모범되/VV+ㄹ/ETM+만하/VX+ㄴ/ETM
'서울	'/SS+서울/NNP
신청사'	신청/NNG+사/XSN+'/SS

서울시	서울시/NNP
신청사가	신청/NNG+사/XSN+가/JKS
오는	오/VV+는/ETM
10월	10/SN+월/NNB
13일	13/SN+일/NNB
개청을	개청/NNG+을/JKO
앞두고,	앞두/VV+고/EC+,/SP
마무리	마무리/NNG
공사가	공사/NNG+가/JKS
한창이다	한창/NNG+이/VCP+다/EC

규모는	규모/NNG+는/JX
지하5층∼지상13층으로	지하/NNG+5/SN+층/NNG+∼/SO+지상/NNG+13/SN+층/NNG+으로/JKB
통한옥의	통한옥/NNP+의/JKG
처마를	처마/NNG+를/JKO
본떠	본뜨/VV+어/EC
만든	만들/VV+ㄴ/ETM
곡선	곡선/NNG
디자인에	디자인/NNG+에/JKB
전체	전체/NNG
에너지의	에너지/NNG+의/JKG
30%를	30/SN+%/SW+를/JKO
친환경	친/XPN+환경/NNG
에너지로	에너지/NNG+로/JKB
사용할	사용하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
설계됐다	설계되/VV+었/EP+다/EF

특히	특히/MAG
설계부터	설계/NNG+부터/JX
'장애물	'/SS+장애물/NNG
없는	없/VA+는/ETM
생활환경(Barrier	생활환경/NNG+(/SS+Barrier/SL
Free)'	Free/SL+)'/SS
예비인증	예비인증/NNG
최우수등급을	최우수등급/NNG+을/JKO
받아	받/VV+아/EC
장애인들이	장애인/NNG+들/XSN+이/JKS
편리하고	편리하/VA+고/EC
안전하게	안전하/VA+게/EC
이용할	이용하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
하는데	하/VX+는데/EC
역점을	역점/NNG+을/JKO
두고	두/VV+고/EC
공사를	공사/NNG+를/JKO
진행했다	진행하/VV+였/EP+다/EF

그렇다면	그렇/VA+다면/EC
개관을	개관/NNG+을/JKO
앞둔	앞두/VV+ㄴ/ETM
신청사의	신청/NNG+사/XSN+의/JKG
장애인들을	장애인/NNG+들/XSN+을/JKO
위한	위하/VV+ㄴ/ETM
편의시설은	편의시설/NNG+은/JX
어떨까?신청사는	어떻/VA+ㄹ까/EF+?/SF+신청/NNG+사/XSN+는/JX
장애인들이	장애인/NNG+들/XSN+이/JKS
방문하는	방문하/VV+는/ETM
데	데/NNB
불편함이	불편하/VA+ㅁ/ETN+이/JKS
없도록	없/VA+도록/EC
지하철	지하철/NNG
1·2호선	1/SN+·/SP+2/SN+호/NNB+선/XSN
시청역과	시청역/NNP+과/JC
지하	지하/NNG
1층이	1/SN+층/NNG+이/JKS
연결돼	연결되/VV+어/EC
있다	있/VX+다/EF

장애인	장애인/NNG
민원인들이	민원인/NNG+들/XSN+이/JKS
많이	많이/MAG
찾는	찾/VV+는/ETM
장애인복지과(장애인복지정책과,	장애인복지과/NNG+(/SS+장애인복지정책/NNG+과/JC+,/SP
장애인자립지원과로	장애인자립지/NNG+원/XSN+과/JC+로/JKB
나뉠	나뉘/VV+ㄹ/ETM
예정임)도	예정임/NNP+)/SS+도/JX
신관동	신관동/NNP
1층	1/SN+층/NNG
서측	서측/NNG
입구	입구/NNG
바로	바로/MAG
앞에	앞/NNG+에/JKB
위치해	위치하/VV+여/EC
있어	있/VX+어/EC
접근성을	접근성/NNG+을/JKO
높였다	높이/VV+었/EP+다/EF

1층	1/SN+층/NNG
입구에는	입구/NNG+에/JKB+는/JX
시각장애인들이	시각장애인/NNG+들/XSN+이/JKS
손가락으로	손가락/NNG+으로/JKB
만져	만지/VV+어/EC
신청사의	신청/NNG+사/XSN+의/JKG
구조를	구조/NNG+를/JKO
알	알/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
‘반구형	‘/SL+반구형/NNG
점자안내판’이	점자안내판/NNG+’/SL+이/JKS
설치됐다	설치되/VV+었/EP+다/EF

물론	물론/MAG
그	그/MM
안에는	안/NNG+에/JKB+는/JX
점자를	점자/NNG+를/JKO
읽지	읽/VV+지/EC
못하는	못하/VX+는/ETM
시각장애인들을	시각장애인/NNG+들/XSN+을/JKO
위한	위하/VV+ㄴ/ETM
음성유도기를	음성유도기/NNG+를/JKO
비롯해	비롯하/VV+여/EC
직원호출버튼도	직원호출버튼/NNP+도/JX
설치돼	설치되/VV+어/EC
있다	있/VX+다/EF

장애인화장실은	장애인화장실/NNG+은/JX
지하2층∼지상11층의	지하/NNG+2/SN+층/NNG+∼/SO+지상/NNG+11/SN+층/NNG+의/JKG
각	각/MM
층마다	층/NNG+마다/JX
남녀로	남녀/NNG+로/JKB
구분해	구분하/VV+여/EC
마련돼	마련되/VV+어/EC
있다	있/VX+다/EF

여성가족정책실	여성가족정책실/NNG
내부에	내부/NNG+에/JKB
장애인화장실이	장애인화장실/NNG+이/JKS
있는	있/VA+는/ETM
지상5층을	지상/NNG+5/SN+층/NNG+을/JKO
제외하고	제외하/VV+고/EC
모두	모두/MAG
비장애인화장실	비장애인화장실/NNG
입구	입구/NNG
옆에	옆/NNG+에/JKB
각각	각각/MAG
설치됐다	설치되/VV+었/EP+다/EF

특히	특히/MAG
신청사에는	신청/NNG+사/XSN+에/JKB+는/JX
가족도우미화장실이	가족도우미화장실/NNG+이/JKS
남녀	남녀/NNG
각각	각각/MAG
3곳씩	3/SN+곳/NNG+씩/XSN
총	총/MM
6곳에	6/SN+곳/NNG+에/JKB
마련됐다	마련되/VV+었/EP+다/EF

위치는	위치/NNG+는/JX
지상1층에	지상/NNG+1/SN+층/NNG+에/JKB
남·여	남/NNG+·/SP+여/NNG
1곳,	1/SN+곳/NNG+,/SP
지하1층	지하/NNG+1/SN+층/NNG
남녀	남녀/NNG
2곳씩이다	2/SN+곳/NNG+씩/XSN+이/VCP+다/EC

장애인화장실과	장애인화장/NNG+실/XSN+과/JC
가족도우미화장실의	가족도우미화장실/NNG+의/JKG
출입문은	출입문/NNG+은/JX
모두	모두/MAG
손이	손/NNG+이/JKS
불편한	불편하/VA+ㄴ/ETM
중증장애인들이	중증장애인/NNG+들/XSN+이/JKS
이용이	이용/NNG+이/JKS
편리한	편리하/VA+ㄴ/ETM
터치식자동문이다	터치식자동문/NNG+이/VCP+다/EC

내부의	내부/NNG+의/JKG
경우	경우/NNG
세면대의	세면대/NNG+의/JKG
크기를	크기/NNG+를/JKO
줄이고	줄이/VV+고/EC
손잡이를	손잡이/NNG+를/JKO
한쪽은	한쪽/NNG+은/JX
'올렸다,	'/SS+올리/VV+었/EP+다/EC+,/SP
내렸다'할	내리/VV+었/EP+다/EF+'/SS+하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
가동식,	가동/NNG+식/XSN+,/SP
한쪽은	한쪽/NNG+은/JX
고정식으로	고정식/NNG+으로/JKB
설치해	설치하/VV+여/EC
공간	공간/NNG
활용도를	활용도/NNG+를/JKO
높이고	높이/VV+고/EC
휠체어	휠체어/NNG
장애인의	장애인/NNG+의/JKG
용변기	용변/NNG+기/XSN
접근을	접근/NNG+을/JKO
편리하게	편리하/VA+게/EC
했다	하/VX+였/EP+다/EF

세면대	세면대/NNG
및	및/MAG
용변기	용변/NNG+기/XSN
손잡이에는	손잡이/NNG+에/JKB+는/JX
미끄러움	미끄럽/VA+ㅁ/ETN
및	및/MAG
차가움을	차갑/VA+ㅁ/ETN+을/JKO
방지를	방지/NNG+를/JKO
위해	위하/VV+여/EC
시트지를	시트지/NNG+를/JKO
감아놨고,	감/VV+아/EC+놓/VX+았/EP+고/EC+,/SP
비상호출버튼	비/XPN+상호출버튼/NNG
및	및/MAG
휴지걸이는	휴지/NNG+걸이/VV+는/ETM
손이	손/NNG+이/JKS
불편한	불편하/VA+ㄴ/ETM
장애인	장애인/NNG
사용하기	사용하/VV+기/ETN
편한	편하/VA+ㄴ/ETM
위치에	위치/NNG+에/JKB
설치됐다	설치되/VV+었/EP+다/EF

또한	또한/MAG
중증장애인들이	중증장애인/NNG+들/XSN+이/JKS
용변을	용변/NNG+을/JKO
볼	보/VV+ㄹ/ETM
때	때/NNG
기댈	기대/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
용변기	용변/NNG+기/XSN
등받이와	등받이/NNG+와/JC
손을	손/NNG+을/JKO
닦고	닦/VV+고/EC
말리는	말리/VV+는/ETM
핸드드라이어기가	핸드드라이어기/NNG+가/JKS
설치돼	설치되/VV+어/EC
있다	있/VX+다/EF

특히	특히/MAG
가족도우미화장실의	가족도우미화장실/NNG+의/JKG
경우	경우/NNG
어린이	어린이/NNG
용변기	용변/NNG+기/XSN
및	및/MAG
세면대,	세면대/NNG+,/SP
유아	유아/NNG
거치대,	거치대/NNG+,/SP
기저귀	기저귀/NNG
교환대가	교환대/NNG+가/JKS
설치됐으며,	설치되/VV+었/EP+으며/EC+,/SP
입구에	입구/NNG+에/JKB
'가족도우미화장실'	'/SS+가족도우미화장실/NNG+'/SS
마크도	마크/NNG+도/JX
붙어있다	붙/VV+어/EC+있/VX+다/EC

신청사	신/XPN+청사/NNG
비장애인화장실을	비장애인화장실/NNG+을/JKO
살펴보면	살펴보/VV+면/EC
공통적으로	공통적/NNG+으로/JKB
입구	입구/NNG
벽면에	벽면/NNG+에/JKB
시각장애인에게	시각장애인/NNG+에게/JKB
성별을	성별/NNG+을/JKO
알려주는	알리/VV+어/EC+주/VX+는/ETM
점자표지판과	점자표지판/NNG+과/JC
그	그/MM
옆에	옆/NNG+에/JKB
내부를	내부/NNG+를/JKO
알	알/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
점자안내판이	점자안내판/NNG+이/JKS
전국에서	전국/NNG+에서/JKB
처음으로	처음/NNG+으로/JKB
설치됐다	설치되/VV+었/EP+다/EF

물론	물론/MAG
점자표지판	점자표지판/NNG
밑	밑/NNG
점자블록	점자블록/MAG
설치도	설치/NNG+도/JX
양호했다	양호하/VV+였/EP+다/EF

모든	모든/MM
비장애인남자화장실에는	비장애인남자화장실/NNG+에/JKB+는/JX
목발을	목발/NNG+을/JKO
사용하는	사용하/VV+는/ETM
장애인	장애인/NNG
등을	등/NNB+을/JKO
위해	위하/VV+여/EC
한	한/MM
곳의	곳/NNG+의/JKG
소변기	소변기/NNG
양옆에	양옆/NNG+에/JKB
손잡이가	손잡이/NNG+가/JKS
설치됐다	설치되/VV+었/EP+다/EF

다목적홀은	다목적홀/NNG+은/JX
8층에	8/SN+층/NNG+에/JKB
마련돼	마련되/VV+어/EC
있다고	있/VX+다고/EC
안내돼	안내되/VV+어/EC
있지만	있/VX+지만/EC
9층	9/SN+층/NNG
일부와	일부/NNG+와/JKB
트여있다	트열/VV+있/VX+다/EC

8층에는	8/SN+층/NNG+에/JKB+는/JX
책상들이	책상/NNG+들/XSN+이/JKS
놓여	놓이/VV+어/EC
있지만,	있/VX+지만/EC+,/SP
치우면	치우/VV+면/EC
휠체어장애인	휠체어장애인/NNG
등이	등/NNB+이/JKS
자리할	자리하/VV+ㄹ/ETM
수	수/NNB
있으며	있/VA+으며/EC
휠체어장애인전용좌석은	휠체어장애인전용좌석/NNG+은/JX
9층에	9/SN+층/NNG+에/JKB
마련돼	마련되/VV+어/EC
있다	있/VX+다/EF

엘리베이터를	엘리베이터/NNG+를/JKO
이용하면,	이용하/VV+면/EC+,/SP
8층과	8/SN+층/NNG+과/JC
9층으로	9/SN+층/NNG+으로/JKB
이동할	이동하/VV+ㄹ/ETM
수	수/NNB
있다	있/VA+다/EC

단상은	단상/NNG+은/JX
8층에	8/SN+층/NNG+에/JKB
있는데	있/VA+는데/EC
계단이	계단/NNG+이/JKS
3개나	3/SN+개/NNB+나/JX
된다	되/VV+ㄴ다/EF

그렇지만	그렇지만/MAJ
휠체어장애인이	휠체어장애인/NNG+이/JKS
오르내리는데	오르내리/VV+는데/EC
아무	아무/MM
문제가	문제/NNG+가/JKS
없다	없/VA+다/EC

계단이	계단/NNG+이/JKS
자동으로	자동/NNG+으로/JKB
내리고,	내리/VV+고/EC+,/SP
올릴	올리/VV+ㄹ/ETM
수	수/NNB
있기	있/VA+기/ETN
때문이다	때문/NNB+이/VCP+다/EC

휠체어장애인전용좌석에는	휠체어장애인전용좌석/NNG+에/JKB+는/JX
각각	각각/MAG
활동보조인과	활동보조인/NNG+과/JKB
같이	같이/MAG
앉을	앉/VV+을/ETM
수	수/NNB
있는	있/VA+는/ETM
의자가	의자/NNG+가/JKS
설치돼	설치되/VV+어/EC
있다	있/VX+다/EF

신청사는	신청/NNG+사/XSN+는/JX
본관동(옛청사)	본관동/NNP+(/SS+옛/MM+청사/NNG+)/SS
4층에	4/SN+층/NNG+에/JKB
위치한	위치하/VV+ㄴ/ETM
서울도서관과	서울/NNP+도서관/NNG+과/JKB
연결돼	연결되/VV+어/EC
있다	있/VX+다/EF

연결통로가	연결통로/NNG+가/JKS
마련돼	마련되/VV+어/EC
있는	있/VX+는/ETM
것인데,	것/NNB+이/VCP+ㄴ데/EC+,/SP
서울도서관	서울/NNP+도서관/NNG
연결통로	연결통로/NNG
끝에	끝/NNG+에/JKB
10여개의	10/SN+여/XSN+개/NNB+의/JKG
계단이	계단/NNG+이/JKS
있어	있/VA+어/EC
이곳에	이곳/NP+에/JKB
수직형리프트가	수직형리프트/NNG+가/JKS
설치됐다	설치되/VV+었/EP+다/EF

수직형리프트는	수직형리프트/NNG+는/JX
목적지에	목적지/NNG+에/JKB
도착할	도착하/VV+ㄹ/ETM
때까지	때/NNG+까지/JX
이용자가	이용자/NNG+가/JKS
계속	계속/MAG
버튼을	버튼/NNG+을/JKO
누르고	누르/VV+고/EC
있어야	있/VX+어야/EC
하기	하/VX+기/ETN
때문에	때문/NNB+에/JKB
손이	손/NNG+이/JKS
불편한	불편하/VA+ㄴ/ETM
중증장애인들이	중증장애인/NNG+들/XSN+이/JKS
사용하기에는	사용하/VV+기/ETN+에/JKB+는/JX
힘들다	힘들/VA+다/EC

그나마	그나마/MAG
다행인	다행/NNG+이/VCP+ㄴ/ETM
것은	것/NNB+은/JX
수직형리프트	수직형리프트/NNP
앞에	앞/NNG+에/JKB
직원호출버튼을	직원호출버튼/NNG+을/JKO
설치했고,	설치하/VV+였/EP+고/EC+,/SP
안내데스크도	안내데스크/NNG+도/JX
