수화공대위,	수화공대위/NNP+,/SP
대선캠프	대선캠프/NNG
‘1인	‘/SL+1/SN+인/NNG
시위’	시위’/NNG
마무리	마무리/NNG

수화언어권	수화언어/NNG+권/XSN
확보를	확보/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
공동대책위원회(이하	공동대책위원회/NNG+(/SS+이하/NNG
수화공대위)가	수화공대위/NNG+)/SS+가/JKS
18대	18/SN+대/NNB
대선후보들을	대선후보/NNG+들/XSN+을/JKO
대상으로	대상/NNG+으로/JKB
지난	지나/VV+ㄴ/ETM
11월부터	11/SN+월/NNB+부터/JX
진행하던	진행하/VV+던/ETM
‘수화언어	‘/SL+수화언어/NNG
공약요구	공약요구/NNG
대선캠프	대선캠프/NNG
1인	1/SN+인/NNG
시위’를	시위’/NNG+를/JKO
5일	5/SN+일/NNB
마무리했다	마무리하/VV+였/EP+다/EC

이는	이/NP+는/JX
각	각/MM
정당	정당/NNG
후보들과	후보/NNG+들/XSN+과/JKB
무소속	무소속/NNG
김소연	김소연/NNP
후보가	후보/NNG+가/JKS
2012장애인대선연대(대선연대)의	2012/SN+장/NNB+애인대선연대/NNG+(/SS+대선연대/NNG+)/SS+의/JKG
장애계	장애/NNG+계/XSN
12대	12/SN+대/NNB
요구	요구/NNG
공약에	공약/NNG+에/JKB
담긴	담기/VV+ㄴ/ETM
수화언어권	수화언어/NNG+권/XSN
관련	관련/NNG
공약을	공약/NNG+을/JKO
수용한데	수용하/VV+ㄴ/ETM+데/NNB
따른	따르/VV+ㄴ/ETM
것이다	것/NNB+이/VCP+다/EC

최근	최근/NNG
새누리당	새누리당/NNP
박근혜,	박근혜/NNP+,/SP
민주통합당	민주통합당/NNP
문재인,	문재인/NNG+,/SP
통합진보당	통합진보당/NNP
이정희,	이정희/NNP+,/SP
무소속	무소속/NNG
김소연	김소연/NNP
후보는	후보/NNG+는/JX
대선연대의	대선연대/NNG+의/JKG
한국수화언어기본법	한국/NNP+수화언어기본법/NNG
제정,	제정/NNG+,/SP
농교육	농교육/NNG
환경개선	환경개선/NNG
등을	등/NNB+을/JKO
수용·이행하기	수용/NNG+·/SP+이행하/VV+기/ETN
위한	위하/VV+ㄴ/ETM
정책협약을	정책협약/NNG+을/JKO
가졌었다	가지/VV+었었/EP+다/EF

앞서	앞서/MAG
수화공대위는	수화공대위/NNP+는/JX
수화언어	수화언어/NNG
법적지위	법적지위/NNG
향상	향상/NNG
일반교과	일반교과/NNG
과정에	과정/NNG+에/JKB
수화(선택과목)	수화/NNG+(/SS+선택과목/NNG+)/SS
포함	포함/NNG
농교육	농교육/NNG
개선	개선/NNG
등을	등/NNB+을/JKO
공약으로	공약/NNG+으로/JKB
수용할	수용하/VV+ㄹ/ETM
것을	것/NNB+을/JKO
촉구하는	촉구하/VV+는/ETM
요구서를	요구서/NNG+를/JKO
대선후보들의	대선후보/NNG+들/XSN+의/JKG
캠프에	캠프/NNG+에/JKB
전달한	전달하/VV+ㄴ/ETM
바	바/NNB
있다	있/VA+다/EF
