공대위,	공대위/NNP+,/SP
‘대선	‘/SN+대선/NNG
예비후보자	예비후보자/NNG
인권위	인권위/NNG
진정’	진정’/NNG

‘수화언어	‘/SL+수화언어/NNG
권리	권리/NNG
확보를	확보/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
공동대책위원회(이하	공동대책위원회/NNG+(/SS+이하/NNG
공대위)’가	공대위/NNP+)/SS+’/SL+가/JKS
7일	7/SN+일/NNB
새누리당	새누리당/NNP
박근혜,	박근혜/NNP+,/SP
민주통합당	민주통합당/NNP
문재인,	문재인/NNG+,/SP
무소속	무소속/NNG
안철수,	안철수/NNP+,/SP
진보정의당	진보정의당/NNP
심상정	심상정/NNP
대선	대선/NNG
예비후보를	예비후보/NNG+를/JKO
국가인권위원회에	국가인권위원회/NNG+에/JKB
진정했다	진정하/VV+였/EP+다/EF

이는	이/NP+는/JX
대선	대선/NNG
예비후보자들의	예비후보자/NNG+들/XSN+의/JKG
대선	대선/NNG
공약	공약/NNG
등이	등/NNB+이/JKS
담긴	담기/VV+ㄴ/ETM
홈페이지가	홈페이지/NNG+가/JKS
시·청각장애인들의	시/NNG+·/SP+청각장애인/NNG+들/XSN+의/JKG
접근성을	접근성/NNG+을/JKO
담보하지	담보하/VV+지/EC
못하고	못하/VX+고/EC
있기	있/VX+기/ETN
때문이다	때문/NNB+이/VCP+다/EC

공대위	공대위/NNP
자체평가	자체평가/NNG
결과	결과/NNG
박근혜	박근혜/NNP
후보의	후보/NNG+의/JKG
홈페이지는	홈페이지/NNG+는/JX
60%만이	60/SN+%/SW+만/JX+이/JKS
시각장애인이	시각장애인/NNG+이/JKS
알	알/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
사진이나	사진/NNG+이나/JC
이미지	이미지/NNG
파일에	파일/NNG+에/JKB
텍스트를	텍스트/NNG+를/JKO
제공하고	제공하/VV+고/EC
있었다	있/VX+었/EP+다/EF

문재인	문재인/NNP
후보의	후보/NNG+의/JKG
홈페이지는	홈페이지/NNG+는/JX
11%,	11/SN+%/SW+,/SP
안철수	안철수/NNP
후보는	후보/NNG+는/JX
34%,	34/SN+%/SW+,/SP
심상정	심상정/NNP
후보는	후보/NNG+는/JX
33%로	33/SN+%/SW+로/JKB
나타났다	나타나/VV+았/EP+다/EC

또한	또한/MAG
이들	이/NP+들/XSN
후보	후보/NNG
모두	모두/MAG
시청각장애인이	시청각장애인/NNG+이/JKS
동영상에	동영상/NNG+에/JKB
접근할	접근하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
자막	자막/NNG
또는	또는/MAG
수화,	수화/NNG+,/SP
화면해설을	화면해설/NNG+을/JKO
제공하지	제공하/VV+지/EC
않았다	않/VX+았/EP+다/EF

공대위는	공대위/NNP+는/JX
“접근	“/SN+접근/NNG
환경을	환경/NNG+을/JKO
만들려는	만들/VV+려는/ETM
노력이	노력/NNG+이/JKS
보이기는	보이/VV+기/ETN+는/JX
하지만	하/VX+지만/EC
여전히	여전히/MAG
접근이	접근/NNG+이/JKS
어려운	어렵/VA+ㄴ/ETM
상황이다	상황/NNG+이/VCP+다/EC

특히	특히/MAG
홈페이지에	홈페이지/NNG+에/JKB
게시된	게시되/VV+ㄴ/ETM
동영상의	동영상/NNG+의/JKG
경우	경우/NNG
시각장애인을	시각장애인/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
대체	대체/NNG
텍스트나	텍스트/NNG+나/JC
음성	음성/NNG
설명,	설명/NNG+,/SP
청각장애인을	청각장애인/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
자막이나	자막/NNG+이나/JC
수화통역이	수화통역/NNG+이/JKS
제공되지	제공되/VV+지/EC
않고	않/VX+고/EC
있는	있/VX+는/ETM
실정”이라고	실정”/NNG+이/VCP+라고/EC
강조했다	강조하/VV+였/EP+다/EC

‘수화언어	‘/SL+수화언어/NNG
권리	권리/NNG
확보를	확보/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
공동대책위원회’	공동대책위원회’/NNG
관계자가	관계자/NNG+가/JKS
새누리당	새누리당/NNP
박근헤,	박근헤/NNP+,/SP
민주통합당	민주통합당/NNP
문재인,	문재인/NNG+,/SP
무소속	무소속/NNG
안철수,	안철수/NNP+,/SP
진보정의당	진보정의당/NNP
심상정	심상정/NNP
대선	대선/NNG
예비후보를	예비후보/NNG+를/JKO
국가인권위원회에	국가인권위원회/NNG+에/JKB
진정하고	진정하/VV+고/EC
진정서	진정서/NNG
접수를	접수/NNG+를/JKO
기다리고	기다리/VV+고/EC
있다	있/VX+다/EC
