“복지부	“/SL+복지부/NNG
할머니	할머니/NNG
자살	자살/NNG
해명…망자	해명/NNG+…/SE+망자/NNG
모독”	모독”/NNG

장애등급제·부양의무제	장애등급/NNG+제/XSN+·/SP+부양의무제/NNG
폐지	폐지/NNG
공동행동(이하	공동행동/NNG+(/SS+이하/NNG
공동행동)은	공동행동/NNG+)/SS+은/JX
10일	10/SN+일/NNB
오전	오전/NNG
기자회견을	기자회견/NNG+을/JKO
갖고,	갖/VV+고/EC+,/SP
경남	경남/NNP
거제	거제/NNP
70대	70/SN+대/NNB
할머니	할머니/NNG
죽음과	죽음/NNG+과/JKB
관련된	관련되/VV+ㄴ/ETM
보건복지부의	보건복지부/NNG+의/JKG
해명에	해명/NNG+에/JKB
대해	대하/VV+여/EC
“망자에	“/SN+망자/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
모독”이라고	모독”/NNG+이/VCP+라고/EC
규탄했다	규탄하/VV+였/EP+다/EF

복지부의	복지부/NNG+의/JKG
해명은	해명/NNG+은/JX
무소속	무소속/NNG
안철수	안철수/NNP
대선	대선/NNG
후보가	후보/NNG+가/JKS
지난	지나/VV+ㄴ/ETM
7일	7/SN+일/NNB
비전	비전/NNG
선언문을	선언문/NNG+을/JKO
발표하던	발표하/VV+던/ETM
중	중/NNB
8월	8/SN+월/NNB
거제에서	거제/NNG+에서/JKB
부양의무자	부양의무자/NNG
기준으로	기준/NNG+으로/JKB
인해	인하/VV+여/EC
기초수급자	기초수급/NNG+자/XSN
탈락	탈락/NNG
통보를	통보/NNG+를/JKO
받은	받/VV+은/ETM
70대	70/SN+대/NNB
할머니의	할머니/NNG+의/JKG
음독자살을	음독자살/NNG+을/JKO
언급함에	언급하/VV+ㅁ/ETN+에/JKB
따라	따르/VV+아/EC
나왔다	나오/VV+았/EP+다/EF

안	안/NNP
후보는	후보/NNG+는/JX
70대	70/SN+대/NNB
할머니의	할머니/NNG+의/JKG
죽음과	죽음/NNG+과/JKB
관련해	관련하/VV+여/EC
복지부가	복지부/NNG+가/JKS
국세청	국세청/NNG
일용근로소득	일용근로소득/NNG
자료를	자료/NNG+를/JKO
근거로	근거/NNG+로/JKB
기초생활보장수급자	기초생활보장수급/NNG+자/XSN
중	중/NNB
상당수의	상당수/NNG+의/JKG
자격을	자격/NNG+을/JKO
기계적으로	기계적/NNG+으로/JKB
박탈한	박탈하/VV+ㄴ/ETM
결과라고	결과/NNG+이/VCP+라고/EC
지적하며,	지적하/VV+며/EC+,/SP
장기적으로	장기적/NNG+으로/JKB
부양의무자	부양의무자/NNG
기준을	기준/NNG+을/JKO
폐지하는	폐지하/VV+는/ETM
것이	것/NNB+이/JKS
바람직하다는	바람직하/VA+다는/ETM
입장을	입장/NNG+을/JKO
내비쳤다	내비치/VV+었/EP+다/EF

반면	반면/NNG
복지부는	복지부/NNG+는/JX
‘사실관계가	‘/SN+사실관계/NNG+가/JKS
다르다’며	다르/VA+다’며/EC
할머니의	할머니/NNG+의/JKG
부양의무자인	부양의무자/NNG+이/VCP+ㄴ/ETM
딸과	딸/NNG+과/JC
사위의	사위/NNG+의/JKG
소득이	소득/NNG+이/JKS
월	월/NNG
810만원으로	810/SN+만/NR+원/NNB+으로/JKB
간주	간주/NNG
부양비	부양비/NNG
기준을	기준/NNG+을/JKO
상회해	상회하/VV+여/EC
수급권이	수급권/NNG+이/JKS
탈락된	탈락되/VV+ㄴ/ETM
것이라고	것/NNB+이/VCP+라고/EC
밝혔다	밝히/VV+었/EP+다/EC

각종	각종/NNG
소득·재산	소득/NNG+·/SP+재산/NNG
자료의	자료/NNG+의/JKG
자동	자동/NNG
연계에	연계/NNG+에/JKB
따라	따르/VV+아/EC
부양의무자의	부양의무자/NNG+의/JKG
상시소득이	상시소득/NNG+이/JKS
드러나	드러나/VV+아/EC
기초생활수급	기초생활수급/NNG
자격이	자격/NNG+이/JKS
중지된	중지되/VV+ㄴ/ETM
사례라는	사례/NNG+이/VCP+라는/ETM
것이다	것/NNB+이/VCP+다/EC

이날	이날/NNG
공동행동은	공동행동/NNG+은/JX
적법한	적법하/VA+ㄴ/ETM
절차만을	절차/NNG+만/JX+을/JKO
강조할	강조하/VV+ㄹ/ETM
뿐	뿐/NNB
부양의무자	부양의무자/NNG
기준으로	기준/NNG+으로/JKB
인한	인하/VV+ㄴ/ETM
폐해를	폐해/NNG+를/JKO
도외시하고	도외시하/VV+고/EC
있는	있/VX+는/ETM
뻔뻔한	뻔뻔하/VA+ㄴ/ETM
해명이라고	해명/NNG+이/VCP+라고/EC
격분했다	격분하/VV+였/EP+다/EF

공동행동은	공동행동/NNG+은/JX
“끝없이	“/SN+끝/NNG+없이/MAG
반복되는	반복되/VV+는/ETM
부양의무제	부양의무제/NNG
때문에	때문/NNB+에/JKB
일어나는	일어나/VV+는/ETM
모든	모든/MM
죽음에	죽음/NNG+에/JKB
대해	대하/VV+여/EC
복지부의	복지부/NNG+의/JKG
대답은	대답/NNG+은/JX
한결같이	한결같이/MAG
‘적법했다’고	‘/SL+적법하/VV+였/EP+다/EC+’/VV+고/EC
말하고	말하/VV+고/EC
있다	있/VX+다/EC

사람을	사람/NNG+을/JKO
죽음에	죽음/NNG+에/JKB
이르게	이르/VV+게/EC
만든	만들/VV+ㄴ/ETM
그	그/MM
법(부양의무자	법/NNG+(/SS+부양의무자/NNG
기준)을	기준/NNG+)/SS+을/JKO
폐지해야	폐지하/VV+여야/EC
마땅하지만	마땅하/VA+지만/EC
복지부는	복지부/NNG+는/JX
안	안/MAG
된다고	되/VV+ㄴ다고/EC
고수하고	고수하/VV+고/EC
있다”며	있/VX+다/EC+”/VV+며/EC
“더	“/SN+더/JKB
이상	이상/NNG
자녀가	자녀/NNG+가/JKS
무조건	무조건/MAG
부모를	부모/NNG+를/JKO
부양해야	부양하/VV+여야/EC
한다는	하/VX+ㄴ다는/ETM
주장이	주장/NNG+이/JKS
불가능한	불가능하/VA+ㄴ/ETM
현실에	현실/NNG+에/JKB
접어든	접어들/VV+ㄴ/ETM
상황에서,	상황/NNG+에서/JKB+,/SP
자녀의	자녀/NNG+의/JKG
소득이	소득/NNG+이/JKS
아무리	아무리/MAG
많다고	많/VA+다고/EC
해도	하/VV+여도/EC
부모의	부모/NNG+의/JKG
부양을	부양/NNG+을/JKO
자녀에게	자녀/NNG+에게/JKB
요구할	요구하/VV+ㄹ/ETM
수	수/NNB
없을	없/VA+을/ETM
정도로	정도/NNG+로/JKB
가족의	가족/NNG+의/JKG
유대관계는	유대관계/NNG+는/JX
파괴됐다”고	파괴되/VV+었/EP+다/EC+”/VX+고/EC
꼬집었다	꼬집/VV+었/EP+다/EF

이어	이어/MAG
“부양의무자	“/SL+부양의무자/NNG
기준은	기준/NNG+은/JX
가족관계를	가족관계/NNG+를/JKO
회복하는	회복하/VV+는/ETM
데	데/NNB
도움이	도움/NNG+이/JKC
되는	되/VV+는/ETM
것이	것/NNB+이/JKC
아니라	아니/VCN+라/EC
오히려	오히려/MAG
부모가	부모/NNG+가/JKS
자식의	자식/NNG+의/JKG
부양과	부양/NNG+과/JKB
무관하게	무관하/VA+게/EC
사회적	사회적/NNG
권리로서	권리/NNG+로서/JKB
기초적인	기초/NNG+적/XSN+이/VCP+ㄴ/ETM
생활을	생활/NNG+을/JKO
보장받을	보장/NNG+받/VV+을/ETM
때	때/NNG
평등하고	평등하/VA+고/EC
온전한	온전하/VA+ㄴ/ETM
가족관계가	가족관계/NNG+가/JKS
시작될	시작되/VV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것”이라며	것/NNB+”/SL+이/VCP+라며/EC
“사람을	“/SL+사람/NNG+을/JKO
죽이는	죽이/VV+는/ETM
법,	법/NNB+,/SP
부양의무자	부양의무자/NNG
기준을	기준/NNG+을/JKO
당장	당장/NNG
폐지하라”고	폐지하/VV+라/EC+”/SN+고/EC
촉구했다	촉구하/VV+였/EP+다/EC

전국장애인차별철폐연대	전/MM+국장애인차별철폐연대/NNG
박경석	박경석/NNP
상임대표는	상임대표/NNG+는/JX
“안철수	“/SL+안철수/NNP
후보	후보/NNG
측과	측/NNB+과/JC
부양의무자	부양의무자/NNG
기준	기준/NNG
폐지에	폐지/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
대답을	대답/NNG+을/JKO
듣기위해	듣/VV+기/ETN+위하/VV+여/EC
계속	계속/MAG
접촉한	접촉하/VV+ㄴ/ETM
결과	결과/NNG
조만간	조만간/MAG
정책적으로	정책적/NNG+으로/JKB
논의의	논의/NNG+의/JKG
자리가	자리/NNG+가/JKS
만들어질	만들/VV+어/EC+지/VX+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다”면서	보일/VV+ㄴ다/EC+”/VV+면서/EC
“다른	“/SL+다른/MM
후보들의	후보/NNG+들/XSN+의/JKG
경우	경우/NNG
박근혜	박근혜/NNP
후보	후보/NNG
측은	측/NNB+은/JX
확실하게	확실하/VA+게/EC
폐지는	폐지/NNG+는/JX
불가능하다고	불가능하/VA+다고/EC
답변을	답변/NNG+을/JKO
받았고,	받/VV+았/EP+고/EC+,/SP
문재인	문재/NNG+이/VCP+ㄴ/ETM
후보는	후보/NNG+는/JX
아직도	아직/MAG+도/JX
아무런	아무런/MM
대답을	대답/NNG+을/JKO
듣지	듣/VV+지/EC
못한	못하/VX+ㄴ/ETM
상태”라고	상태”/NNG+이/VCP+라고/EC
밝혔다	밝히/VV+었/EP+다/EC

한편	한편/MAG
공동행동은	공동행동/NNG+은/JX
서울	서울/NNP
광화문	광화문/NNP
광장	광장/NNG
해치	해치/NNG
서울	서울/NNP
지하차도에서	지하차도/NNG+에서/JKB
51일째	51/SN+일/NNB+째/XSN
부양의무제	부양의무제/NNG
폐지를	폐지/NNG+를/JKO
비롯해	비롯하/VV+여/EC
장애등급제	장애등급/NNG+제/XSN
폐지를	폐지/NNG+를/JKO
촉구하는	촉구하/VV+는/ETM
노숙농성을	노숙농성/NNG+을/JKO
이어가고	잇/VV+어/EC+가/VX+고/EC
있다	있/VX+다/EC
