장애인	장애인/NNG
위해	위하/VV+여/EC
쌓인	쌓이/VV+ㄴ/ETM
눈	눈/NNG
치워	치우/VV+어/EC
준	주/VX+ㄴ/ETM
경찰관	경찰관/NNG
‘감동’	‘/SL+감동/NNG+’/SN

폭설로	폭설/NNG+로/JKB
인해	인하/VV+여/EC
눈이	눈/NNG+이/JKS
쌓여	쌓이/VV+어/EC
이동하기	이동하/VV+기/ETN
어려운	어렵/VA+ㄴ/ETM
휠체어를	휠체어/NNG+를/JKO
탄	타/VV+ㄴ/ETM
장애인을	장애인/NNG+을/JKO
위해	위하/VV+여/EC
눈을	눈/NNG+을/JKO
치워준	치워준/VV
경찰의	경찰/NNG+의/JKG
모습이	모습/NNG+이/JKS
담긴	담기/VV+ㄴ/ETM
사진이	사진/NNG+이/JKS
공개돼	공개되/VV+어/EC
화제가	화제/NNG+가/JKC
되고	되/VV+고/EC
있다	있/VX+다/EC

지난	지나/VV+ㄴ/ETM
11일	11/SN+일/NNB
한	한/MM
인터넷	인터넷/NNG
사이트에서	사이트/NNG+에서/JKB
'Todayhumor'님은	'/SS+Todayhumor/SL+'/SS+님/XSN+은/JX
‘하얀세상	‘/SN+하얀세상/NNG
속	속/NNG
따뜻한	따뜻하/VA+ㄴ/ETM
경찰관’이라는	경찰관’/NNG+이/VCP+라는/ETM
글과	글/NNG+과/JKB
함께	함께/MAG
장애인의	장애인/NNG+의/JKG
이동을	이동/NNG+을/JKO
위해	위하/VV+여/EC
쌓인	쌓이/VV+ㄴ/ETM
눈을	눈/NNG+을/JKO
치워주는	치우/VV+어/EC+주/VX+는/ETM
경찰관의	경찰관/NNG+의/JKG
사진을	사진/NNG+을/JKO
올렸다	올리/VV+었/EP+다/EC

Todayhumor님은	Todayhumor/SL+님/XSN+은/JX
“7일	“7/SN+일/NNB
퍼붓는	퍼붓/VV+는/ETM
폭설	폭설/NNG
속에	속/NNG+에/JKB
휠체어를	휠체어/NNG+를/JKO
탄	타/VV+ㄴ/ETM
채	채/NNB
제설작업을	제설작업/NNG+을/JKO
하고	하/VV+고/EC
있는	있/VX+는/ETM
나이	나이/NNG
든	들/VV+ㄴ/ETM
어머니와	어머니/NNG+와/JC
장애인인	장애인/NNG+이/VCP+ㄴ/ETM
아들을	아들/NNG+을/JKO
봤다”면서	보/VV+았/EP+다/EC+”/VV+면서/EC
“갑작스레	“/SN+갑작스레/MAG
눈이	눈/NNG+이/JKS
순식간에	순식간/NNG+에/JKB
쌓여	쌓이/VV+어/EC
집으로	집/NNG+으로/JKB
갈	가/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
길이	길/NNG+이/JKS
막혀버린	막히/VV+어/EC+버리/VX+ㄴ/ETM
탓에	탓/NNG+에/JKB
어머니는	어머니/NNG+는/JX
불편한	불편하/VA+ㄴ/ETM
몸을	몸/NNG+을/JKO
이끌고	이끌/VV+고/EC
눈을	눈/NNG+을/JKO
치우고	치우/VV+고/EC
있었다”고	있/VX+었/EP+다/EC+”/VX+고/EC
설명했다	설명하/VV+었/EP+다/EC

이어	이어/MAG
“이	“/SL+이/JKS
모습을	모습/NNG+을/JKO
본	보/VV+ㄴ/ETM
경찰관은	경찰관/NNG+은/JX
그냥	그냥/MAG
지나치지	지나치/VV+지/EC
못하고	못하/VX+고/EC
순찰차에서	순찰차/NNG+에서/JKB
바로	바로/MAG
내려	내리/VV+어/EC
삽을	삽/NNG+을/JKO
들고	들/VV+고/EC
눈을	눈/NNG+을/JKO
치우기	치우/VV+기/ETN
