박원순,	박원순/NNP+,/SP
“하조대희망들	“/SN+하조대희망/NNG+들/XSN
반대,	반대/NNG+,/SP
납득	납득/NNG
어려워”	어렵/VA+어/EC+”/SN

박원순	박원순/NNP
서울시장이	서울/NNP+시장/NNG+이/JKS
지난해부터	지난해/NNG+부터/JX
불거지고	불거지/VV+고/EC
있는	있/VX+는/ETM
‘하조대	‘하조대/NNG
희망들’	희망/NNG+들/XSN+’/SN
법정다툼과	법정다툼/NNG+과/JKB
관련,	관련/NNG+,/SP
정상철	정상철/NNP
양양군수에게	양양/NNP+군수/NNG+에게/JKB
대법원	대법원/NNG
상고를	상고/NNG+를/JKO
취하하고,	취하하/VV+고/EC+,/SP
협력할	협력하/VV+ㄹ/ETM
것을	것/NNB+을/JKO
부탁했다	부탁하/VV+였/EP+다/EC

박	박/NNP
시장은	시장/NNG+은/JX
16일	16/SN+일/NNB
개인	개인/NNG
SNS를	SNS/SL+를/JKO
통해	통하/VV+여/EC
“최근	“/SL+최근/NNG
속상하는	속상하/VA+는/ETM
일이	일/NNG+이/JKS
하나	하나/NR
생겼다	생기/VV+었/EP+다/EF

원래	원래/NNG
서울시는	서울시/NNP+는/JX
동해안	동해안/NNG
하조대	하조대/NNP
해수욕장	해수욕장/NNG
부근에	부근/NNG+에/JKB
장애인숙박시설(하조대	장애인숙박시설/NNG+(/SS+하조대/NNP
희망들)을	희망/NNG+들/XSN+)/SS+을/JKO
건축할	건축하/VV+ㄹ/ETM
계획을	계획/NNG+을/JKO
세웠다	세우/VV+었/EP+다/EC

그런데	그런데/MAJ
양양군은	양양군/NNP+은/JX
이에	이/NP+에/JKB
대해	대하/VV+여/EC
공원부지내	공원부지/NNG+내/NNB
건축행위	건축행위/NNG
불가를	불가/NNG+를/JKO
이유로	이유/NNG+로/JKB
건축협의	건축협의/NNG
취소를	취소/NNG+를/JKO
통보해와	통보하/VV+여/EC+오/VX+아/EC
서울시는	서울시/NNP+는/JX
양양군을	양양군/NNP+을/JKO
상대로	상대/NNG+로/JKB
건축협의취소처분	건축협의취소처분/NNG
소송을	소송/NNG+을/JKO
제기해	제기하/VV+여/EC
1심과	1/SN+심/NNG+과/JC
항소심에서	항소심/NNG+에서/JKB
이겼다”고	이기/VV+었/EP+다/EC+”/VV+고/EC
첫	첫/MM
마디를	마디/NNG+를/JKO
뗐다	떼/VV+었/EP+다/EC

이어	이어/MAG
박	박/NNP
시장은	시장/NNG+은/JX
“이	“/SL+이/JKS
정도가	정도/NNG+가/JKC
되면	되/VV+면/EC
건축을	건축/NNG+을/JKO
허락해줄만한데	허락하/VV+여/EC+주/VX+ㄹ/EC+만하/VX+ㄴ데/EC
양양군은	양양군/NNP+은/JX
대법원에	대법원/NNG+에/JKB
상고까지	상고/NNG+까지/JX
제기했다	제기하/VV+였/EP+다/EC

내년	내년/NNG
2월까지	2/SN+월/NNB+까지/JX
건축이	건축/NNG+이/JKS
개시되지	개시되/VV+지/EC
않으면	않/VX+으면/EC
국비	국비/NNG
22억은	22/SN+억/NR+은/JX
반납해야	반납하/VV+여야/EC
한다	하/VX+ㄴ다/EF

가뜩이나	가뜩이나/MAG
재정압박을	재정압박/NNG+을/JKO
받고	받/VV+고/EC
있는	있/VX+는/ETM
서울시로서	서울시/NNP+로서/JKB
