“장애인활동보조	“/SL+장애인활동보조/NNG
24시간을	24/SN+시간/NNB+을/JKO
향한	향하/VV+ㄴ/ETM
한	한/MM
표”	표/NNG+”/SN

“53년	“53/SN+년/NNB
인생	인생/NNG
처음으로	처음/NNG+으로/JKB
대통령	대통령/NNG
선거	선거/NNG
투표를	투표/NNG+를/JKO
해봤어요	하/VV+여/EC+보/VX+았/EP+어요/EC

제발	제발/MAG
장애인들의	장애인/NNG+들/XSN+의/JKG
눈높이에서	눈높이/NNG+에서/JKB
정책을	정책/NNG+을/JKO
펼칠	펼치/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
대통령이	대통령/NNG+이/JKC
되길	되/VV+기/ETN+ㄹ/JKO
기도합니다	기도하/VV+ㅂ니다/EF

”2012년	”/SL+2012/SN+년/NNB
12월	12/SN+월/NNB
19일	19/SN+일/NNB
18대	18/SN+대/NNB
대통령	대통령/NNG
선거일,	선거일/NNG+,/SP
매서운	매섭/VA+ㄴ/ETM
추위로	추위/NNG+로/JKB
온몸을	온몸/NNG+을/JKO
얼어붙게	얼어붙/VV+게/EC
하는	하/VX+는/ETM
추위지만,	추위/NNG+이/VCP+지만/EC+,/SP
전정순(53세,	전정순/NNP+(/SS+53/SN+세/NNB+,/SP
뇌병변1급)씨는	뇌병변/NNP+1/SN+급/NNG+)/SS+씨/NNB+는/JX
너무나	너무나/MAG
설레기만	설레기/NNG+만/JX
하다	하/VX+다/EC

53년	53/SN+년/NNB
인생	인생/NNG
처음으로	처음/NNG+으로/JKB
제	저/NP+의/JKG
손으로	손/NNG+으로/JKB
대통령을	대통령/NNG+을/JKO
뽑는	뽑/VV+는/ETM
날이기	날/NNG+이/VCP+기/ETN
때문이다	때문/NNB+이/VCP+다/EC

떨리는	떨리/VV+는/ETM
마음으로	마음/NNG+으로/JKB
선거전부터	선거전/NNG+부터/JX
남들보다	남/NNG+들/XSN+보다/JKB
유난히	유난히/MAG
더	더/MAG
꼼꼼히	꼼꼼히/MAG
공약을	공약/NNG+을/JKO
살피고,	살피/VV+고/EC+,/SP
토론도	토론/NNG+도/JX
꼬박꼬박	꼬박꼬박/MAG
챙겨봤다	챙기/VV+어/EC+보/VX+았/EP+다/EF

전씨는	전/NNP+씨/NNB+는/JX
“아무래도	“/SN+아무래도/MAG
장애인이다	장애인/NNG+이/VCP+다/EC
보니까	보/VX+니까/EC
장애인과	장애인/NNG+과/JKB
관련한	관련하/VV+ㄴ/ETM
복지	복지/NNG
공약을	공약/NNG+을/JKO
위주로	위주/NNG+로/JKB
후보들을	후보/NNG+들/XSN+을/JKO
살폈다	살피/VV+었/EP+다/EF

최근	최근/NNG
故	故/SL
김주영	김주영/NNP
활동가와	활동가/NNG+와/JC
파주장애남매	파주/NNP+장애남매/NNG
죽음들로	죽음/NNG+들/XSN+로/JKB
인해	인하/VV+여/EC
후보들도	후보/NNG+들/XSN+도/JX
활동보조	활동보조/NNG
24시간을	24/SN+시간/NNB+을/JKO
보장해주겠다는	보장하/VV+여/EC+주/VX+겠/EP+다는/ETM
공약을	공약/NNG+을/JKO
내세웠다”며	내세우/VV+었/EP+다/EC+”/VV+며/EC
“활동보조	“/SN+활동보조/NNG
부분을	부분/NNG+을/JKO
중점적으로	중점적/NNG+으로/JKB
확인했다”고	확인하/VV+였/EP+다/EC+”/SN+고/EC
말했다	말하/VV+였/EP+다/EC

전	전/NNP
씨는	씨/NNB+는/JX
하루	하루/NNG
평균	평균/NNG
7시간의	7/SN+시간/NNB+의/JKG
활동보조시간으로	활동보조시간/NNG+으로/JKB
턱	턱/NNG
없이	없이/MAG
부족한	부족하/VA+ㄴ/ETM
생활을	생활/NNG+을/JKO
하고	하/VV+고/EC
있다	있/VX+다/EC

50년의	50/SN+년/NNB+의/JKG
인생을	인생/NNG+을/JKO
집에서만	집/NNG+에서/JKB+만/JX
갇혀	갇히/VV+어/EC
살다가	살/VV+다가/EC
작년	작년/NNG
3월,	3/SN+월/NNB+,/SP
장애인야학을	장애인야학/NNG+을/JKO
다니면서	다니/VV+면서/EC
처음으로	처음/NNG+으로/JKB
자립생활을	자립생활/NNG+을/JKO
만났다	만나/VV+았/EP+다/EC

집에서만	집/NNG+에서/JKB+만/JX
웅크리던	웅크리/VV+던/ETM
그녀의	그녀/NP+의/JKG
새	새/MM
삶이	삶/NNG+이/JKS
시작된	시작되/VV+ㄴ/ETM
것이다	것/NNB+이/VCP+다/EC

그동안	그동안/NNG
학교도	학교/NNG+도/JX
다니지	다니/VV+지/EC
못했기에	못하/VX+였/EP+기에/EC
전	전/NNP
씨는	씨/NNB+는/JX
야학을	야학/NNG+을/JKO
통해	통하/VV+여/EC
학교	학교/NNG
공부는	공부/NNG+는/JX
물론,	물론/MAG+,/SP
철학수업까지	철학수업/NNG+까지/JX
빠짐없이	빠짐없이/MAG
수업을	수업/NNG+을/JKO
경청하고	경청하/VV+고/EC
있다	있/VX+다/EC

활동보조시간이	활동보조시간/NNG+이/JKS
많이	많이/MAG
주어진다면	주어지/VV+ㄴ다면/EC
공부뿐만	공부/NNG+뿐만/JX
아니라,	아니/VCN+라/EC+,/SP
그동안	그동안/NNG
못해봤던	못하/VV+여/EC+보/VX+았/EP+던/ETM
외출과	외출/NNG+과/JC
여행도	여행/NNG+도/JX
마음껏	마음껏/MAG
다녀보고	다녀보/VV+고/EC
싶은	싶/VX+은/ETM
것이	것/NNB+이/JKS
그녀의	그녀/NP+의/JKG
소망이다	소망/NNG+이/VCP+다/EC

특히	특히/MAG
무엇보다	무엇/NP+보다/JKB
활동보조인이	활동보조인/NNG+이/JKS
없는	없/VA+는/ETM
밤	밤/NNG
시간은	시간/NNG+은/JX
두려울	두렵/VA+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없다	없/VA+다/EC

활동보조인이	활동보조인/NNG+이/JKS
보통	보통/MAG
오후	오후/NNG
5시30분이면	5/SN+시/NNB+30/SN+분/NNB+이/VCP+면/EC
퇴근을	퇴근/NNG+을/JKO
하기	하/VV+기/ETN
때문에	때문/NNB+에/JKB
7시에	7/SN+시/NNB+에/JKB
시작하는	시작하/VV+는/ETM
야학	야학/NNG
수업	수업/NNG
