뇌출혈	뇌출혈/NNG
남편	남편/NNG
간병하는	간병하/VV+는/ETM
지체장애	지체장애/NNG
아내의	아내/NNG+의/JKG
'순애보'	'/SS+순애보/NNG+'/SS

CBS	CBS/SL
TV	TV/SL
이주훈	이주훈/NNG
PD"이	PD/SL+"/SS+이/JKS
사람이	사람/NNG+이/JKS
곁에	곁/NNG+에/JKB
없으면	없/VA+으면/EC
세상	세상/NNG
끝나는	끝나/VV+는/ETM
거다	것/NNB+이/VCP+다/EC
그런	그런/MM
마음으로	마음/NNG+으로/JKB
자다가도	자/VV+다가/EC+도/JX
일어나서	일어나/VV+아서/EC
숨을	숨/NNG+을/JKO
쉬고	쉬/VV+고/EC
있는지	있/VX+는지/EC
확인해요	확인해요/VV

하나님께서	하나님/NNG+께서/JKS
남편도	남편/NNG+도/JX
사랑하지만	사랑하/VV+지만/EC
저를	저/NP+를/JKO
더	더/MAG
사랑하셔서	사랑하/VV+시/EP+어서/EC
데려가지	데려가/VV+지/EC
않을	않/VX+을/ETM
거란	거랗/VA+ㄴ/ETM
생각으로	생각/NNG+으로/JKB
기도하고	기도하/VV+고/EC
있어요	있/VX+어요/EC

"◇소아마비로	"/SS+◇/SW+소아마비/NNG+로/JKB
지체장애	지체장애/NNG
안고	안/VV+고/EC
있는	있/VX+는/ETM
부부=	부부/NNG+=/SW
다섯	다섯/NR
살	살/NNB
무렵	무렵/NNB
열병으로	열병/NNG+으로/JKB
인한	인하/VV+ㄴ/ETM
소아마비로	소아마비/NNG+로/JKB
치료도	치료/NNG+도/JX
받지	받/VV+지/EC
못	못/VX
하고	하/VX+고/EC
학교도	학교/NNG+도/JX
다니지	다니/VV+지/EC
못한	못하/VX+ㄴ/ETM
채	채/NNB
늘	늘/MAG
집에서외롭게	집/NNG+에서/JKB+외롭/VA+게/EC
지내던	지내/VV+던/ETM
윤정덕(56)	윤정덕/NNP+(/SS+56/SN+)/SS
씨	씨/NNB

하지만	하지만/MAJ
남편	남편/NNG
이덕룡(55)	이덕룡/NNP+(/SS+55/SN+)/SS
씨를	씨/NNB+를/JKO
만나	만나/VV+아/EC
