'정신	'/SS+정신/NNG
장애'도	장애/NNG+'/SS+도/JX
장애로	장애/NNG+로/JKB
인정해야	인정하/VV+여야/EC
한다	하/VX+ㄴ다/EF

가끔씩	가끔/MAG+씩/XSN
지인들이	지인/NNG+들/XSN+이/JKS
말한다	말하/VV+ㄴ다/EF

‘샘은	‘/SL+샘/NNG+은/JX
육체적인	육체적/NNG+이/VCP+ㄴ/ETM
장애를	장애/NNG+를/JKO
입고	입/VV+고/EC
있지만	있/VX+지만/EC
저희들은	저희/NP+들/XSN+은/JX
정신에	정신/NNG+에/JKB
문제가	문제/NNG+가/JKS
많아요	많/VA+아요/EC

진정한	진정하/VA+ㄴ/ETM
장애는	장애/NNG+는/JX
육체가	육체/NNG+가/JKC
아니라	아니/VCN+라/EC
정신인	정신/NNG+이/VCP+ㄴ/ETM
것	것/NNB
같아요	같/VA+아요/EC

’	’/SL
나는	나/NP+는/JX
그	그/MM
말을	말/NNG+을/JKO
미국	미국/NNP
장애법인	장애법인/NNG
ADA를	ADA/SL+를/JKO
살펴보고서야	살펴보/VV+고서/EC+야/JX
그	그/MM
말을	말/NNG+을/JKO
이해할	이해하/VV+ㄹ/ETM
수가	수/NNB+가/JKS
있었다	있/VA+었/EP+다/EF

미국에서는	미국/NNP+에서/JKB+는/JX
정신	정신/NNG
장애도	장애/NNG+도/JX
엄연히	엄연히/MAG
장애로	장애/NNG+로/JKB
인정받아야	인정받/VV+아야/EC
한다	하/VX+ㄴ다/EF

그러나	그러나/MAJ
상당수	상당수/NNG
미국인들은	미국인/NNG+들/XSN+은/JX
그것을	그것/NP+을/JKO
모르고	모르/VV+고/EC
있다	있/VX+다/EC

특히	특히/MAG
직장에서의	직장/NNG+에서/JKB+의/JKG
정신	정신/NNG
장애인의	장애인/NNG+의/JKG
문제는	문제/NNG+는/JX
명확히	명확히/MAG
해야	하/VV+여야/EC
될	되/VV+ㄹ/ETM
부분이	부분/NNG+이/JKS
많다	많/VA+다/EC

그것을	그것/NP+을/JKO
모르면	모르/VV+면/EC
심각한	심각하/VA+ㄴ/ETM
문제를	문제/NNG+를/JKO
야기	야기/NNG
시킬	시키/VV+ㄹ/ETM
요소가	요소/NNG+가/JKS
많다	많/VA+다/EC

우선	우선/MAG
직장에	직장/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
장애법을	장애법/NNG+을/JKO
보면	보/VV+면/EC
정신	정신/NNG
장애인도	장애인/NNG+도/JX
육체	육체/NNG
장애인과	장애인/NNG+과/JKB
같이	같이/MAG
차별을	차별/NNG+을/JKO
받아서는	받/VV+아서/EC+는/JX
않되고	않되/VX+고/EC
고용주는	고용주/NNG+는/JX
정신	정신/NNG
장애인이	장애인/NNG+이/JKS
불편없이	불편/NNG+없이/MAG
일할	일하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
육체	육체/NNG
장애인과	장애인/NNG+과/JKB
똑	똑/MAG
같이	같이/MAG
편의	편의/NNG
시설을	시설/NNG+을/JKO
갖추어야	갖추/VV+어야/EC
할	하/VX+ㄹ/ETM
책임이	책임/NNG+이/JKS
있다	있/VA+다/EC

메릴랜드의	메릴랜드/NNP+의/JKG
베데스타	베데스타/NNG
소재	소재/NNG
미국	미국/NNP
국가	국가/NNG
정신	정신/NNG
장애협회의	장애협회/NNG+의/JKG
보고에	보고/NNG+에/JKB
따르면	따르/VV+면/EC
다섯명	다섯/NR+명/NNB
중에	중/NNB+에/JKB
한명은	한/MM+명/NNB+은/JX
일생에	일생/NNG+에/JKB
한번	한/MM+번/NNB
이상의	이상/NNG+의/JKG
정신적	정신적/NNG
질병을	질병/NNG+을/JKO
경험하게	경험하/VV+게/EC
된다	되/VV+ㄴ다/EF

그리고	그리고/MAJ
적어도	적어도/MAG
네명	네/MM+명/NNB
중에	중/NNB+에/JKB
한명은	한/MM+명/NNB+은/JX
정신의	정신/NNG+의/JKG
병을	병/NNG+을/JKO
앓고	앓/VV+고/EC
있는	있/VX+는/ETM
사람을	사람/NNG+을/JKO
알고	알/VV+고/EC
지낸다	지내/VV+ㄴ다/EF

어느	어느/MM
직장이든	직장/NNG+이든/JX
고용주는	고용주/NNG+는/JX
한명	한/MM+명/NNB
이상의	이상/NNG+의/JKG
정신	정신/NNG
질환자를	질환/NNG+자/XSN+를/JKO
갖고	갖/VV+고/EC
있다	있/VX+다/EC

이런	이런/MM
현실을	현실/NNG+을/JKO
감안하건데	감안하/VV+건데/EC
이제	이제/MAG
직장에서도	직장/NNG+에서/JKB+도/JX
더	더/MAG
이상	이상/NNG
쉬쉬하지	쉬쉬하/VV+지/EC
말고	말/VX+고/EC
정신	정신/NNG
장애	장애/NNG
문제를	문제/NNG+를/JKO
수면에	수면/NNG+에/JKB
떠올려야	떠올리/VV+어야/EC
하고	하/VX+고/EC
이에	이/NP+에/JKB
현명한	현명하/VA+ㄴ/ETM
대처를	대처/NNG+를/JKO
해	하/VV+여/EC
나가	나/VX+가/JKS
발생할	발생하/VV+ㄹ/ETM
문제를	문제/NNG+를/JKO
미연에	미연/NNG+에/JKB
방지해야	방지하/VV+여야/EC
한다	하/VX+ㄴ다/EF

뉴욕의	뉴욕/NNP+의/JKG
휴먼리소스	휴먼리소스/NNG
센터	센터/NNG
대표	대표/NNG
멜리사	멜리사/NNP
플레이쳐는	플레이쳐/NNG+는/JX
고용	고용/NNG
관계	관계/NNG
담당자들은	담당자/NNG+들/XSN+은/JX
정신	정신/NNG
장애인에	장애인/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
법적	법적/NNG
책임이	책임/NNG+이/JKS
무엇인지를	무엇/NP+이/VCP+ㄴ지/EC+를/JKO
인지해야	인지하/VV+여야/EC
하고	하/VX+고/EC
장애인	장애인/NNG
공정	공정/NNG
고용에	고용/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
이해를	이해/NNG+를/JKO
명확히	명확히/MAG
하고	하/VV+고/EC
있어야	있/VX+어야/EC
한다고	하/VX+ㄴ다고/EC
밝혔다	밝히/VV+었/EP+다/EC

그는	그/NP+는/JX
아울러	아울러/MAG
정신	정신/NNG
장애인들을	장애인/NNG+들/XSN+을/JKO
위해서	위하/VV+여서/EC
갖추어야	갖추/VV+어야/EC
될	되/VV+ㄹ/ETM
시설로는	시설/NNG+로/JKB+는/JX
물을	물/NNG+을/JKO
필수적으로	필수적/NNG+으로/JKB
들었다	듣/VV+었/EP+다/EF

정신	정신/NNG
장애인들이	장애인/NNG+들/XSN+이/JKS
필요시	필요시/NNG
어려움	어려움/NNG
없이	없이/MAG
약을	약/NNG+을/JKO
복용해야	복용하/VV+여야/EC
하기	하/VX+기/ETN
때문이다	때문/NNB+이/VCP+다/EC

사무실	사무실/NNG
내에	내/NNB+에/JKB
수도	수도/NNG
설치	설치/NNG
혹은	혹은/MAG
물병을	물병/NNG+을/JKO
필수적으로	필수적/NNG+으로/JKB
마련해야	마련하/VV+여야/EC
된다고	되/VV+ㄴ다고/EC
못박았다	못/NNG+박/VV+았/EP+다/EF

또한	또한/MAG
대인	대인/NNG
기피증이	기피증/NNG+이/JKS
있는	있/VA+는/ETM
장애	장애/NNG
직장인들을	직장인/NNG+들/XSN+을/JKO
위해서는	위하/VV+여서/EC+는/JX
혼자	혼자/NNG
일할	일하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
별도의	별도/NNG+의/JKG
공간을	공간/NNG+을/JKO
마련해	마련하/VV+여/EC
주어야	주/VX+어야/EC
하며	하/VX+며/EC
12주	12/SN+주/NNB
이상의	이상/NNG+의/JKG
장기	장기/NNG
병가도	병가/NNG+도/JX
허락해야	허락하/VV+여야/EC
된다고	되/VV+ㄴ다고/EC
말했다	말하/VV+였/EP+다/EC

*	*/SW
샘	샘/NNG
기자는	기자/NNG+는/JX
에이블뉴스	에이블뉴스/NNP
객원기자로	객원기자/NNG+로/JKB
캘리포니아	캘리포니아/NNP
버클리대학	버클리대학/NNP
사회학과를	사회학과/NNG+를/JKO
졸업하고,	졸업하/VV+고/EC+,/SP
전	전/MM
미상원	미/NNP+상원/NNG
장애인국	장애인국/NNG
인턴을	인턴/NNG+을/JKO
지냈다	지내/VV+었/EP+다/EC

현재	현재/MAG
TEC	TEC/SL
대표를	대표/NNG+를/JKO
맡고	맡/VV+고/EC
있다	있/VX+다/EC
