중구보호작업장,	중구보호작업장/NNG+,/SP
‘BF우수등급’	‘BF/SL+우수등급/NNG+’/SN
무색	무색/NNG

장애물	장애물/NNG
없는	없/VA+는/ETM
생활환경(Barrier	생활환경/NNG+(/SS+Barrier/SL
Free)	Free/SL+)/SS
우수등급을	우수등급/NNG+을/JKO
받아	받/VV+아/EC
개관을	개관/NNG+을/JKO
앞둔	앞두/VV+ㄴ/ETM
인천시의	인천시/NNP+의/JKG
중구장애인보호작업장이	중구장애인보호작업장/NNG+이/JKS
휠체어	휠체어/NNG
및	및/MAG
시각장애인을	시각장애인/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
편의가	편의/NNG+가/JKS
다소	다소/MAG
부족한	부족하/VA+ㄴ/ETM
것으로	것/NNB+으로/JKB
조사됐다	조사되/VV+었/EP+다/EF

‘BF	‘BF/SL
우수등급’을	우수등급/NNG+’/SL+을/JKO
받은	받/VV+은/ETM
인천광역시	인천광역시/NNP
중구장애인보호작업장이	중구장애인보호작업장/NNG+이/JKS
오는	오/VV+는/ETM
14일	14/SN+일/NNB
개관한다	개관하/VV+ㄴ다/EF

총공사비	총/XPN+공사비/NNG
12억원이	12/SN+억/NR+원/NNB+이/JKS
소요된	소요되/VV+ㄴ/ETM
보호작업장은	보호작업장/NNG+은/JX
중구장애인종합복기관	중구장애인종합복기관/NNG
옆	옆/NNG
주차장	주차장/NNG
부지에	부지/NNG+에/JKB
마련됐다	마련되/VV+었/EP+다/EF

보호작업장은	보호작업장/NNG+은/JX
연면적	연면적/NNG
509	509/SN

4㎡에	4/SN+㎡/SW+에/JKB
지상	지상/NNG
1층~4층의	1/SN+층/NNG+~/SO+4/SN+층/NNG+의/JKG
규모로	규모/NNG+로/JKB
1층은	1/SN+층/NNG+은/JX
주차장,	주차장/NNG+,/SP
2층은	2/SN+층/NNG+은/JX
사무실,	사무실/NNG+,/SP
집단활동실,	집단활동실/NNG+,/SP
재활상담실,	재활상담실/NNG+,/SP
남·여장애인화장실,	남/NNG+·/SP+여장애인화장실/NNG+,/SP
남·여탈의실	남/NNG+·/SP+여탈의실/NNG
및	및/MAG
샤워실,	샤워/NNG+실/XSN+,/SP
3층은	3/SN+층/NNG+은/JX
3개로	3/SN+개/NNB+로/JKB
나눠진	나누/VV+어/EC+지/VX+ㄴ/ETM
작업장,	작업장/NNG+,/SP
4층은	4/SN+층/NNG+은/JX
옥상으로	옥상/NNG+으로/JKB
꾸며졌다	꾸미/VV+어/EC+지/VX+었/EP+다/EF

현재	현재/MAG
보호작업장에는	보호작업장/NNG+에/JKB+는/JX
지적·자페성장애인	지적/NNG+·/SP+자페성장애인/NNG
23명이	23/SN+명/NNB+이/JKS
하청임가공	하청임가공/NNG
가구	가구/NNG
경첩을	경첩/NNG+을/JKO
만드는	만들/VV+는/ETM
작업을	작업/NNG+을/JKO
하고	하/VV+고/EC
있으며	있/VX+으며/EC
향후	향후/NNG
30~40명까지	30/SN+~/SO+40/SN+명/NNB+까지/JX
장애인근로자를	장애인근로자/NNG+를/JKO
늘려	늘리/VV+어/EC
나갈	나가/VX+ㄹ/ETM
계획이다	계획/NNG+이/VCP+다/EC

하지만	하지만/MAJ
보호작업장은	보호작업장/NNG+은/JX
당초	당초/NNG
BF인증을	BF/SL+인증/NNG+을/JKO
염두하고	염두하/VV+고/EC
건립된	건립되/VV+ㄴ/ETM
곳이	곳/NNG+이/JKC
아닌,	아니/VCN+ㄴ/ETM+,/SP
건립	건립/NNG
후	후/NNG
개선을	개선/NNG+을/JKO
통해	통하/VV+여/EC
BF우수	BF/SL+우수/NNG
인증을	인증/NNG+을/JKO
받았던	받/VV+았/EP+던/ETM
곳으로	곳/NNG+으로/JKB
장애인	장애인/NNG
편의	편/NNB+의/JKG
점검결과	점검결과/NNG
휠체어	휠체어/NNG
및	및/MAG
시각장애인들을	시각장애인/NNG+들/XSN+을/JKO
위한	위하/VV+ㄴ/ETM
편의는	편의/NNG+는/JX
다소	다소/MAG
부족해	부족하/VA+여/EC
