백지영	백지영/NNP
이어	이어/MAG
길도	길/NNG+도/JX
울린	울리/VV+ㄴ/ETM
시각장애인	시각장애인/NNG
'이아름'	'/SS+이아름/NNP+'/SS

절대음감	절대음감/NNG
시각장애	시각장애/NNG
이아름	이아르/VA+ㅁ/ETN
양이	양/NNG+이/JKS
가수	가수/NNG
백지영에	백지영/NNP+에/JKB
이어	잇/VV+어/EC
리쌍의	리쌍/NNG+의/JKG
길도	길/NNG+도/JX
울렸다	울리/VV+었/EP+다/EF

지난	지나/VV+ㄴ/ETM
7일	7/SN+일/NNB
방송된	방송되/VV+ㄴ/ETM
M	M/SL

net	net/SL
‘슈퍼스타	‘/SL+슈퍼스타/NNG
K4’	K/SL+4/SN+’/SL
4회에는	4/SN+회/NNB+에/JKB+는/JX
선천적으로	선천적/NNG+으로/JKB
시각장애를	시각장애/NNG+를/JKO
갖게	갖/VV+게/EC
된	되/VV+ㄴ/ETM
이아름(22세·시각장애	이아름/NNP+(/SS+22/SN+세/NNB+·/SP+시각장애/NNG
1급)	1/SN+급/NNG+)/SS
양이	양/NNB+이/JKS
출연해	출연하/VV+여/EC
심사위원들로	심사위원/NNG+들/XSN+로/JKB
부터	부터/VA
큰	크/VA+ㄴ/ETM
박수	박수/NNG
갈채를	갈채/NNG+를/JKO
받았다	받/VV+았/EP+다/EC

이날	이날/NNG
이	이/MM
양은	양/NNG+은/JX
피아노를	피아노/NNG+를/JKO
치면서	치/VV+면서/EC
맑고	맑/VA+고/EC
고운	곱/VA+ㄴ/ETM
목소리로	목소리/NNG+로/JKB
아이유의	아이유/NNG+의/JKG
‘별을	‘/SN+별/XSN+을/JKO
찾는	찾/VV+는/ETM
아이’를	아이’/NNG+를/JKO
불렀고,	부르/VV+었/EP+고/EC+,/SP
부드러운	부드럽/VA+ㄴ/ETM
고음	고음/NNG
처리로	처리/NNG+로/JKB
심사위원으로부터	심사위원/NNG+으로부터/JKB
큰	크/VA+ㄴ/ETM
호평을	호평/NNG+을/JKO
받았다	받/VV+았/EP+다/EC

특히	특히/MAG
리쌍의	리쌍/NNP+의/JKG
길은	길/NNG+은/JX
이	이/MM
양이	양/NNG+이/JKS
노래를	노래/NNG+를/JKO
시작하자	시작하/VV+자/EC
감정이	감정/NNG+이/JKS
북받쳤는지	북받치/VV+었/EP+는지/EC
선글라스를	선글라스/NNG+를/JKO
벗고	벗/VV+고/EC
눈물을	눈물/NNG+을/JKO
흘리기	흘리/VV+기/ETN
시작했다	시작하/VV+였/EP+다/EF

이	이/MM
양의	양/NNG+의/JKG
노래를	노래/NNG+를/JKO
들은	듣/VV+은/ETM
심사위원	심사위원/NNG
이승철은	이승철/NNP+은/JX
“노래	“/SL+노래/NNG
자체를	자체/NNG+를/JKO
굉장히	굉장히/MAG
잘한다	잘하/VV+ㄴ다/EF

특히	특히/MAG
고음부분의	고음부분/NNG+의/JKG
청아한	청아하/VA+ㄴ/ETM
목소리와	목소리/NNG+와/JC
바이브레이션이	바이브레이션/NNG+이/JKS
놀랍다”고	놀랍/VA+다”고/EC
극찬했다	극찬하/VV+였/EP+다/EF

현미도	현미도/NNP
“노래	“/SL+노래/NNG
굉장히	굉장히/MAG
고음	고음/NNG
올라갈	올라가/VV+ㄹ/ETM
때	때/NNG
힘	힘/NNG
안들이고	안/MAG+들이/VV+고/EC
자연스럽게	자연스럽/VA+게/EC
강약	강약/NNG
조절을	조절/NNG+을/JKO
잘했다”며	잘하/VV+였/EP+다/EC+”/VX+며/EC
노래에	노래/NNG+에/JKB
소질이	소질/NNG+이/JKS
있다고	있/VA+다고/EC
평가했다	평가하/VV+였/EP+다/EC

이	이/MM
양은	양/NNG+은/JX
심사위원의	심사위원/NNG+의/JKG
만장일치	만장일치/NNG
합격으로	합격/NNG+으로/JKB
슈퍼위크	슈퍼위크/NNG
진출에	진출/NNG+에/JKB
성공했다	성공하/VV+였/EP+다/EC

방송을	방송/NNG+을/JKO
본	보/VV+ㄴ/ETM
누리꾼들은	누리꾼/NNG+들/XSN+은/JX
'장애는	'/SS+장애/NNG+는/JX
아무	아무/MM
문제없다	문제/NNG+없/VA+다/EC

이	이/MM
친구	친구/NNG
노래	노래/NNG
대박	대박/NNG
잘한다',	잘하/VV+ㄴ다/EF+'/SS+,/SP
'진짜	'/SS+진짜/NNG
노래	노래/NNG
잘한다	잘하/VV+ㄴ다/EF

장애	장애/NNG
때문이	때문/NNB+이/JKC
아니라	아니/VCN+라/EC
정말	정말/MAG
노래	노래/NNG
자체에	자체/NNG+에/JKB
감동	감동/NNG
받았다',	받/VV+았/EP+다/EF+'/SS+,/SP
'와	'/SS+와/JC
진짜	진짜/NNG
음을	음/NNG+을/JKO
어떻게	어떻/VA+게/EC
저렇게	저렇/VA+게/EC
잘	잘/MAG
맞추지	맞추/VV+지/EC

우승후보네',	우승후보/NNG+네/XSN+'/SS+,/SP
'감동을	'/SS+감동/NNG+을/JKO
노래하는	노래하/VV+는/ETM
뮤지션이	뮤지션/NNG+이/JKS
될	되/VV+ㄹ/ETM
것	것/NNB
같다'	같/VA+다/EF+'/SS
등의	등/NNB+의/JKG
반응을	반응/NNG+을/JKO
보이며	보이/VV+며/EC
이	이/MM
양을	양/NNG+을/JKO
응원하고	응원하/VV+고/EC
있다	있/VX+다/EC

한편	한편/MAG
이	이/MM
양은	양/NNG+은/JX
지난	지나/VV+ㄴ/ETM
6월	6/SN+월/NNB
SBS	SBS/SL
TV	TV/SL
‘놀라운	‘/SL+놀랍/VA+ㄴ/ETM
