시각장애인들,	시각장애인/NNG+들/XSN+,/SP
“독도는	“/SN+독도/NNG+는/JX
우리	우리/NP
땅”	땅/NNG+”/SN

시각장애인	시각장애인/NNG
국토순례단이	국토순례단/NNP+이/JKS
지난	지나/VV+ㄴ/ETM
13일	13/SN+일/NNB
독도에	독도/NNP+에/JKB
도착해	도착하/VV+여/EC
만세를	만세/NNG+를/JKO
외치며	외치/VV+며/EC
대한민국	대한민국/NNP
영토임을	영토/NNG+이/VCP+ㅁ/ETN+을/JKO
알렸다	알리/VV+었/EP+다/EF

시각장애인	시각장애인/NNG
2명과	2/SN+명/NNB+과/JC
경주대학교	경주대학교/NNP
특수체육교육학과	특수체육교육학과/NNG
자원봉사자	자원봉사자/NNG
등	등/NNB
10명으로	10/SN+명/NNB+으로/JKB
구성된	구성되/VV+ㄴ/ETM
국토순례단은	국토순례단/NNG+은/JX
12일부터	12/SN+일/NNB+부터/JX
일정을	일정/NNG+을/JKO
소화하고	소화하/VV+고/EC
있다	있/VX+다/EC

이들은	이/NP+들/XSN+은/JX
오는	오/VV+는/ETM
22일까지	22/SN+일/NNB+까지/JX
포항,	포항/NNP+,/SP
경주,	경주/NNP+,/SP
울산,	울산/NNP+,/SP
양산,	양산/NNG+,/SP
부산,	부산/NNP+,/SP
대마도까지	대마도/NNP+까지/JX
도보와	도보/NNG+와/JC
여객선,	여객선/NNG+,/SP
차량	차량/NNG
등을	등/NNB+을/JKO
통해	통하/VV+여/EC
이동하며	이동하/VV+며/EC
국토사랑의	국토사랑/NNG+의/JKG
중요성을	중요성/NNG+을/JKO
일깨워	일깨우/VV+어/EC
나갈	나가/VX+ㄹ/ETM
예정이다	예정/NNG+이/VCP+다/EC

학생들은	학생/NNG+들/XSN+은/JX
“설레	“/SN+설레/NNG
이는	이/NP+는/JX
마음을	마음/NNG+을/JKO
안고	안/VV+고/EC
독도	독도/NNG
땅을	땅/NNG+을/JKO
밟고	밟/VV+고/EC
만세를	만세/NNG+를/JKO
부르니	부르/VV+니/EC
벅찬	벅차/VA+ㄴ/ETM
감격을	감격/NNG+을/JKO
느꼈다”며	느끼/VV+었/EP+다/EC+”/VX+며/EC
“국토순례단	“/SL+국토순례단/NNG
활동이	활동/NNG+이/JKS
끝난	끝나/VV+ㄴ/ETM
후에도	후/NNG+에/JKB+도/JX
독도를	독도/NNP+를/JKO
사랑하는	사랑하/VV+는/ETM
마음을	마음/NNG+을/JKO
계속	계속/MAG
키워나갈	키우/VV+어/EC+나가/VX+ㄹ/ETM
것”이라고	것/NNB+”/SL+이/VCP+라고/EC
말했다	말하/VV+였/EP+다/EC
