"명문대	"/SS+명문대/NNG
입학	입학/NNG
성폭행범,	성폭행/NNG+범/XSN+,/SP
표창까지	표창/NNG+까지/JX
받아"	받/VV+아/EF+"/SS

(대전=연합뉴스)	(/SS+대전/NNP+=/SW+연합뉴스/NNP+)/SS
박주영	박주영/NNP
기자	기자/NNG
=	=/SW
대전에서	대전/NNP+에서/JKB
지적장애인	지적장애인/NNG
집단	집단/NNG
성폭행에	성폭행/NNG+에/JKB
가담한	가담하/VV+ㄴ/ETM
학생이	학생/NNG+이/JKS
명문대에	명문대/NNG+에/JKB
입학해	입학하/VV+여/EC
물의를	물의/NNG+를/JKO
빚은	빚/VV+은/ETM
가운데,	가운데/NNG+,/SP
가해	가하/VV+여/EC
학생이	학생/NNG+이/JKS
성폭행	성폭행/NNG
사건	사건/NNG
이후에도	이후/NNG+에/JKB+도/JX
반장에	반장/NNG+에/JKB
임명되고	임명되/VV+고/EC
표창까지	표창/NNG+까지/JX
받은	받/VV+은/ETM
것으로	것/NNB+으로/JKB
나타났다	나타나/VV+았/EP+다/EC

17일	17/SN+일/NNB
대전시교육청에	대전시/NNP+교육청/NNG+에/JKB
따르면	따르/VV+면/EC
지난달	지난달/NNG
24일부터	24/SN+일/NNB+부터/JX
지난	지나/VV+ㄴ/ETM
12일까지	12/SN+일/NNB+까지/JX
성폭행	성폭행/NNG
가해	가하/VV+여/EC
학생	학생/NNG
A군을	A/SL+군/NNB+을/JKO
성균관대	성균관대/NNP
입학사정관제	입학사정관/NNG+제/XSN
리더십	리더십/NNG
전형에	전형/NNG+에/JKB
합격시켜	합격/NNG+시키/XSV+어/EC
물의를	물의/NNG+를/JKO
빚은	빚/VV+은/ETM
해당	해당/NNG
고등학교에	고등학교/NNG+에/JKB
대해	대하/VV+여/EC
특별감사를	특별감사/NNG+를/JKO
한	하/VV+ㄴ/ETM
결과,	결과/NNG+,/SP
지난해	지난해/NNG
성폭행	성폭행/NNG
사건이	사건/NNG+이/JKS
발생한	발생하/VV+ㄴ/ETM
이후에도	이후/NNG+에/JKB+도/JX
A군을	A/SL+군/NNB+을/JKO
반장으로	반장/NNG+으로/JKB
임명한	임명하/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
드러났다	드러나/VV+았/EP+다/EC

A군은	A/SL+군/NNB+은/JX
정·부반장	정/NNG+·/SP+부반장/NNG
선출규정에	선출규정/NNG+에/JKB
따라	따르/VV+아/EC
학급임원으로	학급임원/NNG+으로/JKB
선출될	선출되/VV+ㄹ/ETM
수	수/NNB
없음에도	없/VA+음/ETN+에/JKB+도/JX
3학년	3/SN+학년/NNG
반장으로	반장/NNG+으로/JKB
임명됐고,	임명되/VV+었/EP+고/EC+,/SP
이와	이/NP+와/JKB
함께	함께/MAG
봉사활동	봉사활동/NNG
관련	관련/NNG
교내외	교내외/NNG
8개의	8/SN+개/NNB+의/JKG
표창을	표창/NNG+을/JKO
수여한	수여하/VV+ㄴ/ETM
사실도	사실/NNG+도/JX
적발됐다	적발되/VV+었/EP+다/EF

지난해	지난해/NNG
5월에는	5/SN+월/NNB+에/JKB+는/JX
A군이	A/SL+군/NNG+이/JKS
법원	법원/NNG
심리에	심리/NNG+에/JKB
참여하려고	참여하/VV+려고/EC
조퇴했음에도	조퇴하/VV+였/EP+음/ETN+에/JKB+도/JX
이	이/NP
같은	같/VA+은/ETM
사실을	사실/NNG+을/JKO
학생부에	학생부/NNG+에/JKB
기록하지	기록하/VV+지/EC
않았고,	않/VX+았/EP+고/EC+,/SP
사회봉사	사회봉사/NNG
및	및/MAG
특별교육시	특별교육시/NNG
하루	하루/NNG
8시간을	8/SN+시간/NNB+을/JKO
채우지	채우/VV+지/EC
않고	않/VX+고/EC
2~6시간만	2/SN+~/SO+6/SN+시간/NNB+만/JX
활동했지만	활동하/VV+였/EP+지만/EC
1일로	1/SN+일/NNB+로/JKB
인정하는	인정하/VV+는/ETM
등	등/NNB
학생	학생/NNG
근태관리가	근태관리/NNG+가/JKC
되지	되/VV+지/EC
않았다	않/VX+았/EP+다/EF

특히	특히/MAG
담임교사는	담임교사/NNG+는/JX
소문을	소문/NNG+을/JKO
통해	통하/VV+여/EC
A군의	A/SL+군/NNG+의/JKG
성폭행	성폭행/NNG
사실을	사실/NNG+을/JKO
알고도	알/VV+고도/EC
추천서를	추천서/NNG+를/JKO
써줬으며,	쓰/VV+어/EC+주/VX+었/EP+으며/EC+,/SP
학교장도	학교장/NNG+도/JX
담임교사에게	담임교사/NNG+에게/JKB
직접	직접/MAG
이	이/NP
같은	같/VA+은/ETM
사실을	사실/NNG+을/JKO
알려주지	알리/VV+어/EC+주/VX+지/EC
않아	않/VX+아/EC
입학	입학/NNG
전형에서	전형/NNG+에서/JKB
걸러내지	거르/VV+어/EC+내/VX+지/EC
못했다	못하/VX+였/EP+다/EC

대전시교육청	대전시교육청/NNP
임철	임철/NNP
감사관은	감사관/NNG+은/JX
"이번	"/SS+이번/NNG
감사결과에	감사결과/NNG+에/JKB
따라	따르/VV+아/EC
해당	해당/NNG
법인에	법인/NNG+에/JKB
교장	교장/NNG
및	및/MAG
담임교사	담임교사/NNG
등	등/NNB
관련자에	관련자/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
중징계를	중징계/NNG+를/JKO
요구했으며,	요구하/VV+였/EP+으며/EC+,/SP
해당	해당/NNG
학교에는	학교/NNG+에/JKB+는/JX
기관	기관/NNG
경고조치할	경고조치하/VV+ㄹ/ETM
방침"이라고	방침/NNG+"/SS+이라고/JKQ
말했다	말하/VV+였/EP+다/EC

한편	한편/MAG
A군은	A/SL+군/NNB+은/JX
지난달	지난달/NNG
성균관대	성균관대/NNP
측에	측/NNB+에/JKB
자퇴서를	자퇴서/NNG+를/JKO
제출했으나,	제출하/VV+였/EP+으나/EC+,/SP
학교	학교/NNG
측에서는	측/NNB+에서/JKB+는/JX
입학	입학/NNG
취소나	취소/NNG+나/JC
제적	제적/NNG
처분	처분/NNG
등	등/NNB
다른	다른/MM
방안을	방안/NNG+을/JKO
검토하고	검토하/VV+고/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
알려졌다	알려지/VV+었/EP+다/EF

jyoung@yna	jyoung/SL+@/SW+yna/SL

co	co/SL

kr<저	kr/SL+</SS+저/MM
작	작/NNG
권	권/NNP
자(c)연	자/NP+(/SS+c/SL+)/SS+연/NNG
합	합/NNG
뉴	뉴/NNG
스	스/NNG

무	무/NNG
단	단/MM
전	전/NNG
재-재	재/NNG+-/SO+재/NNG
배	배/NNG
포	포/NNG
금	금/VV
지	짓/VV

>	>/SS
