박근혜,	박근혜/NNP+,/SP
장애등급·부양의무	장애등급/NNG+·/SP+부양의무/NNG
폐지	폐지/NNG
입장	입장/NNG
없나?	없/VA+나/EF+?/SF

장애등급제·부양의무제	장애등급/NNG+제/XSN+·/SP+부양의무제/NNG
폐지	폐지/NNG
공동행동(이하	공동행동/NNG+(/SS+이하/NNG
공동행동)이	공동행동/NNG+)/SS+이/JKS
새누리당	새누리당/NNP
박근혜	박근혜/NNP
대선후보와의	대선후보/NNG+와/JKB+의/JKG
면담이	면담/NNG+이/JKS
불발되자	불발되/VV+자/EC
또	또/MAG
다시	다시/MAG
요청했다	요청하/VV+였/EP+다/EC

공동행동은	공동행동/NNG+은/JX
지난	지나/VV+ㄴ/ETM
4월부터	4/SN+월/NNB+부터/JX
18대	18/SN+대/NNB
대선	대선/NNG
후보들에게	후보/NNG+들/XSN+에게/JKB
‘장애등급제	‘/SN+장애등급/NNG+제/XSN
부양의무제	부양의무제/NNG
폐지’에	폐지’/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
공식적인	공식적/NNG+이/VCP+ㄴ/ETM
입장	입장/NNG
요구와	요구/NNG+와/JKB
함께	함께/MAG
면담을	면담/NNG+을/JKO
지속적으로	지속적/NNG+으로/JKB
요청하고	요청하/VV+고/EC
있다	있/VX+다/EC

히지만	히지만/NNP
박	박/NNP
후보	후보/NNG
측은	측/NNB+은/JX
'시간이	'/SS+시간/NNG+이/JKS
없다'는	없/VA+다/EF+'/SS+는/JX
이유로	이유/NNG+로/JKB
면담이	면담/NNG+이/JKS
불가하다고	불가하/VA+다고/EC
답변하고	답변하/VV+고/EC
있다	있/VX+다/EC

이에	이/NP+에/JKB
공동행동은	공동행동/NNG+은/JX
20일	20/SN+일/NNB
오후	오후/NNG
2시	2/SN+시/NNB
박근혜	박근혜/NNP
후보	후보/NNG
캠프(여의도	캠프/NNG+(/SS+여의도/NNP
대하빌딩)	대하빌딩/NNG+)/SS
앞에서	앞/NNG+에서/JKB
기자회견을	기자회견/NNG+을/JKO
갖고,	갖/VV+고/EC+,/SP
새누리당	새누리당/NNP
민원국에	민원국/NNG+에/JKB
‘새누리당	‘/SN+새누리당/NNP
박근혜	박근혜/NNP
후보	후보/NNG
면담요청서’를	면담요청서’/NNG+를/JKO
또	또/MAG
다시	다시/MAG
제출했다	제출하/VV+였/EP+다/EC

공동행동은	공동행동/NNG+은/JX
오는	오/VV+는/ETM
27일까지	27/SN+일/NNB+까지/JX
면담	면담/NNG
요청에	요청/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
답변을	답변/NNG+을/JKO
줄	주/VV+ㄹ/ETM
것을	것/NNB+을/JKO
요구했다	요구하/VV+었/EP+다/EC

이날	이날/NNG
공동행동은	공동행동/NNG+은/JX
“장애등급제와	“/SN+장애등급/NNG+제/XSN+와/JC
부양의무제	부양의무제/NNG
폐지는	폐지/NNG+는/JX
장애인	장애인/NNG
240만명과	240/SN+만/NR+명/NNB+과/JC
빈곤층	빈곤/NNG+층/XSN
720만명의	720/SN+만/NR+명/NNB+의/JKG
생존권과	생존권/NNG+과/JC
인권이	인권/NNG+이/JKS
달린	달리/VV+ㄴ/ETM
정책적	정책적/NNG
과제”라면서	과제”/NNG+이/VCP+라면서/EC
“보편적	“/SN+보편적/NNG
권리를	권리/NNG+를/JKO
부정하고	부정하/VV+고/EC
