'시티투어버스,	'/SS+시티투어버스/NNP+,/SP
휠체어리프트	휠체어리프트/NNG
설치해야'	설치하/VV+여야/EF+'/SS

국가인권위원회(위원장	국가인권위원회/NNG+(/SS+위원장/NNG
현병철)는	현병철/NNP+)/SS+는/JX
21일	21/SN+일/NNB
휠체어	휠체어/NNG
등	등/NNB
장애인보조기구를	장애인보조기구/NNG+를/JKO
사용하는	사용하/VV+는/ETM
장애인이	장애인/NNG+이/JKS
시티투어버스에	시티투어버스/NNP+에/JKB
휠체어	휠체어/NNG
리프트가	리프트/NNG+가/JKS
설치되지	설치되/VV+지/EC
않아	않/VX+아/EC
시티투어버스를	시티투어버스/NNG+를/JKO
이용하지	이용하/VV+지/EC
못한	못하/VX+ㄴ/ETM
것은	것/NNB+은/JX
장애인에	장애인/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
‘차별’이라고	‘/SN+차별/NNG+’/SN+이/VCP+라고/EC
판단했다	판단하/VV+였/EP+다/EC

인권위에	인권위/NNG+에/JKB
따르면	따르/VV+면/EC
박모(여,	박/NNP+모/NP+(/SS+여/NNG+,/SP
57세)씨는	57/SN+세/NNB+)/SS+씨/NNB+는/JX
휠체어를	휠체어/NNG+를/JKO
사용하는	사용하/VV+는/ETM
장애인으로	장애인/NNG+으로/JKB
“A광역시가	“A/SL+광역시/NNG+가/JKS
위탁	위탁/NNG
운행하는	운행하/VV+는/ETM
시티투어버스에	시티투어버스/NNP+에/JKB
휠체어	휠체어/NNG
리프트가	리프트/NNG+가/JKS
설치되어	설치되/VV+어/EC
있지	있/VX+지/EC
않아	않/VX+아/EC
탑승할	탑승하/VV+ㄹ/ETM
수	수/NNB
없다”며	없/VA+다/EC+”/VX+며/EC
지난해	지난해/NNG
4월	4/SN+월/NNB
인권위에	인권위/NNG+에/JKB
진정을	진정/NNG+을/JKO
제기했다	제기하/VV+였/EP+다/EC

이에	이/NP+에/JKB
대해	대하/VV+여/EC
A광역시	A/SL+광역시/NNG
측은	측/NNB+은/JX
“시티투어버스가	“/SN+시티투어버스/NNP+가/JKS
운행되는	운행되/VV+는/ETM
코스에	코스/NNG+에/JKB
오르막	오르막/NNG
및	및/MAG
커브길이	커브길/NNG+이/JKS
많아	많/VA+아/EC
차량	차량/NNG
흔들림으로	흔들리/VV+ㅁ/ETN+으로/JKB
전동휠체어	전동휠체어/NNG
적재	적재/NNG
시	시/NNG
안전사고	안전사고/NNG
위험이	위험/NNG+이/JKS
있다”며	있/VA+다/EC+”/VX+며/EC
“리프트를	“/SN+리프트/NNG+를/JKO
설치한	설치하/VV+ㄴ/ETM
2층	2/SN+층/NNG
버스는	버스/NNG+는/JX
산간도로의	산간도로/NNG+의/JKG
폭이	폭/NNG+이/JKS
좁아	좁/VA+아/EC
커브	커브/NNG
길	길/NNG
주행이나	주행/NNG+이나/JC
가로수	가로수/NNG
나뭇가지의	나뭇가지/NNG+의/JKG
늘어짐으로	늘어지/VV+ㅁ/ETN+으로/JKB
인해	인하/VV+여/EC
차량	차량/NNG
운행이	운행/NNG+이/JKS
불가하다”고	불가하/VA+다/EC+”/VX+고/EC
설명했다	설명하/VV+었/EP+다/EC

또한	또한/MAG
“시의	“/SN+시/NNB+의/JKG
재정여건	재정여건/NNG
상	상/XSN
휠체어	휠체어/NNG
승강설비가	승강설비/NNG+가/JKS
장착된	장착되/VV+ㄴ/ETM
버스를	버스/NNG+를/JKO
구입하는	구입하/VV+는/ETM
것이	것/NNB+이/JKS
어렵다”고	어렵/VA+다/EC+”/VV+고/EC
덧붙였다	덧붙이/VV+었/EP+다/EF

‘장애인차별금지법’은	‘/SN+장애인차별금지법’/NNG+은/JX
재화·용역	재화/NNG+·/SP+용역/NNG
등의	등/NNB+의/JKG
제공자가	제공자/NNG+가/JKS
장애인에	장애인/NNG+에/JKB
대해	대하/VV+여/EC
‘장애’를	‘/SN+장애/NNG+’/SL+를/JKO
이유로	이유/NNG+로/JKB
비장애인과	비장애인/NNG+과/JC
실질적으로	실질적/NNG+으로/JKB
동등하지	동등하/VV+지/EC
않은	않/VX+은/ETM
수준의	수준/NNG+의/JKG
편익을	편익/NNG+을/JKO
가져다주는	가져다주/VV+는/ETM
물건과	물건/NNG+과/JC
서비스,	서비스/NNG+,/SP
이익,	이익/NNG+,/SP
편의	편의/NNG
등을	등/NNB+을/JKO
제공하는	제공하/VV+는/ETM
것을	것/NNB+을/JKO
금지하고	금지하/VV+고/EC
있다	있/VX+다/EC

특히	특히/MAG
‘국가	‘/SL+국가/NNG
및	및/MAG
지방자치단체에	지방자치단체/NNG+에/JKB
대해서는	대하/VV+여서/EC+는/JX
장애인	장애인/NNG
등에게	등/NNB+에게/JKB
장애인	장애인/NNG
차별에	차별/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
권리구제와	권리구제/NNG+와/JC
정당한	정당하/VA+ㄴ/ETM
편의가	편의/NNG+가/JKS
제공될	제공되/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
필요한	필요하/VA+ㄴ/ETM
재정적	재정적/NNG
지원을	지원/NNG+을/JKO
해야	하/VV+여야/EC
한다’고	하/VX+ㄴ다’고/EC
규정하고	규정하/VV+고/EC
있다	있/VX+다/EC

이에	이/NP+에/JKB
인권위는	인권위/NNG+는/JX
