'프랑스	'/SS+프랑스/NNP
인권보호기구'에	인권보호기구/NNG+'/SS+에/JKB
대해	대하/VV+여/EC
듣다	듣/VV+다/EC

현재	현재/MAG
스위스	스위스/NNP
제네바에서	제네바/NNP+에서/JKB
열리고	열리/VV+고/EC
있는	있/VX+는/ETM
유엔장애인권리협약	유엔/NNP+장애인권리협약/NNG
장애인권리위원회	장애인권리위원회/NNG
제8차	제/XPN+8/SN+차/NNB
세션	세션/NNG
회의에는	회의/NNG+에/JKB+는/JX
유엔	유엔/NNP
관계자와	관계자/NNG+와/JC
각국	각국/NNG
정부	정부/NNG
대표들뿐만	대표/NNG+들/XSN+뿐만/JX
아니라,	아니/VCN+라/EC+,/SP
여러	여러/MM
나라의	나라/NNG+의/JKG
관련	관련/NNG
기구	기구/NNG
관계자,	관계자/NNG+,/SP
국제	국제/NNG
NGO	NGO/SL
혹은	혹은/MAG
국가별	국가/NNG+별/XSN
NGO들도	NGO/SL+들/XSN+도/JX
참가하고	참가하/VV+고/EC
있다	있/VX+다/EC

그들	그/NP+들/XSN
중에서	중/NNB+에서/JKB
프랑스에서	프랑스/NNP+에서/JKB
온	오/VV+ㄴ/ETM
인권	인권/NNG
기구	기구/NNG
관계자가	관계자/NNG+가/JKS
있어서	있/VA+어서/EC
지난	지나/VV+ㄴ/ETM
20일	20/SN+일/NNB
인터뷰	인터뷰/NNG
했다	하/VV+였/EP+다/EF

인터뷰에	인터뷰/NNG+에/JKB
응해주신	응하/VV+여/EC+주신/NNG
분은	분/XSN+은/JX
프랑스	프랑스/NNP
인권보호기구(French	인권보호기구/NNG+(/SS+French/SL
Defender	Defender/SL
of	of/SL
Rights)의	Rights/SL+)/SS+의/JKG
고문(advisor)으로	고문/NNG+(/SS+advisor/SL+)/SS+으로/JKB
있는	있/VA+는/ETM
네펠리	네펠리/NNP
야트리폴로스	야트리폴로스/NNP
씨로	씨/NNB+로/JKB
유엔장애인권리위워회	유엔/NNP+장애인권리위워회/NNG
회의	회의/NNG
참관과	참관/NNG+과/JKB
함께	함께/MAG
자신이	자신/NNG+이/JKS
근무하는	근무하/VV+는/ETM
기구를	기구/NNG+를/JKO
홍보하는	홍보하/VV+는/ETM
사이드	사이드/NNG
이벤트를	이벤트/NNG+를/JKO
위해	위하/VV+여/EC
이번	이번/NNG
회의에	회의/NNG+에/JKB
참가했다고	참가하/VV+였/EP+다고/EC
한다	하/VV+ㄴ다/EF

다음은	다음/NNG+은/JX
일문일답	일문일답/NNG

이광원:	이광원/NNP+:/SP
인터뷰에	인터뷰/NNG+에/JKB
응해	응하/VV+여/EC
주셔서	주/VX+시/EP+어서/EC
감사하다	감사하/VV+다/EC

우선	우선/MAG
기구에	기구/NNG+에/JKB
대해	대하/VV+여/EC
소개해	소개하/VV+여/EC
달라	달/VX+라/EF

네펠리:	네펠리/NNP+:/SP
작년	작년/NNG
3월	3/SN+월/NNB
프랑스	프랑스/NNP
의회가	의회/NNG+가/JKS
시민의	시민/NNG+의/JKG
기본권을	기본권/NNG+을/JKO
다루는	다루/VV+는/ETM
국가의	국가/NNG+의/JKG
주요	주요/NNG
독립기구(independent	독립기구/NNG+(/SS+independent/SL
public	public/SL
authority)들을	authority/SL+)/SS+들/XSN+을/JKO
통합하여	통합하/VV+여/EC
본	보/VX+ㄴ/ETM
기구를	기구/NNG+를/JKO
설립했다	설립하/VV+였/EP+다/EF

그간	그간/NNG
국내	국내/NNG
차별문제를	차별문제/NNG+를/JKO
총괄했던	총괄하/VV+였/EP+던/ETM
기회평등	기회평등/NNG
및	및/MAG
