10년간	10/SN+년/NNB+간/XSN
냉동고	냉동고/NNG
방치	방치/NNG
발달장애인	발달장애인/NNG
넋	넋/NNG
위로	위/NNG+로/JKB

일명	일명/NNG
‘천사	‘/SN+천/NR+사/NNG
아버지’로	아버지/NNG+’/SN+로/JKB
불리는	불리/VV+는/ETM
장모씨에게	장/NNP+모/NP+씨/NNB+에게/JKB
입양됐다	입양되/VV+었/EP+다/EC
10년	10/SN+년/NNB
넘게	넘/VV+게/EC
병원영안실에	병원영안/NNG+실/XSN+에/JKB
방치됐던	방치되/VV+었/EP+던/ETM
발달장애인	발달장애/NNG+이/VCP+ㄴ/ETM
장성광(본명	장성광/NNP+(/SS+본명/NNG
이광동),	이광동/NNP+)/SS+,/SP
장성희씨의	장성희/NNP+씨/NNB+의/JKG
넋을	넋/NNG+을/JKO
위로하기	위로하/VV+기/ETN
위한	위하/VV+ㄴ/ETM
자리가	자리/NNG+가/JKS
마련됐다	마련되/VV+었/EP+다/EF

원주귀래사랑의집	원주귀래사랑의집/NNG
사건해결을	사건해결/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
대책위원회와	대책위원회/NNG+와/JC
전국장애인부모연대는	전/MM+국장애인부모연대/NNG+는/JX
25일	25/SN+일/NNB
오후	오후/NNG
2시부터	2/SN+시/NNB+부터/JX
6시까지	6/SN+시/NNB+까지/JX
4시간	4/SN+시간/NNB
동안	동안/NNG
서울	서울/NNP
종로	종로/NNP
보신각과	보신각/NNP+과/JC
보건복지부	보건복지부/NNG
앞에서	앞/NNG+에서/JKB
순차적으로	순차적/NNG+으로/JKB
‘원주귀래사랑의집	‘/SN+원/NNB+주귀래사랑의집/NNG
사망	사망/NNG
장애인	장애인/NNG
장례	장례/NNG
및	및/MAG
발달장애인	발달장애인/NNG
합동위령제’를	합동위령제/NNG+’/SL+를/JKO
가졌다	가지/VV+었/EP+다/EC

장모씨는	장/NNP+모/NP+씨/NNB+는/JX
1989년과	1989/SN+년/NNB+과/JC
1993년	1993/SN+년/NNB
21명의	21/SN+명/NNB+의/JKG
지적장애아를	지적장애아/NNG+를/JKO
입양했고,	입양하/VV+였/EP+고/EC+,/SP
언론에서는	언론/NNG+에서/JKB+는/JX
장씨를	장/NNP+씨/NNB+를/JKO
대단한	대단하/VA+ㄴ/ETM
사명감을	사명감/NNG+을/JKO
가진	가지/VV+ㄴ/ETM
‘천사’로	‘/SN+천/NR+사/NNG+’/SL+로/JKB
방송하면서	방송하/VV+면서/EC
상당한	상당하/VA+ㄴ/ETM
후원금을	후원금/NNG+을/JKO
받았다	받/VV+았/EP+다/EC

하지만	하지만/MAJ
지난	지나/VV+ㄴ/ETM
6월	6/SN+월/NNB
모	모/MM
방송매체	방송매체/NNG
확인결과	확인결과/NNG
입양됐던	입양되/VV+었/EP+던/ETM
15명의	15/SN+명/NNB+의/JKG
행방이	행방/NNG+이/JKS
모연했고,	모연하/VA+었/EP+고/EC+,/SP
이광동씨와	이광동/NNP+씨/NNB+와/JC
장성희씨는	장성희/NNP+씨/NNB+는/JX
제대로	제대로/MAG
돌봄을	돌봄/NNG+을/JKO
받지	받/VV+지/EC
못해	못하/VX+여/EC
영양실조로	영양실조/NNG+로/JKB
사망했는데도	사망하/VV+였/EP+는데/EC+도/JX
장씨는	장/NNP+씨/NNB+는/JX
병원	병원/NNG
측의	측/NNB+의/JKG
배상을	배상/NNG+을/JKO
요구하며	요구하/VV+며/EC
장례를	장례/NNG+를/JKO
거부	거부/NNG
각각	각각/MAG
