교통복지예산	교통복지예산/NNG
부익부빈익빈	부익부빈익빈/NNG
‘심각’	‘/SL+심각/NNG+’/SN

정부가	정부/NNG+가/JKS
노인·장애인·임산부·영유아	노인/NNG+·/SP+장애인/NNG+·/SP+임산부/NNG+·/SP+영유아/NNG
등	등/NNB
교통약자의	교통약자/NNG+의/JKG
이동권	이동/NNG+권/XSN
보장을	보장/NNG+을/JKO
위해	위하/VV+여/EC
각	각/MM
지자체에	지자체/NNG+에/JKB
지원	지원/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
교통복지	교통복지/NNG
예산이	예산/NNG+이/JKS
심각한	심각하/VA+ㄴ/ETM
부익부빈익빈	부익부빈익빈/NNG
현상을	현상/NNG+을/JKO
보이고	보이/VV+고/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
드러났다	드러나/VV+았/EP+다/EC

국회	국회/NNG
국토해양위원회	국토해양위원회/NNP
소속	소속/NNG
조현룡	조현룡/NNP
의원(새누리당)은	의원/NNG+(/SS+새누리당/NNP+)/SS+은/JX
5일	5/SN+일/NNB
열린	열리/VV+ㄴ/ETM
국토해양부	국토해양부/NNP
국정감사에서	국정감사/NNG+에서/JKB
지방재정자립도가	지방재정자립도/NNG+가/JKS
낮거나	낮/VA+거나/EC
수요가	수요/NNG+가/JKS
있어도	있/VA+어도/EC
교통약자	교통약자/NNG
수가	수/NNG+가/JKS
적은	적/VA+은/ETM
지자체의	지자체/NNG+의/JKG
경우	경우/NNG
변변한	변변하/VA+ㄴ/ETM
교통복지예산을	교통복지예산/NNG+을/JKO
배정	배정/NNG
받기	받/VV+기/ETN
어려운	어렵/VA+ㄴ/ETM
상황이	상황/NNG+이/JKS
발생하고	발생하/VV+고/EC
있다고	있/VX+다고/EC
지적했다	지적하/VV+였/EP+다/EF

현재	현재/MAG
국토부가	국토부/NNG+가/JKS
지자체에	지자체/NNG+에/JKB
예산을	예산/NNG+을/JKO
배정해	배정하/VV+여/EC
운영	운영/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
교통약자	교통약자/NNG
정책은	정책/NNG+은/JX
장애인콜택시와	장애인콜택시/NNG+와/JKB
같은	같/VA+은/ETM
특별교통수단과	특별교통수단/NNG+과/JC
저상버스	저상버스/NNG
도입	도입/NNG
등이다	등/NNB+이/VCP+다/EC

하지만	하지만/MAJ
이	이/NP
같은	같/VA+은/ETM
교통수단	교통수단/NNG
도입이	도입/NNG+이/JKS
정부와	정부/NNG+와/JC
지자체	지자체/NNG
간	간/NNB
예산분담을	예산분담/NNG+을/JKO
통해	통하/VV+여/EC
이뤄지면서,	이루어지/VV+면서/EC+,/SP
국토부가	국토부/NNG+가/JKS
재정자립도가	재정자립도/NNG+가/JKS
좋은	좋/VA+은/ETM
지자체	지자체/NNG
중심으로	중심/NNG+으로/JKB
예산을	예산/NNG+을/JKO
나눠주는데서	나누/VV+어/EC+주/VV+는/ETM+데/NNB+서/JKB
문제가	문제/NNG+가/JKS
생긴다는	생기/VV+ㄴ다는/ETM
것이	것/NNB+이/JKS
조	조/NNP
의원의	의원/NNG+의/JKG
지적	지적/NNG

대중교통수단이	대중교통수단/NNG+이/JKS
상대적으로	상대적/NNG+으로/JKB
발달한	발달하/VV+ㄴ/ETM
대도시의	대도시/NNG+의/JKG
경우,	경우/NNG+,/SP
높은	높/VA+은/ETM
재정자립도	재정자립도/NNG
덕에	덕/NNG+에/JKB
더	더/MAG
많은	많/VA+은/ETM
특별교통수단이나	특별교통수단/NNG+이나/JC
저상버스가	저상버스/NNG+가/JKS
생겨나는	생겨나/VV+는/ETM
반면,	반면/NNG+,/SP
노인	노인/NNG
인구가	인구/NNG+가/JKS
높지만	높/VA+지만/EC
버스	버스/NNG
한번	한/MM+번/NNB
타기도	타/VV+기/ETN+도/JX
힘든	힘들/VA+ㄴ/ETM
도서벽지의	도서벽지/NNG+의/JKG
경우엔	경우/NNG+에/JKB+ㄴ/JX
오히려	오히려/MAG
낮은	낮/VA+은/ETM
재정자립도	재정자립도/NNG
탓에	탓/NNG+에/JKB
이	이/NP
같은	같/VA+은/ETM
교통수단을	교통수단/NNG+을/JKO
이용하기가	이용하/VV+기/ETN+가/JKS
더	더/MAG
힘든	힘들/VA+ㄴ/ETM
실정이다	실정/NNG+이/VCP+다/EC

실제	실제/NNG
최근	최근/NNG
3년간	3/SN+년/NNB+간/XSN
저상버스	저상버스/NNG
예산지원	예산지원/NNG
및	및/MAG
보유	보유/NNG
현황을	현황/NNG+을/JKO
보면,	보/VV+면/EC+,/SP
재정자립도가	재정자립도/NNG+가/JKS
높은	높/VA+은/ETM
서울·경기의	서울/NNP+·/SP+경기/NNP+의/JKG
경우,	경우/NNG+,/SP
지원예산의	지원예산/NNG+의/JKG
45~65%를	45/SN+~/SO+65/SN+%/SW+를/JKO
독차지했다	독차지하/VV+였/EP+다/EC

특별교통수단	특별교통수단/NNG
도입율	도입/NNG+율/XSN
또한	또한/MAG
서울·인천은	서울/NNP+·/SP+인천/NNP+은/JX
각각	각각/MAG
76	76/SN

3%,	3/SN+%/SW+,/SP
85	85/SN

3%를	3/SN+%/SW+를/JKO
보인	보이/VV+ㄴ/ETM
반면,	반면/NNG+,/SP
전남·충남은	전남/NNP+·/SP+충남/NNP+은/JX
각각	각각/MAG
12	12/SN

7%,	7/SN+%/SW+,/SP
23	23/SN

1%로	1/SN+%/SW+로/JKB
크게	크/VA+게/EC
낮았다	낮/VA+았/EP+다/EC

조	조/NNP
의원은	의원/NNG+은/JX
“재정자립도에	“/SN+재정자립도/NNG+에/JKB
비례해	비례하/VV+여/EC
교통복지	교통복지/NNG
예산을	예산/NNG+을/JKO
지원하는	지원하/VV+는/ETM
현	현/MM
제도는	제도/NNG+는/JX
교통	교통/NNG
인프라가	인프라/NNG+가/JKS
열악한	열악하/VA+ㄴ/ETM
농어촌의	농어촌/NNG+의/JKG
교통약자들에게	교통약자/NNG+들/XSN+에게/JKB
또	또/MAG
다른	다른/MM
불평등을	불평등/NNG+을/JKO
강요하고	강요하/VV+고/EC
있다”며	있/VX+다/EC+”/VV+며/EC
“국토부는	“/SL+국토부/NNG+는/JX
재정자립도가	재정자립도/NNG+가/JKS
낮으나	낮/VA+으나/EC
수요가	수요/NNG+가/JKS
많은	많/VA+은/ETM
지역에	지역/NNG+에/JKB
예산을	예산/NNG+을/JKO
우선	우선/MAG
배정하는	배정하/VV+는/ETM
등의	등/NNB+의/JKG
대책을	대책/NNG+을/JKO
세워야	세우/VV+어야/EC
할	하/VX+ㄹ/ETM
것”이라고	것/NNB+”/SL+이/VCP+라고/EC
말했다	말하/VV+였/EP+다/EC
