사고에	사고/NNG+에/JKB
방치된	방치되/VV+ㄴ/ETM
독거	독거/NNG
중증장애인의	중증장애인/NNG+의/JKG
삶	삶/NNG

故	故/SL
김주영	김주영/NNP
활동가가	활동가/NNG+가/JKS
세상을	세상/NNG+을/JKO
떠난지	떠나/VV+ㄴ/ETM+지/NNB
딱	딱/MAG
보름이다	보름/NNG+이/VCP+다/EC

김	김/NNP
활동가의	활동가/NNG+의/JKG
죽음으로	죽음/NNG+으로/JKB
또	또/MAG
다시	다시/MAG
수면위로	수면위로/NNG
떠오른	떠오르/VV+ㄴ/ETM
장애인활동지원제도의	장애인활동지원제도/NNG+의/JKG
부족한	부족하/VA+ㄴ/ETM
시간	시간/NNG
문제	문제/NNG

하지만	하지만/MAJ
여전히	여전히/MAG
정부는	정부/NNG+는/JX
활동지원제도의	활동지원제도/NNG+의/JKG
문제점에	문제점/NNG+에/JKB
뾰족한	뾰족하/VA+ㄴ/ETM
해답을	해답/NNG+을/JKO
내비치지	내비치/VV+지/EC
않고,	않/VX+고/EC+,/SP
장애인들은	장애인/NNG+들/XSN+은/JX
24시간	24/SN+시간/NNB
활동보조	활동보조/NNG
보장을	보장/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
투쟁을	투쟁/NNG+을/JKO
높여나가고	높열/VV+나가/VX+고/EC
있다	있/VX+다/EC

이에	이/NP+에/JKB
본지는	본지/NNG+는/JX
활동지원제도의	활동지원제도/NNG+의/JKG
부족한	부족하/VA+ㄴ/ETM
시간	시간/NNG
문제를	문제/NNG+를/JKO
전하기	전하/VV+기/ETN
위해	위하/VV+여/EC
인천지역	인천/NNP+지역/NNG
중증장애인	중증장애인/NNG
성낙증(62세,	성낙증/NNP+(/SS+62/SN+세/NNB+,/SP
지체·뇌병변1급)씨의	지체/NNG+·/SP+뇌병변/NNP+1/SN+급/NNG+)/SS+씨/NNB+의/JKG
하루	하루/NNG
일상을	일상/NNG+을/JKO
쫓아봤다	쫓아보/VV+았/EP+다/EF

■활동을	■/SW+활동/NNG+을/JKO
옭아매는	옭아매/VV+는/ETM
굳어가는	굳/VV+어/EC+가/VX+는/ETM
몸=인천시	몸/NNG+=/SW+인천시/NNP
계산시장	계산시장/NNG
구석에	구석/NNG+에/JKB
자리한	자리하/VV+ㄴ/ETM
작은	작/VA+은/ETM
만물상	만물상/NNG

가게	가게/NNG
한	한/NNG
켠	켜/VV+ㄴ/ETM
쪽방에는	쪽방/NNG+에/JKB+는/JX
온몸이	온몸/NNG+이/JKS
굳어있는	굳/VV+어/EC+있/VX+는/ETM
근육장애인	근육장애/NNG+이/VCP+ㄴ/ETM
성낙증씨가	성낙증/NNP+씨/NNB+가/JKS
있다	있/VA+다/EC

홀로	홀로/MAG
거주하고	거주하/VV+고/EC
있는	있/VX+는/ETM
성씨의	성/NNP+씨/NNB+의/JKG
하루	하루/NNG
일과는	일과/NNG+는/JX
오전	오전/NNG
8시,	8/SN+시/NNB+,/SP
그의	그/NP+의/JKG
활동보조인이	활동보조인/NNG+이/JKS
출근하며	출근하/VV+며/EC
시작된다	시작되/VV+ㄴ다/EC

온몸이	온몸/NNG+이/JKS
굳어있는	굳/VV+어/EC+있/VX+는/ETM
성씨를	성씨/NNG+를/JKO
일으켜,	일으키/VV+어/EC+,/SP
신변처리와	신변처리/NNG+와/JC
목욕을	목욕/NNG+을/JKO
하는	하/VV+는/ETM
것부터,	것/NNB+부터/JX+,/SP
아침밥을	아침밥/NNG+을/JKO
지어	짓/VV+어/EC
떠먹여주는	떠먹열/VV+주/VX+는/ETM
것까지	것/NNB+까지/JX
모두	모두/MAG
지난	지나/VV+ㄴ/ETM
3년간	3/SN+년/NNB+간/XSN
함께해온	함께하/VV+여/EC+오/VX+ㄴ/ETM
그의	그/NP+의/JKG
활동보조인의	활동보조인/NNG+의/JKG
몫이다	몫/NNG+이/VCP+다/EC

나이가	나이/NNG+가/JKS
듦으로	듦/SL+으로/JKB
하루가	하루/NNG+가/JKS
달리	달리/MAG
굳어가는	굳/VV+어/EC+가/VX+는/ETM
몸	몸/NNG
때문에	때문/NNB+에/JKB
이제는	이제/NNG+는/JX
모든	모든/MM
일상을	일상/NNG+을/JKO
활동보조인이	활동보조인/NNG+이/JKS
없으면	없/VA+으면/EC
해낼	해내/VV+ㄹ/ETM
수	수/NNB
없을	없/VA+을/ETM
정도다	정돌/VV+다/EF

“젊었을때는	“/SL+젊/VA+었/EP+을/ETM+때/NNG+는/JX
직업이	직업/NNG+이/JKS
있었어요	있/VA+었/EP+어요/EF

10년전	10/SN+년/NNB+전/NNG
만해도	만하/VX+여도/EC
손은	손/NNG+은/JX
사용할	사용하/VV+ㄹ/ETM
수	수/NNB
있어서	있/VA+어서/EC
편물작업을	편물작업/NNG+을/JKO
통해	통하/VV+여/EC
스웨터를	스웨터/NNG+를/JKO
짜고	짜/VV+고/EC
그랬는데,	그러/VV+었/EP+는데/EC+,/SP
나이가	나이/NNG+가/JKS
들수록	들/VV+ㄹ수록/EC
몸이	몸/NNG+이/JKS
굳어가다	굳어가/VV+다/EC
보니	보/VX+니/EC
이제는	이제/NNG+는/JX
아무것도	아무것/NNG+도/JX
할	하/VV+ㄹ/ETM
수	수/NNB
없답니다	없/VA+답니다/EF

앞으로의	앞/NNG+으로/JKB+의/JKG
생활이	생활/NNG+이/JKS
너무	너무/MAG
고통스러울	고통스럽/VA+ㄹ/ETM
거	거/VA
같아	같/VA+아/EC
잠도	잠/NNG+도/JX
안오네요	안/MAG+오네요/VV

”그	”/SL+그/MM
후,	후/NNG+,/SP
성씨와	성/NNP+씨/NNB+와/JC
오랜	오랜/MM
세월	세월/NNG
