금산	금산/NNP
장애인직업재활시설	장애인직업재활시설/NNG
편의	편의/NNG
이래서야	이렇/VA+어서/EC+야/JX

최근	최근/NNG
충남	충남/NNP
금산군에	금산군/NNP+에/JKB
직업능력인	직업능력/NNG+이/VCP+ㄴ/ETM
낮은	낮/VA+은/ETM
중증장애인에게	중증장애인/NNG+에게/JKB
직업적응	직업적응/NNG
능력,	능력/NNG+,/SP
직무기능	직무기능/NNG
향상훈련	향상훈련/NNG
등	등/NNB
직업재활프로그램을	직업재활프로그램/NNG+을/JKO
제공할	제공하/VV+ㄹ/ETM
‘장애인직업재활시설’이	‘/SN+장애인직업재활시설/NNG+’/SL+이/JKS
완공됐다	완공되/VV+었/EP+다/EF

630㎡,	630/SN+㎡/SW+,/SP
지상	지상/NNG
3층	3/SN+층/NNG
규모로,	규모/NNG+로/JKB+,/SP
총	총/MM
11억7400만원의	11/SN+억/NR+7400/SN+만/NR+원/NNB+의/JKG
사업비가	사업비/NNG+가/JKS
투입됐다	투입되/VV+었/EP+다/EF

1층에는	1/SN+층/NNG+에/JKB+는/JX
장애인보호작업장,	장애인보호작업장/NNG+,/SP
2층에는	2/SN+층/NNG+에/JKB+는/JX
식당	식당/NNG
및	및/MAG
작업장을	작업장/NNG+을/JKO
들어서고	들어서/VV+고/EC
3층에는	3/SN+층/NNG+에/JKB+는/JX
직업훈련실·주간보호실·사무실	직업훈련/NNG+실/XSN+·/SP+주간보호/NNG+실/XSN+·/SP+사무실/NNG
등을	등/NNB+을/JKO
갖출	갖추/VV+ㄹ/ETM
예정이다	예정/NNG+이/VCP+다/EC

본격적인	본격적/NNG+이/VCP+ㄴ/ETM
운영은	운영/NNG+은/JX
오는	오/VV+는/ETM
12월로	12/SN+월/NNB+로/JKB
잡고	잡/VV+고/EC
있으며,	있/VX+으며/EC+,/SP
목표	목표/NNG
고용	고용/NNG
장애인은	장애인/NNG+은/JX
30여명이다	30/SN+여/XSN+명/NNB+이/VCP+다/EC

이곳에서는	이곳/NP+에서/JKB+는/JX
장애유형,	장애유형/NNP+,/SP
정도,	정도/NNG+,/SP
연령별	연령/NNG+별/XSN
재활프로그램이	재활프로그램/NNG+이/JKS
제공되며	제공되/VV+며/EC
일상생활	일상생활/NNG
훈련,	훈련/NNG+,/SP
사회적응훈련	사회적응훈련/NNG
등	등/NNB
직업적응	직업적응/NNG
훈련이	훈련/NNG+이/JKS
이뤄진다	이루어지/VV+ㄴ다/EC

직무분석에	직무분석/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
개별훈련을	개별훈련/NNG+을/JKO
중심으로	중심/NNG+으로/JKB
직무기능	직무기능/NNG
향상훈련도	향상훈련/NNG+도/JX
병행된다	병행되/VV+ㄴ다/EF

군은	군/NNG+은/JX
본격	본격/NNG
운영되면	운영되/VV+면/EC
직업훈련을	직업훈련/NNG+을/JKO
통한	통하/VV+ㄴ/ETM
생산	생산/NNG
활동	활동/NNG
참여,	참여/NNG+,/SP
취업기회제공으로	취업기회제공/NNG+으로/JKB
장애인	장애인/NNG
자립생활에	자립생활/NNG+에/JKB
상당한	상당하/VA+ㄴ/ETM
도움을	도움/NNG+을/JKO
줄	주/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
기대하고	기대하/VV+고/EC
있다	있/VX+다/EC

그렇다면	그렇/VA+다면/EC
장애인들의	장애인/NNG+들/XSN+의/JKG
자립을	자립/NNG+을/JKO
돕기	돕/VV+기/ETN
위한	위하/VV+ㄴ/ETM
이곳의	이곳/NP+의/JKG
장애인	장애인/NNG
편의시설은	편의시설/NNG+은/JX
어떨까?	어떻/VA+ㄹ까/EF+?/SF
지난	지나/VV+ㄴ/ETM
10일	10/SN+일/NNB
직접	직접/MAG
방문해	방문하/VV+여/EC
점검한	점검하/VV+ㄴ/ETM
결과,	결과/NNG+,/SP
곳곳에서	곳곳/NNG+에서/JKB
미흡한	미흡하/VA+ㄴ/ETM
점을	점/NNG+을/JKO
발견할	발견하/VV+ㄹ/ETM
수	수/NNB
있었다	있/VA+었/EP+다/EF

먼저	먼저/MAG
중증장애인들이	중증장애인/NNG+들/XSN+이/JKS
화재와	화재/NNG+와/JC
재난	재난/NNG
시	시/NNB
대피할	대피하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
경사로	경사/NNG+로/JKB
및	및/MAG
베란다가	베란다/NNG+가/JKS
전혀	전혀/MAG
설치돼	설치되/VV+어/EC
있지	있/VX+지/EC
않았다	않/VX+았/EP+다/EF

건물입구는	건물입구/NNG+는/JX
아직	아직/MAG
공사가	공사/NNG+가/JKS
떨	떨/NNG
끝난	끝나/VV+ㄴ/ETM
상태였지만,	상태/NNG+이/VCP+었/EP+지만/EC+,/SP
경사로	경사/NNG+로/JKB
입구에	입구/NNG+에/JKB
없어야	없/VA+어야/EC
할	하/VX+ㄹ/ETM
점자블록이	점자블록이/MAG
설치됐다	설치되/VV+었/EP+다/EF

1·2·3층에는	1/SN+·/SP+2/SN+·/SP+3/SN+층/NNG+에/JKB+는/JX
장애인과	장애인/NNG+과/JC
비장애인	비/XPN+장애인/NNG
함께	함께/MAG
사용할	사용하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
남녀화장실이	남녀화장실/NNG+이/JKS
각각	각각/MAG
설치됐다	설치되/VV+었/EP+다/EF

화장실	화장실/NNG
안에는	안/NNG+에/JKB+는/JX
중증장애인들이	중증장애인/NNG+들/XSN+이/JKS
사용할	사용하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
공간이	공간/NNG+이/JKS
마련돼	마련되/VV+어/EC
있다	있/VX+다/EF

화장실	화장실/NNG
